"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct"
"13646.664999999999","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","13655","0.0-0.0","h0bgkvns","","","","","","","",""
"110695.48","","","instructions","1","124352","0.0-1.0","h0bgkvns","[{""page_index"":0,""viewing_time"":110695.325}]","","","","","","",""
"11337.149999999994","{""Age"":2,""Sex"":1,""Gender"":1}","[0,1,2]","survey-likert","2","135692","0.0-2.0","h0bgkvns","","","","","","","",""
"1389.8699999999953","","","instructions","3","137083","0.0-3.0","h0bgkvns","[{""page_index"":0,""viewing_time"":1389.7649999999849}]","","","","","","",""
"13133.76999999999","","","instructions","4","150217","0.0-4.0","h0bgkvns","[{""page_index"":0,""viewing_time"":1164.5999999999767},{""page_index"":1,""viewing_time"":5676.915000000008},{""page_index"":2,""viewing_time"":6292.135000000009}]","","","","","","",""
"1794.7399999999907","","","instructions","5","152012","0.0-5.0","h0bgkvns","[{""page_index"":0,""viewing_time"":1794.6350000000093}]","","","","","","",""
"null","","","video-keyboard-response","6","155086","0.0-6.0","h0bgkvns","","","null","","","","",""
"29270.315000000002","","","instructions","7","184357","0.0-7.0","h0bgkvns","[{""page_index"":0,""viewing_time"":2621.2699999999895},{""page_index"":1,""viewing_time"":1943.0299999999988},{""page_index"":2,""viewing_time"":817.9150000000081},{""page_index"":3,""viewing_time"":9667.910000000003},{""page_index"":4,""viewing_time"":2824.070000000007},{""page_index"":5,""viewing_time"":4598.084999999992},{""page_index"":6,""viewing_time"":4292.8949999999895},{""page_index"":7,""viewing_time"":2505.015000000014}]","","","","","","",""
"4767.195000000007","","","instructions","8","189124","0.0-8.0","h0bgkvns","[{""page_index"":0,""viewing_time"":4766.8949999999895}]","","","","","","",""
"1210.8849999999802","","","instructions","9","190336","0.0-9.0","h0bgkvns","[{""page_index"":0,""viewing_time"":1210.7749999999942}]","","","","","","",""
"","","","call-function","10","190336","0.0-10.0","h0bgkvns","","","","","","","",""
"null","","","html-keyboard-response","11","191841","0.0-11.0","h0bgkvns","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","12","194931","0.0-12.0","h0bgkvns","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_18/1159870.bmp_pp65_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","13","196437","0.0-13.0","h0bgkvns","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","14","199500","0.0-14.0","h0bgkvns","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_18/1159870.bmp_pp59_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","15","199500","0.0-15.0","h0bgkvns","","","","","","","",""
"1430.960000000021","","","categorize-html","16","202938","0.0-16.0","h0bgkvns","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","true"
"null","","","html-keyboard-response","17","203444","0.0-17.0","h0bgkvns",""," ","null","","","","",""
"","","","call-function","18","203444","0.0-18.0","h0bgkvns","","","","","","","",""
"null","","","html-keyboard-response","19","204946","0.0-19.0","h0bgkvns","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","20","208013","0.0-20.0","h0bgkvns","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_18/1592971.bmp_pp59_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","21","209521","0.0-21.0","h0bgkvns","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","22","212610","0.0-22.0","h0bgkvns","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_18/1592971.bmp_pp65_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","23","212610","0.0-23.0","h0bgkvns","","","","","","","",""
"711.6150000000198","","","categorize-html","24","215326","0.0-24.0","h0bgkvns","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","50","","","","","true"
"null","","","html-keyboard-response","25","215832","0.0-25.0","h0bgkvns",""," ","null","","","","",""
"","","","call-function","26","215832","0.0-26.0","h0bgkvns","","","","","","","",""
"null","","","html-keyboard-response","27","217339","0.0-27.0","h0bgkvns","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","28","220425","0.0-28.0","h0bgkvns","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_18/713689.bmp_pp59_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","29","221928","0.0-29.0","h0bgkvns","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","30","225033","0.0-30.0","h0bgkvns","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_18/713689.bmp_pp65_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","31","225034","0.0-31.0","h0bgkvns","","","","","","","",""
"488.554999999993","","","categorize-html","32","227526","0.0-32.0","h0bgkvns","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","50","","","","","true"
"null","","","html-keyboard-response","33","228030","0.0-33.0","h0bgkvns",""," ","null","","","","",""
"","","","call-function","34","228030","0.0-34.0","h0bgkvns","","","","","","","",""
"null","","","html-keyboard-response","35","229533","0.0-35.0","h0bgkvns","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","36","232640","0.0-36.0","h0bgkvns","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_18/1592397.bmp_pp59_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","37","234144","0.0-37.0","h0bgkvns","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","38","237229","0.0-38.0","h0bgkvns","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_18/1592397.bmp_pp65_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","39","237230","0.0-39.0","h0bgkvns","","","","","","","",""
"420.40499999999884","","","categorize-html","40","239655","0.0-40.0","h0bgkvns","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","false"
"null","","","html-keyboard-response","41","240158","0.0-41.0","h0bgkvns",""," ","null","","","","",""
"","","","call-function","42","240158","0.0-42.0","h0bgkvns","","","","","","","",""
"null","","","html-keyboard-response","43","241661","0.0-43.0","h0bgkvns","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","44","244764","0.0-44.0","h0bgkvns","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_18/1592129.bmp_pp59_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","45","246267","0.0-45.0","h0bgkvns","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","46","249381","0.0-46.0","h0bgkvns","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_18/1592129.bmp_pp65_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","47","249381","0.0-47.0","h0bgkvns","","","","","","","",""
"420.8650000000198","","","categorize-html","48","251804","0.0-48.0","h0bgkvns","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","false"
"null","","","html-keyboard-response","49","252308","0.0-49.0","h0bgkvns",""," ","null","","","","",""
"","","","call-function","50","252308","0.0-50.0","h0bgkvns","","","","","","","",""
"null","","","html-keyboard-response","51","253810","0.0-51.0","h0bgkvns","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","52","256914","0.0-52.0","h0bgkvns","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_18/286034.bmp_pp59_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","53","258418","0.0-53.0","h0bgkvns","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","54","261497","0.0-54.0","h0bgkvns","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_18/286034.bmp_pp65_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","55","261497","0.0-55.0","h0bgkvns","","","","","","","",""
"505.0250000000233","","","categorize-html","56","264006","0.0-56.0","h0bgkvns","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","false"
"null","","","html-keyboard-response","57","264511","0.0-57.0","h0bgkvns",""," ","null","","","","",""
"","","","call-function","58","264511","0.0-58.0","h0bgkvns","","","","","","","",""
"null","","","html-keyboard-response","59","266017","0.0-59.0","h0bgkvns","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
