"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct"
"27144.320000000003","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","27153","0.0-0.0","vsy95au8","","","","","","","",""
"315306.795","","","instructions","1","342462","0.0-1.0","vsy95au8","[{""page_index"":0,""viewing_time"":315306.645}]","","","","","","",""
"8924.690000000002","{""Age"":1,""Sex"":1,""Gender"":1}","[0,1,2]","survey-likert","2","351389","0.0-2.0","vsy95au8","","","","","","","",""
"1340.2050000000163","","","instructions","3","352730","0.0-3.0","vsy95au8","[{""page_index"":0,""viewing_time"":1340.0950000000303}]","","","","","","",""
"20378.244999999995","","","instructions","4","373109","0.0-4.0","vsy95au8","[{""page_index"":0,""viewing_time"":2682.4049999999697},{""page_index"":1,""viewing_time"":12481.900000000023},{""page_index"":2,""viewing_time"":5213.820000000007}]","","","","","","",""
"3567.8250000000116","","","instructions","5","376677","0.0-5.0","vsy95au8","[{""page_index"":0,""viewing_time"":3567.7200000000303}]","","","","","","",""
"null","","","video-keyboard-response","6","379752","0.0-6.0","vsy95au8","","","null","","","","",""
"59137.294999999984","","","instructions","7","438890","0.0-7.0","vsy95au8","[{""page_index"":0,""viewing_time"":6043.255000000005},{""page_index"":1,""viewing_time"":4921.979999999981},{""page_index"":2,""viewing_time"":2024.975000000035},{""page_index"":3,""viewing_time"":7894.024999999965},{""page_index"":4,""viewing_time"":7911.34500000003},{""page_index"":5,""viewing_time"":12424.700000000012},{""page_index"":6,""viewing_time"":14668.070000000007},{""page_index"":7,""viewing_time"":3248.819999999949}]","","","","","","",""
"10336.034999999974","","","instructions","8","449226","0.0-8.0","vsy95au8","[{""page_index"":0,""viewing_time"":10335.784999999974}]","","","","","","",""
"3190.4099999999744","","","instructions","9","452417","0.0-9.0","vsy95au8","[{""page_index"":0,""viewing_time"":3190.2999999999884}]","","","","","","",""
"","","","call-function","10","452417","0.0-10.0","vsy95au8","","","","","","","",""
"null","","","html-keyboard-response","11","453919","0.0-11.0","vsy95au8","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","12","457030","0.0-12.0","vsy95au8","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_19/1160204.bmp_pp53_L2_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","13","458536","0.0-13.0","vsy95au8","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","14","461613","0.0-14.0","vsy95au8","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_19/1160204.bmp_pp96_L2_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","15","461613","0.0-15.0","vsy95au8","","","","","","","",""
"3378.75","","","categorize-html","16","466993","0.0-16.0","vsy95au8","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","true"
"null","","","html-keyboard-response","17","467497","0.0-17.0","vsy95au8",""," ","null","","","","",""
"","","","call-function","18","467498","0.0-18.0","vsy95au8","","","","","","","",""
"null","","","html-keyboard-response","19","469002","0.0-19.0","vsy95au8","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","20","472083","0.0-20.0","vsy95au8","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_19/713381.bmp_pp53_L2_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","21","473586","0.0-21.0","vsy95au8","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","22","476656","0.0-22.0","vsy95au8","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_19/713381.bmp_pp96_L2_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","23","476656","0.0-23.0","vsy95au8","","","","","","","",""
"5366.784999999974","","","categorize-html","24","484026","0.0-24.0","vsy95au8","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","true"
"null","","","html-keyboard-response","25","484529","0.0-25.0","vsy95au8",""," ","null","","","","",""
"","","","call-function","26","484529","0.0-26.0","vsy95au8","","","","","","","",""
"null","","","html-keyboard-response","27","486032","0.0-27.0","vsy95au8","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","28","489153","0.0-28.0","vsy95au8","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_19/150374.bmp_pp53_L2_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","29","490659","0.0-29.0","vsy95au8","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","30","493754","0.0-30.0","vsy95au8","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_19/150374.bmp_pp96_L2_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","31","493754","0.0-31.0","vsy95au8","","","","","","","",""
"949.0749999999534","","","categorize-html","32","496709","0.0-32.0","vsy95au8","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","true"
"null","","","html-keyboard-response","33","497215","0.0-33.0","vsy95au8",""," ","null","","","","",""
"","","","call-function","34","497216","0.0-34.0","vsy95au8","","","","","","","",""
"null","","","html-keyboard-response","35","498721","0.0-35.0","vsy95au8","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","36","501819","0.0-36.0","vsy95au8","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_19/713585.bmp_pp53_L2_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","37","503322","0.0-37.0","vsy95au8","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","38","506413","0.0-38.0","vsy95au8","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_19/713585.bmp_pp96_L2_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","39","506413","0.0-39.0","vsy95au8","","","","","","","",""
"7682.275000000023","","","categorize-html","40","516102","0.0-40.0","vsy95au8","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","50","","","","","false"
"null","","","html-keyboard-response","41","516604","0.0-41.0","vsy95au8",""," ","null","","","","",""
"","","","call-function","42","516604","0.0-42.0","vsy95au8","","","","","","","",""
"null","","","html-keyboard-response","43","518107","0.0-43.0","vsy95au8","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","44","521188","0.0-44.0","vsy95au8","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_19/150280.bmp_pp53_L2_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","45","522692","0.0-45.0","vsy95au8","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
