"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct"
"7124.285000000001","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","7134","0.0-0.0","b7jflaw0","","","","","","","",""
"599732.38","","","instructions","1","606869","0.0-1.0","b7jflaw0","[{""page_index"":0,""viewing_time"":599732.225}]","","","","","","",""
"27176.36499999999","","","instructions","2","634046","0.0-2.0","b7jflaw0","[{""page_index"":0,""viewing_time"":1243.2000000000698},{""page_index"":1,""viewing_time"":21592.064999999944},{""page_index"":2,""viewing_time"":4340.979999999981}]","","","","","","",""
"2576.3850000000093","","","instructions","3","636623","0.0-3.0","b7jflaw0","[{""page_index"":0,""viewing_time"":2576.2850000000326}]","","","","","","",""
"null","","","video-keyboard-response","4","639699","0.0-4.0","b7jflaw0","","","null","","","","",""
"54141.57500000007","","","instructions","5","693841","0.0-5.0","b7jflaw0","[{""page_index"":0,""viewing_time"":4338.604999999981},{""page_index"":1,""viewing_time"":4807.915000000037},{""page_index"":2,""viewing_time"":1117.9499999999534},{""page_index"":3,""viewing_time"":21225.95000000007},{""page_index"":4,""viewing_time"":3057.4000000000233},{""page_index"":5,""viewing_time"":10499.204999999958},{""page_index"":6,""viewing_time"":6943.369999999995},{""page_index"":7,""viewing_time"":2151.055000000051}]","","","","","","",""
"6108.790000000037","","","instructions","6","699950","0.0-6.0","b7jflaw0","[{""page_index"":0,""viewing_time"":6108.660000000033}]","","","","","","",""
"1837.9350000000559","","","instructions","7","701789","0.0-7.0","b7jflaw0","[{""page_index"":0,""viewing_time"":1837.6750000000466}]","","","","","","",""
"","","","call-function","8","701789","0.0-8.0","b7jflaw0","","","","","","","",""
"null","","","html-keyboard-response","9","703295","0.0-9.0","b7jflaw0","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","10","706354","0.0-10.0","b7jflaw0","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_1/713330.bmp_pp58_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","11","707859","0.0-11.0","b7jflaw0","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","12","710940","0.0-12.0","b7jflaw0","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_1/713330.bmp_pp154_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","13","710940","0.0-13.0","b7jflaw0","","","","","","","",""
"2282.4599999999627","","","categorize-html","14","715227","0.0-14.0","b7jflaw0","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","false"
"null","","","html-keyboard-response","15","715731","0.0-15.0","b7jflaw0",""," ","null","","","","",""
"","","","call-function","16","715732","0.0-16.0","b7jflaw0","","","","","","","",""
"null","","","html-keyboard-response","17","717234","0.0-17.0","b7jflaw0","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","18","720313","0.0-18.0","b7jflaw0","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_1/1159768.bmp_pp154_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","19","721816","0.0-19.0","b7jflaw0","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","20","724919","0.0-20.0","b7jflaw0","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_1/1159768.bmp_pp58_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","21","724921","0.0-21.0","b7jflaw0","","","","","","","",""
"1589.0199999999022","","","categorize-html","22","728513","0.0-22.0","b7jflaw0","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","true"
"null","","","html-keyboard-response","23","729016","0.0-23.0","b7jflaw0",""," ","null","","","","",""
"","","","call-function","24","729016","0.0-24.0","b7jflaw0","","","","","","","",""
"null","","","html-keyboard-response","25","730518","0.0-25.0","b7jflaw0","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","26","733628","0.0-26.0","b7jflaw0","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_1/150432.bmp_pp154_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","27","735129","0.0-27.0","b7jflaw0","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","28","738218","0.0-28.0","b7jflaw0","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_1/150432.bmp_pp58_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","29","738219","0.0-29.0","b7jflaw0","","","","","","","",""
"914.7750000000233","","","categorize-html","30","741136","0.0-30.0","b7jflaw0","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","50","","","","","false"
"null","","","html-keyboard-response","31","741638","0.0-31.0","b7jflaw0",""," ","null","","","","",""
"","","","call-function","32","741638","0.0-32.0","b7jflaw0","","","","","","","",""
"null","","","html-keyboard-response","33","743139","0.0-33.0","b7jflaw0","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","34","746246","0.0-34.0","b7jflaw0","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_1/1593056.bmp_pp154_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
