"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct"
"309247.01999999996","{""Experimenter"":[""Confirmed subject's identity (ID card)""]}","[0]","survey-multi-select","0","309255","0.0-0.0","e04s1fqv","","","","","","","",""
"24208.580000000016","","","instructions","1","333465","0.0-1.0","e04s1fqv","[{""page_index"":0,""viewing_time"":24208.429999999993}]","","","","","","",""
"53188.59500000003","","","instructions","2","386654","0.0-2.0","e04s1fqv","[{""page_index"":0,""viewing_time"":33121.205000000016},{""page_index"":1,""viewing_time"":10915.969999999972},{""page_index"":2,""viewing_time"":9151.290000000037}]","","","","","","",""
"4012.219999999972","","","instructions","3","390667","0.0-3.0","e04s1fqv","[{""page_index"":0,""viewing_time"":4012.1149999999907}]","","","","","","",""
"null","","","video-keyboard-response","4","393741","0.0-4.0","e04s1fqv","","","null","","","","",""
"50515.294999999984","","","instructions","5","444257","0.0-5.0","e04s1fqv","[{""page_index"":0,""viewing_time"":5116.229999999981},{""page_index"":1,""viewing_time"":3953.9400000000023},{""page_index"":2,""viewing_time"":1511.8800000000047},{""page_index"":3,""viewing_time"":7619.244999999995},{""page_index"":4,""viewing_time"":6357.740000000049},{""page_index"":5,""viewing_time"":12072.329999999958},{""page_index"":6,""viewing_time"":9544.684999999998},{""page_index"":7,""viewing_time"":4339.119999999995}]","","","","","","",""
"9470.575000000012","","","instructions","6","453728","0.0-6.0","e04s1fqv","[{""page_index"":0,""viewing_time"":9470.375}]","","","","","","",""
"3168.0050000000047","","","instructions","7","456896","0.0-7.0","e04s1fqv","[{""page_index"":0,""viewing_time"":3167.75}]","","","","","","",""
"","","","call-function","8","456897","0.0-8.0","e04s1fqv","","","","","","","",""
"null","","","html-keyboard-response","9","458398","0.0-9.0","e04s1fqv","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","10","461485","0.0-10.0","e04s1fqv","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_20/1592519.bmp_pp91_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
