"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct"
"15047.645","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","15056","0.0-0.0","nuybp2zd","","","","","","","",""
"1061603.865","","","instructions","1","1076663","0.0-1.0","nuybp2zd","[{""page_index"":0,""viewing_time"":1061603.255}]","","","","","","",""
"10864.955000000075","","","instructions","2","1087530","0.0-2.0","nuybp2zd","[{""page_index"":0,""viewing_time"":1477.3300000000745},{""page_index"":1,""viewing_time"":5517.5449999999255},{""page_index"":2,""viewing_time"":3869.9599999999627}]","","","","","","",""
"2335.179999999935","","","instructions","3","1089865","0.0-3.0","nuybp2zd","[{""page_index"":0,""viewing_time"":2335.0749999999534}]","","","","","","",""
"null","","","video-keyboard-response","4","1092940","0.0-4.0","nuybp2zd","","","null","","","","",""
"26088.419999999925","","","instructions","5","1119028","0.0-5.0","nuybp2zd","[{""page_index"":0,""viewing_time"":2148.189999999944},{""page_index"":1,""viewing_time"":2639.964999999851},{""page_index"":2,""viewing_time"":898.0900000000838},{""page_index"":3,""viewing_time"":3913.380000000121},{""page_index"":4,""viewing_time"":4950.939999999944},{""page_index"":5,""viewing_time"":5969.784999999916},{""page_index"":6,""viewing_time"":4671.880000000121},{""page_index"":7,""viewing_time"":896.0649999999441}]","","","","","","",""
"5748.4199999999255","","","instructions","6","1124777","0.0-6.0","nuybp2zd","[{""page_index"":0,""viewing_time"":5748.284999999916}]","","","","","","",""
"5963.85999999987","","","instructions","7","1130741","0.0-7.0","nuybp2zd","[{""page_index"":0,""viewing_time"":5963.635000000009}]","","","","","","",""
"","","","call-function","8","1130742","0.0-8.0","nuybp2zd","","","","","","","",""
"null","","","html-keyboard-response","9","1132247","0.0-9.0","nuybp2zd","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","10","1135308","0.0-10.0","nuybp2zd","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_2/1592351.bmp_pp89_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","11","1136815","0.0-11.0","nuybp2zd","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","12","1139875","0.0-12.0","nuybp2zd","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_2/1592351.bmp_pp93_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","13","1139875","0.0-13.0","nuybp2zd","","","","","","","",""
"1456.5149999998976","","","categorize-html","14","1143334","0.0-14.0","nuybp2zd","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","false"
"null","","","html-keyboard-response","15","1143837","0.0-15.0","nuybp2zd",""," ","null","","","","",""
"","","","call-function","16","1143837","0.0-16.0","nuybp2zd","","","","","","","",""
"null","","","html-keyboard-response","17","1145343","0.0-17.0","nuybp2zd","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","18","1148446","0.0-18.0","nuybp2zd","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_2/1593047.bmp_pp89_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","19","1149950","0.0-19.0","nuybp2zd","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","20","1153042","0.0-20.0","nuybp2zd","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_2/1593047.bmp_pp93_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","21","1153044","0.0-21.0","nuybp2zd","","","","","","","",""
"1350.4749999998603","","","categorize-html","22","1156399","0.0-22.0","nuybp2zd","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","50","","","","","true"
"null","","","html-keyboard-response","23","1156904","0.0-23.0","nuybp2zd",""," ","null","","","","",""
"","","","call-function","24","1156904","0.0-24.0","nuybp2zd","","","","","","","",""
"null","","","html-keyboard-response","25","1158405","0.0-25.0","nuybp2zd","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","26","1161474","0.0-26.0","nuybp2zd","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_2/1592168.bmp_pp89_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","27","1162978","0.0-27.0","nuybp2zd","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","28","1166064","0.0-28.0","nuybp2zd","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_2/1592168.bmp_pp93_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","29","1166065","0.0-29.0","nuybp2zd","","","","","","","",""
"962.0999999998603","","","categorize-html","30","1169029","0.0-30.0","nuybp2zd","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","false"
"null","","","html-keyboard-response","31","1169532","0.0-31.0","nuybp2zd",""," ","null","","","","",""
"","","","call-function","32","1169533","0.0-32.0","nuybp2zd","","","","","","","",""
"null","","","html-keyboard-response","33","1171037","0.0-33.0","nuybp2zd","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","34","1174125","0.0-34.0","nuybp2zd","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_2/713760.bmp_pp89_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","35","1175627","0.0-35.0","nuybp2zd","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","36","1178718","0.0-36.0","nuybp2zd","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_2/713760.bmp_pp93_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","37","1178718","0.0-37.0","nuybp2zd","","","","","","","",""
"1076.469999999972","","","categorize-html","38","1181800","0.0-38.0","nuybp2zd","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","false"
"null","","","html-keyboard-response","39","1182302","0.0-39.0","nuybp2zd",""," ","null","","","","",""
"","","","call-function","40","1182303","0.0-40.0","nuybp2zd","","","","","","","",""
"null","","","html-keyboard-response","41","1183807","0.0-41.0","nuybp2zd","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","42","1186910","0.0-42.0","nuybp2zd","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_2/107930.bmp_pp93_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","43","1188417","0.0-43.0","nuybp2zd","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","44","1191504","0.0-44.0","nuybp2zd","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_2/107930.bmp_pp89_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","45","1191504","0.0-45.0","nuybp2zd","","","","","","","",""
"2082.4250000000466","","","categorize-html","46","1195591","0.0-46.0","nuybp2zd","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","true"
"null","","","html-keyboard-response","47","1196097","0.0-47.0","nuybp2zd",""," ","null","","","","",""
"","","","call-function","48","1196098","0.0-48.0","nuybp2zd","","","","","","","",""
"null","","","html-keyboard-response","49","1197602","0.0-49.0","nuybp2zd","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","50","1200670","0.0-50.0","nuybp2zd","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_2/107906.bmp_pp93_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","51","1202174","0.0-51.0","nuybp2zd","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","52","1205236","0.0-52.0","nuybp2zd","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_2/107906.bmp_pp89_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","53","1205236","0.0-53.0","nuybp2zd","","","","","","","",""
"2550.4850000001024","","","categorize-html","54","1209792","0.0-54.0","nuybp2zd","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","50","","","","","false"
"null","","","html-keyboard-response","55","1210294","0.0-55.0","nuybp2zd",""," ","null","","","","",""
"","","","call-function","56","1210294","0.0-56.0","nuybp2zd","","","","","","","",""
"null","","","html-keyboard-response","57","1211799","0.0-57.0","nuybp2zd","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","58","1214893","0.0-58.0","nuybp2zd","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_2/1159408.bmp_pp93_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","59","1216396","0.0-59.0","nuybp2zd","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","60","1219507","0.0-60.0","nuybp2zd","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_2/1159408.bmp_pp89_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","61","1219508","0.0-61.0","nuybp2zd","","","","","","","",""
"991.125","","","categorize-html","62","1222503","0.0-62.0","nuybp2zd","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","50","","","","","false"
"null","","","html-keyboard-response","63","1223007","0.0-63.0","nuybp2zd",""," ","null","","","","",""
"","","","call-function","64","1223007","0.0-64.0","nuybp2zd","","","","","","","",""
"null","","","html-keyboard-response","65","1224513","0.0-65.0","nuybp2zd","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","66","1227572","0.0-66.0","nuybp2zd","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_2/713228.bmp_pp93_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","67","1229076","0.0-67.0","nuybp2zd","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","68","1232163","0.0-68.0","nuybp2zd","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_2/713228.bmp_pp89_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","69","1232164","0.0-69.0","nuybp2zd","","","","","","","",""
"439.1300000001211","","","categorize-html","70","1234605","0.0-70.0","nuybp2zd","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","true"
"null","","","html-keyboard-response","71","1235110","0.0-71.0","nuybp2zd",""," ","null","","","","",""
"","","","call-function","72","1235110","0.0-72.0","nuybp2zd","","","","","","","",""
"null","","","html-keyboard-response","73","1236616","0.0-73.0","nuybp2zd","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","74","1239715","0.0-74.0","nuybp2zd","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_2/150432.bmp_pp93_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","75","1241217","0.0-75.0","nuybp2zd","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","76","1244373","0.0-76.0","nuybp2zd","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_2/150432.bmp_pp89_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","77","1244373","0.0-77.0","nuybp2zd","","","","","","","",""
"1678.030000000028","","","categorize-html","78","1248054","0.0-78.0","nuybp2zd","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","50","","","","","false"
"null","","","html-keyboard-response","79","1248560","0.0-79.0","nuybp2zd",""," ","null","","","","",""
"","","","call-function","80","1248561","0.0-80.0","nuybp2zd","","","","","","","",""
"null","","","html-keyboard-response","81","1250067","0.0-81.0","nuybp2zd","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","82","1253177","0.0-82.0","nuybp2zd","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_2/713418.bmp_pp93_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","83","1254678","0.0-83.0","nuybp2zd","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","84","1257808","0.0-84.0","nuybp2zd","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_2/713418.bmp_pp89_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","85","1257808","0.0-85.0","nuybp2zd","","","","","","","",""
"458.5200000000186","","","categorize-html","86","1260271","0.0-86.0","nuybp2zd","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","true"
"null","","","html-keyboard-response","87","1260773","0.0-87.0","nuybp2zd",""," ","null","","","","",""
"4875.360000000102","","","instructions","88","1265649","0.0-88.0","nuybp2zd","[{""page_index"":0,""viewing_time"":3061.0449999999255},{""page_index"":1,""viewing_time"":1069.0700000000652},{""page_index"":2,""viewing_time"":745.1300000001211}]","","","","","","",""
"3634.780000000028","","","instructions","89","1269284","0.0-89.0","nuybp2zd","[{""page_index"":0,""viewing_time"":857.4799999999814},{""page_index"":1,""viewing_time"":1959.9450000000652},{""page_index"":2,""viewing_time"":817.2249999998603}]","","","","","","",""
"","","","call-function","90","1269284","0.0-90.0","nuybp2zd","","","","","","","",""
"null","","","html-keyboard-response","91","1270789","0.0-91.0","nuybp2zd","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","92","1273864","0.0-92.0","nuybp2zd","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_2/1159967.bmp_pp89_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","93","1275368","0.0-93.0","nuybp2zd","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","94","1278441","0.0-94.0","nuybp2zd","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_2/1159967.bmp_pp93_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","95","1278441","0.0-95.0","nuybp2zd","","","","","","","",""
"3689.9499999999534","","","categorize-html","96","1284137","0.0-96.0","nuybp2zd","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","50","","","","","true"
"null","","","html-keyboard-response","97","1284642","0.0-97.0","nuybp2zd",""," ","null","","","","",""
"","","","call-function","98","1284642","0.0-98.0","nuybp2zd","","","","","","","",""
"null","","","html-keyboard-response","99","1286144","0.0-99.0","nuybp2zd","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","100","1289245","0.0-100.0","nuybp2zd","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_2/1592119.bmp_pp89_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","101","1290751","0.0-101.0","nuybp2zd","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","102","1293825","0.0-102.0","nuybp2zd","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_2/1592119.bmp_pp93_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","103","1293826","0.0-103.0","nuybp2zd","","","","","","","",""
"864.9699999999721","","","categorize-html","104","1296694","0.0-104.0","nuybp2zd","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","50","","","","","true"
"null","","","html-keyboard-response","105","1297200","0.0-105.0","nuybp2zd",""," ","null","","","","",""
"","","","call-function","106","1297200","0.0-106.0","nuybp2zd","","","","","","","",""
"null","","","html-keyboard-response","107","1298704","0.0-107.0","nuybp2zd","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","108","1301794","0.0-108.0","nuybp2zd","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_2/1160189.bmp_pp89_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","109","1303297","0.0-109.0","nuybp2zd","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","110","1306398","0.0-110.0","nuybp2zd","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_2/1160189.bmp_pp93_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","111","1306398","0.0-111.0","nuybp2zd","","","","","","","",""
"725.1650000000373","","","categorize-html","112","1309127","0.0-112.0","nuybp2zd","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","50","","","","","true"
"null","","","html-keyboard-response","113","1309632","0.0-113.0","nuybp2zd",""," ","null","","","","",""
"","","","call-function","114","1309633","0.0-114.0","nuybp2zd","","","","","","","",""
"null","","","html-keyboard-response","115","1311138","0.0-115.0","nuybp2zd","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","116","1314231","0.0-116.0","nuybp2zd","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_2/713858.bmp_pp93_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","117","1315737","0.0-117.0","nuybp2zd","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","118","1318821","0.0-118.0","nuybp2zd","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_2/713858.bmp_pp89_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","119","1318821","0.0-119.0","nuybp2zd","","","","","","","",""
"342.3049999999348","","","categorize-html","120","1321168","0.0-120.0","nuybp2zd","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","50","","","","","false"
"null","","","html-keyboard-response","121","1321670","0.0-121.0","nuybp2zd",""," ","null","","","","",""
"","","","call-function","122","1321670","0.0-122.0","nuybp2zd","","","","","","","",""
"null","","","html-keyboard-response","123","1323175","0.0-123.0","nuybp2zd","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","124","1326285","0.0-124.0","nuybp2zd","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_2/150273.bmp_pp93_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","125","1327790","0.0-125.0","nuybp2zd","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
