"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct"
"62714.244999999995","{""Experimenter"":[""Confirmed subject's identity (ID card)""]}","[0]","survey-multi-select","0","62722","0.0-0.0","tr82nfna","","","","","","","",""
"47426.25","","","instructions","1","110150","0.0-1.0","tr82nfna","[{""page_index"":0,""viewing_time"":47426.100000000006}]","","","","","","",""
"8128.845000000001","{""Age"":3,""Sex"":1,""Gender"":1}","[0,1,2]","survey-likert","2","118281","0.0-2.0","tr82nfna","","","","","","","",""
"1202.9649999999965","","","instructions","3","119485","0.0-3.0","tr82nfna","[{""page_index"":0,""viewing_time"":1202.8650000000052}]","","","","","","",""
"12744.640000000014","","","instructions","4","132230","0.0-4.0","tr82nfna","[{""page_index"":0,""viewing_time"":2085.8899999999994},{""page_index"":1,""viewing_time"":6376.744999999995},{""page_index"":2,""viewing_time"":4281.884999999995}]","","","","","","",""
"1881.6399999999849","","","instructions","5","134112","0.0-5.0","tr82nfna","[{""page_index"":0,""viewing_time"":1881.539999999979}]","","","","","","",""
"null","","","video-keyboard-response","6","137187","0.0-6.0","tr82nfna","","","null","","","","",""
"40487.70999999999","","","instructions","7","177676","0.0-7.0","tr82nfna","[{""page_index"":0,""viewing_time"":2217.654999999999},{""page_index"":1,""viewing_time"":1928.1600000000035},{""page_index"":2,""viewing_time"":1361.8949999999895},{""page_index"":3,""viewing_time"":6881.8550000000105},{""page_index"":4,""viewing_time"":14769.25},{""page_index"":5,""viewing_time"":7857.984999999986},{""page_index"":6,""viewing_time"":3973.3699999999953},{""page_index"":7,""viewing_time"":1497.4200000000128}]","","","","","","",""
"50588.494999999995","","","instructions","8","228265","0.0-8.0","tr82nfna","[{""page_index"":0,""viewing_time"":50587.79500000001}]","","","","","","",""
"4290.104999999981","","","instructions","9","232556","0.0-9.0","tr82nfna","[{""page_index"":0,""viewing_time"":4290.005000000005}]","","","","","","",""
"","","","call-function","10","232557","0.0-10.0","tr82nfna","","","","","","","",""
"null","","","html-keyboard-response","11","234059","0.0-11.0","tr82nfna","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","12","237135","0.0-12.0","tr82nfna","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_3/1592047.bmp_pp52_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","13","238636","0.0-13.0","tr82nfna","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","14","241697","0.0-14.0","tr82nfna","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_3/1592047.bmp_pp63_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","15","241698","0.0-15.0","tr82nfna","","","","","","","",""
"2899.2600000000093","","","categorize-html","16","246600","0.0-16.0","tr82nfna","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","false"
"null","","","html-keyboard-response","17","247105","0.0-17.0","tr82nfna",""," ","null","","","","",""
"","","","call-function","18","247106","0.0-18.0","tr82nfna","","","","","","","",""
"null","","","html-keyboard-response","19","248607","0.0-19.0","tr82nfna","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","20","251676","0.0-20.0","tr82nfna","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_3/713788.bmp_pp52_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","21","253180","0.0-21.0","tr82nfna","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","22","256247","0.0-22.0","tr82nfna","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_3/713788.bmp_pp63_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","23","256248","0.0-23.0","tr82nfna","","","","","","","",""
