"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct"
"360864.39","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","360876","0.0-0.0","dn28g3pa","","","","","","","",""
"155345.84500000003","","","instructions","1","516223","0.0-1.0","dn28g3pa","[{""page_index"":0,""viewing_time"":155345.7}]","","","","","","",""
"6850.734999999986","{""Age"":0,""Sex"":0,""Gender"":0}","[0,1,2]","survey-likert","2","523076","0.0-2.0","dn28g3pa","","","","","","","",""
"1354.109999999986","","","instructions","3","524431","0.0-3.0","dn28g3pa","[{""page_index"":0,""viewing_time"":1354.0050000000047}]","","","","","","",""
"9579.020000000019","","","instructions","4","534011","0.0-4.0","dn28g3pa","[{""page_index"":0,""viewing_time"":1231.5650000000605},{""page_index"":1,""viewing_time"":4274.630000000005},{""page_index"":2,""viewing_time"":4072.274999999907}]","","","","","","",""
"2324.1049999999814","","","instructions","5","536336","0.0-5.0","dn28g3pa","[{""page_index"":0,""viewing_time"":2324.0050000000047}]","","","","","","",""
"null","","","video-keyboard-response","6","539412","0.0-6.0","dn28g3pa","","","null","","","","",""
"30647.14500000002","","","instructions","7","570060","0.0-7.0","dn28g3pa","[{""page_index"":0,""viewing_time"":1993.1849999999395},{""page_index"":1,""viewing_time"":6755.9700000000885},{""page_index"":2,""viewing_time"":782.984999999986},{""page_index"":3,""viewing_time"":5433.939999999944},{""page_index"":4,""viewing_time"":3457.530000000028},{""page_index"":5,""viewing_time"":6053.479999999981},{""page_index"":6,""viewing_time"":4633.920000000042},{""page_index"":7,""viewing_time"":1535.9499999999534}]","","","","","","",""
"4578.219999999972","","","instructions","8","574639","0.0-8.0","dn28g3pa","[{""page_index"":0,""viewing_time"":4578.094999999972}]","","","","","","",""
"1440.9350000000559","","","instructions","9","576080","0.0-9.0","dn28g3pa","[{""page_index"":0,""viewing_time"":1440.8100000000559}]","","","","","","",""
"","","","call-function","10","576081","0.0-10.0","dn28g3pa","","","","","","","",""
"null","","","html-keyboard-response","11","577582","0.0-11.0","dn28g3pa","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","12","580662","0.0-12.0","dn28g3pa","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_4/1592501.bmp_pp51_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","13","582165","0.0-13.0","dn28g3pa","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
