"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct"
"15107.369999999999","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","15116","0.0-0.0","6qatxo38","","","","","","","",""
"115665.77","","","instructions","1","130783","0.0-1.0","6qatxo38","[{""page_index"":0,""viewing_time"":115665.62}]","","","","","","",""
"8164.100000000006","{""Age"":1,""Sex"":1,""Gender"":1}","[0,1,2]","survey-likert","2","138950","0.0-2.0","6qatxo38","","","","","","","",""
"2087.8249999999825","","","instructions","3","141038","0.0-3.0","6qatxo38","[{""page_index"":0,""viewing_time"":2087.725000000006}]","","","","","","",""
"21830.78999999998","","","instructions","4","162869","0.0-4.0","6qatxo38","[{""page_index"":0,""viewing_time"":1113.8800000000047},{""page_index"":1,""viewing_time"":11916.73999999999},{""page_index"":2,""viewing_time"":8800.049999999988}]","","","","","","",""
"3812.6350000000093","","","instructions","5","166682","0.0-5.0","6qatxo38","[{""page_index"":0,""viewing_time"":3812.5350000000035}]","","","","","","",""
"null","","","video-keyboard-response","6","169755","0.0-6.0","6qatxo38","","","null","","","","",""
"45088.905","","","instructions","7","214844","0.0-7.0","6qatxo38","[{""page_index"":0,""viewing_time"":5611.860000000015},{""page_index"":1,""viewing_time"":4236.904999999999},{""page_index"":2,""viewing_time"":2303.1199999999953},{""page_index"":3,""viewing_time"":6448.885000000009},{""page_index"":4,""viewing_time"":9082.095000000001},{""page_index"":5,""viewing_time"":9011.949999999983},{""page_index"":6,""viewing_time"":7299.040000000008},{""page_index"":7,""viewing_time"":1094.929999999993}]","","","","","","",""
"15559.23999999999","","","instructions","8","230404","0.0-8.0","6qatxo38","[{""page_index"":0,""viewing_time"":15558.994999999995}]","","","","","","",""
"5841.864999999991","","","instructions","9","236246","0.0-9.0","6qatxo38","[{""page_index"":0,""viewing_time"":5841.244999999995}]","","","","","","",""
"","","","call-function","10","236247","0.0-10.0","6qatxo38","","","","","","","",""
"null","","","html-keyboard-response","11","237752","0.0-11.0","6qatxo38","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","12","240828","0.0-12.0","6qatxo38","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_5/1592168.bmp_pp64_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","13","242331","0.0-13.0","6qatxo38","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","14","245404","0.0-14.0","6qatxo38","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_5/1592168.bmp_pp151_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","15","245404","0.0-15.0","6qatxo38","","","","","","","",""
"2483.180000000022","","","categorize-html","16","249895","0.0-16.0","6qatxo38","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","true"
"null","","","html-keyboard-response","17","250397","0.0-17.0","6qatxo38",""," ","null","","","","",""
"","","","call-function","18","250397","0.0-18.0","6qatxo38","","","","","","","",""
"null","","","html-keyboard-response","19","251900","0.0-19.0","6qatxo38","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","20","254976","0.0-20.0","6qatxo38","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_5/1592017.bmp_pp64_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","21","256480","0.0-21.0","6qatxo38","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","22","259558","0.0-22.0","6qatxo38","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_5/1592017.bmp_pp151_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","23","259560","0.0-23.0","6qatxo38","","","","","","","",""
