"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct"
"2489537.14","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","2489549","0.0-0.0","hxeyc6ya","","","","","","","",""
"133823.00500000035","","","instructions","1","2623373","0.0-1.0","hxeyc6ya","[{""page_index"":0,""viewing_time"":133822.86000000034}]","","","","","","",""
"5790.495000000112","{""Age"":0,""Sex"":1,""Gender"":1}","[0,1,2]","survey-likert","2","2629166","0.0-2.0","hxeyc6ya","","","","","","","",""
"2960.9300000001676","","","instructions","3","2632127","0.0-3.0","hxeyc6ya","[{""page_index"":0,""viewing_time"":2960.8250000001863}]","","","","","","",""
"244502.8250000002","","","instructions","4","2876631","0.0-4.0","hxeyc6ya","[{""page_index"":0,""viewing_time"":230386.90500000026},{""page_index"":1,""viewing_time"":10740.294999999925},{""page_index"":2,""viewing_time"":3375.035000000149}]","","","","","","",""
"2461.3700000001118","","","instructions","5","2879094","0.0-5.0","hxeyc6ya","[{""page_index"":0,""viewing_time"":2461.2650000001304}]","","","","","","",""
"null","","","video-keyboard-response","6","2882168","0.0-6.0","hxeyc6ya","","","null","","","","",""
"24597.60499999998","","","instructions","7","2906766","0.0-7.0","hxeyc6ya","[{""page_index"":0,""viewing_time"":1786.2099999999627},{""page_index"":1,""viewing_time"":1594.9249999998137},{""page_index"":2,""viewing_time"":2681.5750000001863},{""page_index"":3,""viewing_time"":2257.6200000001118},{""page_index"":4,""viewing_time"":6715.899999999907},{""page_index"":5,""viewing_time"":6969.98499999987},{""page_index"":6,""viewing_time"":2529.9599999999627},{""page_index"":7,""viewing_time"":61.30500000016764}]","","","","","","",""
"3863.454999999609","","","instructions","8","2910629","0.0-8.0","hxeyc6ya","[{""page_index"":0,""viewing_time"":3863.3249999997206}]","","","","","","",""
"1523.6849999995902","","","instructions","9","2912153","0.0-9.0","hxeyc6ya","[{""page_index"":0,""viewing_time"":1523.5749999997206}]","","","","","","",""
"","","","call-function","10","2912154","0.0-10.0","hxeyc6ya","","","","","","","",""
"null","","","html-keyboard-response","11","2913659","0.0-11.0","hxeyc6ya","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","12","2916736","0.0-12.0","hxeyc6ya","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_6/1160140.bmp_pp75_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","13","2918239","0.0-13.0","hxeyc6ya","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","14","2921311","0.0-14.0","hxeyc6ya","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_6/1160140.bmp_pp57_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","15","2921311","0.0-15.0","hxeyc6ya","","","","","","","",""
"2783.9799999999814","","","categorize-html","16","2926097","0.0-16.0","hxeyc6ya","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","true"
"null","","","html-keyboard-response","17","2926599","0.0-17.0","hxeyc6ya",""," ","null","","","","",""
"","","","call-function","18","2926600","0.0-18.0","hxeyc6ya","","","","","","","",""
"null","","","html-keyboard-response","19","2928106","0.0-19.0","hxeyc6ya","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","20","2931196","0.0-20.0","hxeyc6ya","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_6/107906.bmp_pp75_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","21","2932703","0.0-21.0","hxeyc6ya","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","22","2935820","0.0-22.0","hxeyc6ya","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_6/107906.bmp_pp57_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","23","2935821","0.0-23.0","hxeyc6ya","","","","","","","",""
"1905.7999999998137","","","categorize-html","24","2939733","0.0-24.0","hxeyc6ya","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","true"
"null","","","html-keyboard-response","25","2940237","0.0-25.0","hxeyc6ya",""," ","null","","","","",""
"","","","call-function","26","2940238","0.0-26.0","hxeyc6ya","","","","","","","",""
"null","","","html-keyboard-response","27","2941744","0.0-27.0","hxeyc6ya","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","28","2944849","0.0-28.0","hxeyc6ya","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_6/1591977.bmp_pp57_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","29","2946355","0.0-29.0","hxeyc6ya","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
