"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct"
"911904.51","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)""]}","[0]","survey-multi-select","0","911912","0.0-0.0","kparyk2c","","","","","","","",""
"55491.27500000002","","","instructions","1","967405","0.0-1.0","kparyk2c","[{""page_index"":0,""viewing_time"":55491.119999999995}]","","","","","","",""
"19719.015000000014","","","instructions","2","987125","0.0-2.0","kparyk2c","[{""page_index"":0,""viewing_time"":5128.640000000014},{""page_index"":1,""viewing_time"":8913.119999999995},{""page_index"":2,""viewing_time"":5677.130000000005}]","","","","","","",""
"5711.459999999963","","","instructions","3","992837","0.0-3.0","kparyk2c","[{""page_index"":0,""viewing_time"":5711.344999999972}]","","","","","","",""
"null","","","video-keyboard-response","4","995927","0.0-4.0","kparyk2c","","","null","","","","",""
"57864.18000000017","","","instructions","5","1053792","0.0-5.0","kparyk2c","[{""page_index"":0,""viewing_time"":2951.7350000001024},{""page_index"":1,""viewing_time"":3619.2099999999627},{""page_index"":2,""viewing_time"":1068.9599999999627},{""page_index"":3,""viewing_time"":16949.31500000006},{""page_index"":4,""viewing_time"":9828.949999999953},{""page_index"":5,""viewing_time"":8044.619999999995},{""page_index"":6,""viewing_time"":12902.23999999999},{""page_index"":7,""viewing_time"":2498.9799999999814}]","","","","","","",""
"5671.620000000112","","","instructions","6","1059465","0.0-6.0","kparyk2c","[{""page_index"":0,""viewing_time"":5670.929999999935}]","","","","","","",""
"1821.2299999999814","","","instructions","7","1061287","0.0-7.0","kparyk2c","[{""page_index"":0,""viewing_time"":1821.125}]","","","","","","",""
"","","","call-function","8","1061288","0.0-8.0","kparyk2c","","","","","","","",""
"null","","","html-keyboard-response","9","1062789","0.0-9.0","kparyk2c","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","10","1067313","0.0-10.0","kparyk2c","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_7/498280.bmp_pp81_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","11","1068819","0.0-11.0","kparyk2c","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","12","1071922","0.0-12.0","kparyk2c","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_7/498280.bmp_pp71_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","13","1071922","0.0-13.0","kparyk2c","","","","","","","",""
"1601.6499999999069","","","categorize-html","14","1075527","0.0-14.0","kparyk2c","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","true"
"null","","","html-keyboard-response","15","1076034","0.0-15.0","kparyk2c",""," ","null","","","","",""
"","","","call-function","16","1076034","0.0-16.0","kparyk2c","","","","","","","",""
"null","","","html-keyboard-response","17","1077539","0.0-17.0","kparyk2c","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","18","1080620","0.0-18.0","kparyk2c","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_7/498175.bmp_pp81_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","19","1082122","0.0-19.0","kparyk2c","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","20","1085204","0.0-20.0","kparyk2c","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_7/498175.bmp_pp71_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","21","1085205","0.0-21.0","kparyk2c","","","","","","","",""
"4245.104999999981","","","categorize-html","22","1091454","0.0-22.0","kparyk2c","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","true"
"null","","","html-keyboard-response","23","1091955","0.0-23.0","kparyk2c",""," ","null","","","","",""
"","","","call-function","24","1091956","0.0-24.0","kparyk2c","","","","","","","",""
"null","","","html-keyboard-response","25","1093457","0.0-25.0","kparyk2c","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","26","1096615","0.0-26.0","kparyk2c","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_7/1591781.bmp_pp71_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","27","1098117","0.0-27.0","kparyk2c","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","28","1101241","0.0-28.0","kparyk2c","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_7/1591781.bmp_pp81_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","29","1101241","0.0-29.0","kparyk2c","","","","","","","",""
"2105.75","","","categorize-html","30","1105351","0.0-30.0","kparyk2c","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","50","","","","","true"
"null","","","html-keyboard-response","31","1105853","0.0-31.0","kparyk2c",""," ","null","","","","",""
"","","","call-function","32","1105853","0.0-32.0","kparyk2c","","","","","","","",""
"null","","","html-keyboard-response","33","1107355","0.0-33.0","kparyk2c","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","34","1110478","0.0-34.0","kparyk2c","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_7/713858.bmp_pp81_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","35","1111984","0.0-35.0","kparyk2c","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","36","1115095","0.0-36.0","kparyk2c","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_7/713858.bmp_pp71_L1_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","37","1115095","0.0-37.0","kparyk2c","","","","","","","",""
"515.4849999998696","","","categorize-html","38","1117616","0.0-38.0","kparyk2c","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","true"
"null","","","html-keyboard-response","39","1118120","0.0-39.0","kparyk2c",""," ","null","","","","",""
