"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct"
"5148","{""Experimenter"":[""Made the experiment full screen""]}","[0]","survey-multi-select","0","5157","0.0-0.0","4arfrsr8","","","","","","","",""
"732.5999999940395","","","instructions","1","5891","0.0-1.0","4arfrsr8","[{""page_index"":0,""viewing_time"":732.1999999955297}]","","","","","","",""
"16198.70000000298","{""Age"":6,""Sex"":1,""Gender"":2}","[0,1,2]","survey-likert","2","22091","0.0-2.0","4arfrsr8","","","","","","","",""
"847.0999999940395","","","instructions","3","22939","0.0-3.0","4arfrsr8","[{""page_index"":0,""viewing_time"":846.8999999985099}]","","","","","","",""
"1965.0999999940395","","","instructions","4","24905","0.0-4.0","4arfrsr8","[{""page_index"":0,""viewing_time"":444.5},{""page_index"":1,""viewing_time"":583.1999999955297},{""page_index"":2,""viewing_time"":937.1000000014901}]","","","","","","",""
"708.6999999955297","","","instructions","5","25614","0.0-5.0","4arfrsr8","[{""page_index"":0,""viewing_time"":708.5}]","","","","","","",""
"null","","","video-keyboard-response","6","28718","0.0-6.0","4arfrsr8","","","null","","","","",""
"16299","","","instructions","7","45017","0.0-7.0","4arfrsr8","[{""page_index"":0,""viewing_time"":10516.79999999702},{""page_index"":1,""viewing_time"":718.5},{""page_index"":2,""viewing_time"":443.70000000298023},{""page_index"":3,""viewing_time"":597.7999999970198},{""page_index"":4,""viewing_time"":644.8999999985099},{""page_index"":5,""viewing_time"":680},{""page_index"":6,""viewing_time"":808.1000000014901},{""page_index"":7,""viewing_time"":1889.1000000014901}]","","","","","","",""
"1679.5","","","instructions","8","46697","0.0-8.0","4arfrsr8","[{""page_index"":0,""viewing_time"":1679.2999999970198}]","","","","","","",""
"2616.7999999970198","","","instructions","9","49314","0.0-9.0","4arfrsr8","[{""page_index"":0,""viewing_time"":2616.60000000149}]","","","","","","",""
"","","","call-function","10","49315","0.0-10.0","4arfrsr8","","","","","","","",""
"null","","","html-keyboard-response","11","50825","0.0-11.0","4arfrsr8","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","12","53879","0.0-12.0","4arfrsr8","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","subject_8/1592519.bmp_pp153_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","13","55381","0.0-13.0","4arfrsr8","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","14","58434","0.0-14.0","4arfrsr8","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","subject_8/1592519.bmp_pp92_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","15","58434","0.0-15.0","4arfrsr8","","","","","","","",""
"416.29999999701977","","","categorize-html","16","60854","0.0-16.0","4arfrsr8","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","false"
"null","","","html-keyboard-response","17","61361","0.0-17.0","4arfrsr8",""," ","null","","","","",""
"","","","call-function","18","61361","0.0-18.0","4arfrsr8","","","","","","","",""
"null","","","html-keyboard-response","19","62869","0.0-19.0","4arfrsr8","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","20","65931","0.0-20.0","4arfrsr8","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","subject_8/713689.bmp_pp92_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","21","67438","0.0-21.0","4arfrsr8","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","22","70479","0.0-22.0","4arfrsr8","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","subject_8/713689.bmp_pp153_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","23","70480","0.0-23.0","4arfrsr8","","","","","","","",""
"416.69999999552965","","","categorize-html","24","72903","0.0-24.0","4arfrsr8","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","50","","","","","false"
"null","","","html-keyboard-response","25","73406","0.0-25.0","4arfrsr8",""," ","null","","","","",""
"","","","call-function","26","73406","0.0-26.0","4arfrsr8","","","","","","","",""
"null","","","html-keyboard-response","27","74909","0.0-27.0","4arfrsr8","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","28","77967","0.0-28.0","4arfrsr8","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","subject_8/498024.bmp_pp92_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","29","79472","0.0-29.0","4arfrsr8","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","30","82536","0.0-30.0","4arfrsr8","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","subject_8/498024.bmp_pp153_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","31","82538","0.0-31.0","4arfrsr8","","","","","","","",""
"579.8999999985099","","","categorize-html","32","85128","0.0-32.0","4arfrsr8","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","true"
"null","","","html-keyboard-response","33","85633","0.0-33.0","4arfrsr8",""," ","null","","","","",""
"","","","call-function","34","85633","0.0-34.0","4arfrsr8","","","","","","","",""
"null","","","html-keyboard-response","35","87141","0.0-35.0","4arfrsr8","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","36","90219","0.0-36.0","4arfrsr8","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","subject_8/713829.bmp_pp153_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","37","91727","0.0-37.0","4arfrsr8","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","38","94788","0.0-38.0","4arfrsr8","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","subject_8/713829.bmp_pp92_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","39","94790","0.0-39.0","4arfrsr8","","","","","","","",""
"507.8999999985099","","","categorize-html","40","97304","0.0-40.0","4arfrsr8","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","false"
"null","","","html-keyboard-response","41","97810","0.0-41.0","4arfrsr8",""," ","null","","","","",""
"","","","call-function","42","97810","0.0-42.0","4arfrsr8","","","","","","","",""
"null","","","html-keyboard-response","43","99320","0.0-43.0","4arfrsr8","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","44","102386","0.0-44.0","4arfrsr8","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","subject_8/1592378.bmp_pp153_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","45","103893","0.0-45.0","4arfrsr8","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","46","106938","0.0-46.0","4arfrsr8","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","subject_8/1592378.bmp_pp92_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","47","106939","0.0-47.0","4arfrsr8","","","","","","","",""
"346.90000000596046","","","categorize-html","48","109295","0.0-48.0","4arfrsr8","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","50","","","","","true"
"null","","","html-keyboard-response","49","109799","0.0-49.0","4arfrsr8",""," ","null","","","","",""
"","","","call-function","50","109799","0.0-50.0","4arfrsr8","","","","","","","",""
"null","","","html-keyboard-response","51","111303","0.0-51.0","4arfrsr8","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","52","114362","0.0-52.0","4arfrsr8","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","subject_8/1593058.bmp_pp92_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","53","115871","0.0-53.0","4arfrsr8","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","54","118943","0.0-54.0","4arfrsr8","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","subject_8/1593058.bmp_pp153_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","55","118944","0.0-55.0","4arfrsr8","","","","","","","",""
"709","","","categorize-html","56","121663","0.0-56.0","4arfrsr8","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","true"
"null","","","html-keyboard-response","57","122167","0.0-57.0","4arfrsr8",""," ","null","","","","",""
"","","","call-function","58","122168","0.0-58.0","4arfrsr8","","","","","","","",""
"null","","","html-keyboard-response","59","123674","0.0-59.0","4arfrsr8","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","60","126716","0.0-60.0","4arfrsr8","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","subject_8/150463.bmp_pp153_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","61","128222","0.0-61.0","4arfrsr8","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","62","131282","0.0-62.0","4arfrsr8","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","subject_8/150463.bmp_pp92_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","63","131282","0.0-63.0","4arfrsr8","","","","","","","",""
"563.6999999955297","","","categorize-html","64","133854","0.0-64.0","4arfrsr8","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","false"
"null","","","html-keyboard-response","65","134360","0.0-65.0","4arfrsr8",""," ","null","","","","",""
"","","","call-function","66","134360","0.0-66.0","4arfrsr8","","","","","","","",""
"null","","","html-keyboard-response","67","135861","0.0-67.0","4arfrsr8","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","68","138954","0.0-68.0","4arfrsr8","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","subject_8/1592241.bmp_pp153_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","69","140464","0.0-69.0","4arfrsr8","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","70","143521","0.0-70.0","4arfrsr8","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","subject_8/1592241.bmp_pp92_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","71","143521","0.0-71.0","4arfrsr8","","","","","","","",""
"697.1000000014901","","","categorize-html","72","146222","0.0-72.0","4arfrsr8","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","50","","","","","true"
"null","","","html-keyboard-response","73","146728","0.0-73.0","4arfrsr8",""," ","null","","","","",""
"","","","call-function","74","146728","0.0-74.0","4arfrsr8","","","","","","","",""
"null","","","html-keyboard-response","75","148231","0.0-75.0","4arfrsr8","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","76","151296","0.0-76.0","4arfrsr8","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","subject_8/713640.bmp_pp153_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","77","152800","0.0-77.0","4arfrsr8","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","78","155843","0.0-78.0","4arfrsr8","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","subject_8/713640.bmp_pp92_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","79","155843","0.0-79.0","4arfrsr8","","","","","","","",""
"530.5","","","categorize-html","80","158384","0.0-80.0","4arfrsr8","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","false"
"null","","","html-keyboard-response","81","158890","0.0-81.0","4arfrsr8",""," ","null","","","","",""
"","","","call-function","82","158890","0.0-82.0","4arfrsr8","","","","","","","",""
"null","","","html-keyboard-response","83","160402","0.0-83.0","4arfrsr8","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","84","163477","0.0-84.0","4arfrsr8","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","subject_8/1591920.bmp_pp92_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","85","164985","0.0-85.0","4arfrsr8","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","86","168044","0.0-86.0","4arfrsr8","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","subject_8/1591920.bmp_pp153_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","87","168045","0.0-87.0","4arfrsr8","","","","","","","",""
"361","","","categorize-html","88","170415","0.0-88.0","4arfrsr8","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","true"
"null","","","html-keyboard-response","89","170918","0.0-89.0","4arfrsr8",""," ","null","","","","",""
"2603.10000000149","","","instructions","90","173522","0.0-90.0","4arfrsr8","[{""page_index"":0,""viewing_time"":1713.7000000029802},{""page_index"":1,""viewing_time"":624.3999999985099},{""page_index"":2,""viewing_time"":264.8999999985099}]","","","","","","",""
"1202.2999999970198","","","instructions","91","174725","0.0-91.0","4arfrsr8","[{""page_index"":0,""viewing_time"":356.20000000298023},{""page_index"":1,""viewing_time"":411.3999999985099},{""page_index"":2,""viewing_time"":434.6000000014901}]","","","","","","",""
"","","","call-function","92","174725","0.0-92.0","4arfrsr8","","","","","","","",""
"null","","","html-keyboard-response","93","176230","0.0-93.0","4arfrsr8","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","94","179296","0.0-94.0","4arfrsr8","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","subject_8/1160158.bmp_pp153_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","95","180798","0.0-95.0","4arfrsr8","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","96","183846","0.0-96.0","4arfrsr8","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","subject_8/1160158.bmp_pp92_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","97","183846","0.0-97.0","4arfrsr8","","","","","","","",""
"505.5","","","categorize-html","98","186361","0.0-98.0","4arfrsr8","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","50","","","","","true"
"null","","","html-keyboard-response","99","186874","0.0-99.0","4arfrsr8",""," ","null","","","","",""
"","","","call-function","100","186874","0.0-100.0","4arfrsr8","","","","","","","",""
"null","","","html-keyboard-response","101","188384","0.0-101.0","4arfrsr8","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","102","191463","0.0-102.0","4arfrsr8","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","subject_8/713403.bmp_pp92_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","103","192970","0.0-103.0","4arfrsr8","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","104","196030","0.0-104.0","4arfrsr8","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","subject_8/713403.bmp_pp153_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","105","196031","0.0-105.0","4arfrsr8","","","","","","","",""
"742.7999999970198","","","categorize-html","106","198784","0.0-106.0","4arfrsr8","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","true"
"null","","","html-keyboard-response","107","199287","0.0-107.0","4arfrsr8",""," ","null","","","","",""
"","","","call-function","108","199287","0.0-108.0","4arfrsr8","","","","","","","",""
"null","","","html-keyboard-response","109","200791","0.0-109.0","4arfrsr8","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","110","203865","0.0-110.0","4arfrsr8","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","subject_8/1591858.bmp_pp153_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","111","205378","0.0-111.0","4arfrsr8","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","112","208446","0.0-112.0","4arfrsr8","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","subject_8/1591858.bmp_pp92_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","113","208446","0.0-113.0","4arfrsr8","","","","","","","",""
"523.9000000059605","","","categorize-html","114","210978","0.0-114.0","4arfrsr8","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","50","","","","","true"
"null","","","html-keyboard-response","115","211490","0.0-115.0","4arfrsr8",""," ","null","","","","",""
"","","","call-function","116","211490","0.0-116.0","4arfrsr8","","","","","","","",""
"null","","","html-keyboard-response","117","213001","0.0-117.0","4arfrsr8","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","118","216061","0.0-118.0","4arfrsr8","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","subject_8/286058.bmp_pp153_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","119","217568","0.0-119.0","4arfrsr8","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","120","220634","0.0-120.0","4arfrsr8","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","subject_8/286058.bmp_pp92_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","121","220635","0.0-121.0","4arfrsr8","","","","","","","",""
"654.6000000014901","","","categorize-html","122","223298","0.0-122.0","4arfrsr8","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","false"
"null","","","html-keyboard-response","123","223807","0.0-123.0","4arfrsr8",""," ","null","","","","",""
"","","","call-function","124","223807","0.0-124.0","4arfrsr8","","","","","","","",""
"null","","","html-keyboard-response","125","225310","0.0-125.0","4arfrsr8","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","126","228397","0.0-126.0","4arfrsr8","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","subject_8/1159293.bmp_pp153_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","127","229907","0.0-127.0","4arfrsr8","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","128","232982","0.0-128.0","4arfrsr8","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","subject_8/1159293.bmp_pp92_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","129","232982","0.0-129.0","4arfrsr8","","","","","","","",""
"485.8999999985099","","","categorize-html","130","235470","0.0-130.0","4arfrsr8","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","50","","","","","true"
"null","","","html-keyboard-response","131","235974","0.0-131.0","4arfrsr8",""," ","null","","","","",""
"","","","call-function","132","235974","0.0-132.0","4arfrsr8","","","","","","","",""
"null","","","html-keyboard-response","133","237478","0.0-133.0","4arfrsr8","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","134","240610","0.0-134.0","4arfrsr8","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","subject_8/1159621.bmp_pp153_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","135","242123","0.0-135.0","4arfrsr8","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","136","245179","0.0-136.0","4arfrsr8","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","subject_8/1159621.bmp_pp92_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","137","245179","0.0-137.0","4arfrsr8","","","","","","","",""
"505.19999999552965","","","categorize-html","138","247690","0.0-138.0","4arfrsr8","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","false"
"null","","","html-keyboard-response","139","248203","0.0-139.0","4arfrsr8",""," ","null","","","","",""
"","","","call-function","140","248204","0.0-140.0","4arfrsr8","","","","","","","",""
"null","","","html-keyboard-response","141","249710","0.0-141.0","4arfrsr8","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","142","252794","0.0-142.0","4arfrsr8","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","subject_8/1159497.bmp_pp92_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","143","254307","0.0-143.0","4arfrsr8","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","144","257360","0.0-144.0","4arfrsr8","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","subject_8/1159497.bmp_pp153_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","145","257360","0.0-145.0","4arfrsr8","","","","","","","",""
"1173.6000000014901","","","categorize-html","146","260542","0.0-146.0","4arfrsr8","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","50","","","","","false"
"null","","","html-keyboard-response","147","261047","0.0-147.0","4arfrsr8",""," ","null","","","","",""
"","","","call-function","148","261047","0.0-148.0","4arfrsr8","","","","","","","",""
"null","","","html-keyboard-response","149","262550","0.0-149.0","4arfrsr8","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","150","265599","0.0-150.0","4arfrsr8","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","subject_8/713620.bmp_pp92_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","151","267107","0.0-151.0","4arfrsr8","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","152","270167","0.0-152.0","4arfrsr8","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","subject_8/713620.bmp_pp153_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","153","270168","0.0-153.0","4arfrsr8","","","","","","","",""
"527.8000000044703","","","categorize-html","154","272705","0.0-154.0","4arfrsr8","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","true"
"null","","","html-keyboard-response","155","273219","0.0-155.0","4arfrsr8",""," ","null","","","","",""
"","","","call-function","156","273220","0.0-156.0","4arfrsr8","","","","","","","",""
"null","","","html-keyboard-response","157","274729","0.0-157.0","4arfrsr8","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","158","277814","0.0-158.0","4arfrsr8","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","subject_8/1592298.bmp_pp153_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","159","279320","0.0-159.0","4arfrsr8","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
