"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","value","stimulus","key_press","agent","image"
"311987.98","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","311996","0.0-0.0","1ng3vcfh","","","","","",""
"41060.505000000005","","","instructions","1","353058","0.0-1.0","1ng3vcfh","[{""page_index"":0,""viewing_time"":41060.35500000004}]","","","","",""
"8724.38500000001","{""Age"":3,""Sex"":0,""Gender"":0}","[0,1,2]","survey-likert","2","361784","0.0-2.0","1ng3vcfh","","","","","",""
"1382.5999999999767","","","instructions","3","363167","0.0-3.0","1ng3vcfh","[{""page_index"":0,""viewing_time"":1382.5}]","","","","",""
"7864.494999999995","","","instructions","4","371033","0.0-4.0","1ng3vcfh","[{""page_index"":0,""viewing_time"":5550.474999999977},{""page_index"":1,""viewing_time"":2313.3699999999953}]","","","","",""
"12478.694999999949","","","instructions","5","383513","0.0-5.0","1ng3vcfh","[{""page_index"":0,""viewing_time"":2031.634999999951},{""page_index"":1,""viewing_time"":5242.950000000012},{""page_index"":2,""viewing_time"":5203.994999999995}]","","","","",""
"3416.2700000000186","","","instructions","6","386929","0.0-6.0","1ng3vcfh","[{""page_index"":0,""viewing_time"":3416.164999999979}]","","","","",""
"","","","call-function","7","386930","0.0-7.0","1ng3vcfh","","","","","",""
"null","","","video-keyboard-response","8","390018","0.0-8.0","1ng3vcfh","","","","null","",""
"","","","call-function","9","390018","0.0-9.0","1ng3vcfh","","","","","",""
