"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","value","stimulus","key_press","agent","image"
"19558.16","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","19566","0.0-0.0","41n0m09v","","","","","",""
"64844.284999999996","","","instructions","1","84412","0.0-1.0","41n0m09v","[{""page_index"":0,""viewing_time"":64843.745}]","","","","",""
"15073.625","{""Age"":0,""Sex"":1,""Gender"":1}","[0,1,2]","survey-likert","2","99489","0.0-2.0","41n0m09v","","","","","",""
"1208.7400000000052","","","instructions","3","100698","0.0-3.0","41n0m09v","[{""page_index"":0,""viewing_time"":1208.6399999999994}]","","","","",""
"5418.220000000001","","","instructions","4","106117","0.0-4.0","41n0m09v","[{""page_index"":0,""viewing_time"":3909.6350000000093},{""page_index"":1,""viewing_time"":1508.020000000004}]","","","","",""
"8049.830000000002","","","instructions","5","114168","0.0-5.0","41n0m09v","[{""page_index"":0,""viewing_time"":1721.9850000000006},{""page_index"":1,""viewing_time"":2698.824999999997},{""page_index"":2,""viewing_time"":3628.9050000000134}]","","","","",""
"2635.170000000013","","","instructions","6","116804","0.0-6.0","41n0m09v","[{""page_index"":0,""viewing_time"":2635.070000000007}]","","","","",""
"","","","call-function","7","116805","0.0-7.0","41n0m09v","","","","","",""
"null","","","video-keyboard-response","8","119956","0.0-8.0","41n0m09v","","","","null","",""
"","","","call-function","9","119956","0.0-9.0","41n0m09v","","","","","",""
"7287.530000000013","","","instructions","10","127244","0.0-10.0","41n0m09v","[{""page_index"":0,""viewing_time"":2301},{""page_index"":1,""viewing_time"":1554.0550000000076},{""page_index"":2,""viewing_time"":964.9649999999965},{""page_index"":3,""viewing_time"":2467.4000000000087}]","","","","",""
"712.4400000000023","","","instructions","11","127957","0.0-11.0","41n0m09v","[{""page_index"":0,""viewing_time"":712.3250000000116}]","","","","",""
"","","","call-function","12","127958","0.0-12.0","41n0m09v","","","","","",""
"null","","","video-keyboard-response","13","131031","0.0-13.0","41n0m09v","","","","null","",""
"","","","call-function","14","131032","0.0-14.0","41n0m09v","","","","","",""
"11355.459999999992","{""pre-1"":0}","[0]","survey-likert","15","142389","0.0-15.0","41n0m09v","","","","","",""
"4581.764999999985","{""pre-2"":1}","[0]","survey-likert","16","146971","0.0-16.0","41n0m09v","","","","","",""
"6507.7699999999895","{""pre-3"":1}","[0]","survey-likert","17","153480","0.0-17.0","41n0m09v","","","","","",""
"2379.100000000006","{""post-5"":2}","[0]","survey-likert","18","155860","0.0-18.0","41n0m09v","","","","","",""
"847.4900000000198","","","instructions","19","156708","0.0-19.0","41n0m09v","[{""page_index"":0,""viewing_time"":847.2800000000279}]","","","","",""
