"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","value","stimulus","key_press","agent","image"
"68603.28","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","68612","0.0-0.0","4e7vau8x","","","","","",""
"35127.18999999999","","","instructions","1","103740","0.0-1.0","4e7vau8x","[{""page_index"":0,""viewing_time"":35127.03999999999}]","","","","",""
"8016.315000000002","{""Age"":0,""Sex"":1,""Gender"":2}","[0,1,2]","survey-likert","2","111759","0.0-2.0","4e7vau8x","","","","","",""
"1341.1549999999988","","","instructions","3","113101","0.0-3.0","4e7vau8x","[{""page_index"":0,""viewing_time"":1341.0400000000081}]","","","","",""
"4935.070000000007","","","instructions","4","118036","0.0-4.0","4e7vau8x","[{""page_index"":0,""viewing_time"":3508.050000000003},{""page_index"":1,""viewing_time"":1426.9149999999936}]","","","","",""
"6863.9649999999965","","","instructions","5","124901","0.0-5.0","4e7vau8x","[{""page_index"":0,""viewing_time"":1257.5},{""page_index"":1,""viewing_time"":1986.449999999997},{""page_index"":2,""viewing_time"":3619.8899999999994}]","","","","",""
"3314.9649999999965","","","instructions","6","128216","0.0-6.0","4e7vau8x","[{""page_index"":0,""viewing_time"":3314.8650000000052}]","","","","",""
"","","","call-function","7","128217","0.0-7.0","4e7vau8x","","","","","",""
"null","","","video-keyboard-response","8","131289","0.0-8.0","4e7vau8x","","","","null","",""
"","","","call-function","9","131290","0.0-9.0","4e7vau8x","","","","","",""
"8610.495000000024","","","instructions","10","139900","0.0-10.0","4e7vau8x","[{""page_index"":0,""viewing_time"":2240.3800000000047},{""page_index"":1,""viewing_time"":2746.9400000000023},{""page_index"":2,""viewing_time"":864.0800000000163},{""page_index"":3,""viewing_time"":2758.875}]","","","","",""
"982.2700000000186","","","instructions","11","140883","0.0-11.0","4e7vau8x","[{""page_index"":0,""viewing_time"":982.1600000000035}]","","","","",""
"","","","call-function","12","140884","0.0-12.0","4e7vau8x","","","","","",""
"null","","","video-keyboard-response","13","143958","0.0-13.0","4e7vau8x","","","","null","",""
"","","","call-function","14","143958","0.0-14.0","4e7vau8x","","","","","",""
"9903.089999999997","{""pre-1"":2}","[0]","survey-likert","15","153863","0.0-15.0","4e7vau8x","","","","","",""
"5454.635000000009","{""pre-2"":2}","[0]","survey-likert","16","159318","0.0-16.0","4e7vau8x","","","","","",""
"13431.120000000024","{""pre-3"":1}","[0]","survey-likert","17","172751","0.0-17.0","4e7vau8x","","","","","",""
"7396.005000000005","{""post-5"":1}","[0]","survey-likert","18","180149","0.0-18.0","4e7vau8x","","","","","",""
"975.1900000000023","","","instructions","19","181125","0.0-19.0","4e7vau8x","[{""page_index"":0,""viewing_time"":974.3699999999953}]","","","","",""
"4446.224999999977","","","instructions","20","185573","0.0-20.0","4e7vau8x","[{""page_index"":0,""viewing_time"":4446.114999999991}]","","","","",""
"","","","call-function","21","185573","0.0-21.0","4e7vau8x","","","","","",""
"null","","","video-keyboard-response","22","188641","0.0-22.0","4e7vau8x","","","","null","Agent A","STIM_SET_1_REAL/498149.bmp_pp99_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","23","188641","0.0-23.0","4e7vau8x","","","","","",""
"2455.524999999994","{""pre-1"":1}","[0]","survey-likert","24","191098","0.0-24.0","4e7vau8x","","","","","",""
"5076.774999999994","{""pre-2"":1}","[0]","survey-likert","25","196176","0.0-25.0","4e7vau8x","","","","","",""
"5284.794999999984","{""pre-3"":1}","[0]","survey-likert","26","201462","0.0-26.0","4e7vau8x","","","","","",""
"5149.684999999998","{""post-5"":2}","[0]","survey-likert","27","206612","0.0-27.0","4e7vau8x","","","","","",""
"","","","call-function","28","206614","0.0-28.0","4e7vau8x","","","","","",""
"null","","","video-keyboard-response","29","209684","0.0-29.0","4e7vau8x","","","","null","Agent A","STIM_SET_1_REAL/1160168.bmp_pp53_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","30","209685","0.0-30.0","4e7vau8x","","","","","",""
"3812.9249999999884","{""pre-1"":2}","[0]","survey-likert","31","213499","0.0-31.0","4e7vau8x","","","","","",""
"1914.054999999993","{""pre-2"":2}","[0]","survey-likert","32","215414","0.0-32.0","4e7vau8x","","","","","",""
"1705.5650000000023","{""pre-3"":2}","[0]","survey-likert","33","217120","0.0-33.0","4e7vau8x","","","","","",""
"5168.4649999999965","{""post-5"":0}","[0]","survey-likert","34","222290","0.0-34.0","4e7vau8x","","","","","",""
"","","","call-function","35","222290","0.0-35.0","4e7vau8x","","","","","",""
"null","","","video-keyboard-response","36","225367","0.0-36.0","4e7vau8x","","","","null","Agent A","STIM_SET_1_REAL/713593.bmp_pp64_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","37","225368","0.0-37.0","4e7vau8x","","","","","",""
"3418.454999999987","{""pre-1"":2}","[0]","survey-likert","38","228788","0.0-38.0","4e7vau8x","","","","","",""
"3951.329999999987","{""pre-2"":2}","[0]","survey-likert","39","232741","0.0-39.0","4e7vau8x","","","","","",""
"3479.100000000006","{""pre-3"":2}","[0]","survey-likert","40","236222","0.0-40.0","4e7vau8x","","","","","",""
