"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","value","stimulus","key_press","agent","image"
"64167.62","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","64176","0.0-0.0","4k0za41r","","","","","",""
"33403.985","","","instructions","1","97582","0.0-1.0","4k0za41r","[{""page_index"":0,""viewing_time"":33403.83500000001}]","","","","",""
"5199.085000000006","{""Age"":0,""Sex"":1,""Gender"":1}","[0,1,2]","survey-likert","2","102783","0.0-2.0","4k0za41r","","","","","",""
"1102.8849999999948","","","instructions","3","103887","0.0-3.0","4k0za41r","[{""page_index"":0,""viewing_time"":1102.784999999989}]","","","","",""
"2914.5099999999948","","","instructions","4","106801","0.0-4.0","4k0za41r","[{""page_index"":0,""viewing_time"":1515.5950000000012},{""page_index"":1,""viewing_time"":1398.8150000000023}]","","","","",""
"4381.669999999998","","","instructions","5","111183","0.0-5.0","4k0za41r","[{""page_index"":0,""viewing_time"":829.6399999999994},{""page_index"":1,""viewing_time"":1308.945000000007},{""page_index"":2,""viewing_time"":2242.9649999999965}]","","","","",""
"1877.4449999999924","","","instructions","6","113061","0.0-6.0","4k0za41r","[{""page_index"":0,""viewing_time"":1877.3449999999866}]","","","","",""
"","","","call-function","7","113062","0.0-7.0","4k0za41r","","","","","",""
"null","","","video-keyboard-response","8","116137","0.0-8.0","4k0za41r","","","","null","",""
"","","","call-function","9","116137","0.0-9.0","4k0za41r","","","","","",""
"7100.130000000005","","","instructions","10","123238","0.0-10.0","4k0za41r","[{""page_index"":0,""viewing_time"":1752.3899999999994},{""page_index"":1,""viewing_time"":1477.3650000000052},{""page_index"":2,""viewing_time"":943.3349999999919},{""page_index"":3,""viewing_time"":2926.820000000007}]","","","","",""
"926.9499999999971","","","instructions","11","124165","0.0-11.0","4k0za41r","[{""page_index"":0,""viewing_time"":926.8399999999965}]","","","","",""
"","","","call-function","12","124166","0.0-12.0","4k0za41r","","","","","",""
"null","","","video-keyboard-response","13","127238","0.0-13.0","4k0za41r","","","","null","",""
"","","","call-function","14","127239","0.0-14.0","4k0za41r","","","","","",""
"5570.139999999999","{""pre-1"":2}","[0]","survey-likert","15","132810","0.0-15.0","4k0za41r","","","","","",""
"3861.2149999999965","{""pre-2"":1}","[0]","survey-likert","16","136673","0.0-16.0","4k0za41r","","","","","",""
"3768.195000000007","{""pre-3"":0}","[0]","survey-likert","17","140443","0.0-17.0","4k0za41r","","","","","",""
"4561.299999999988","{""post-5"":2}","[0]","survey-likert","18","145006","0.0-18.0","4k0za41r","","","","","",""
"847.6699999999837","","","instructions","19","145854","0.0-19.0","4k0za41r","[{""page_index"":0,""viewing_time"":847.054999999993}]","","","","",""
"2627.7850000000035","","","instructions","20","148483","0.0-20.0","4k0za41r","[{""page_index"":0,""viewing_time"":2627.6699999999837}]","","","","",""
"","","","call-function","21","148483","0.0-21.0","4k0za41r","","","","","",""
"null","","","video-keyboard-response","22","151562","0.0-22.0","4k0za41r","","","","null","Agent A","STIM_SET_1_REAL/713707.bmp_pp154_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","23","151563","0.0-23.0","4k0za41r","","","","","",""
"3795.3399999999965","{""pre-1"":2}","[0]","survey-likert","24","155359","0.0-24.0","4k0za41r","","","","","",""
"3446.920000000013","{""pre-2"":1}","[0]","survey-likert","25","158807","0.0-25.0","4k0za41r","","","","","",""
"2521.439999999973","{""pre-3"":0}","[0]","survey-likert","26","161330","0.0-26.0","4k0za41r","","","","","",""
"2683.125","{""post-5"":2}","[0]","survey-likert","27","164015","0.0-27.0","4k0za41r","","","","","",""
"","","","call-function","28","164016","0.0-28.0","4k0za41r","","","","","",""
"null","","","video-keyboard-response","29","167078","0.0-29.0","4k0za41r","","","","null","Agent A","STIM_SET_1_REAL/285994.bmp_pp92_L3_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","30","167078","0.0-30.0","4k0za41r","","","","","",""
"3271.3550000000105","{""pre-1"":3}","[0]","survey-likert","31","170351","0.0-31.0","4k0za41r","","","","","",""
"2020.9850000000151","{""pre-2"":2}","[0]","survey-likert","32","172373","0.0-32.0","4k0za41r","","","","","",""
"2826.179999999993","{""pre-3"":2}","[0]","survey-likert","33","175200","0.0-33.0","4k0za41r","","","","","",""
"2217.9499999999825","{""post-5"":1}","[0]","survey-likert","34","177419","0.0-34.0","4k0za41r","","","","","",""
"","","","call-function","35","177419","0.0-35.0","4k0za41r","","","","","",""
"null","","","video-keyboard-response","36","180480","0.0-36.0","4k0za41r","","","","null","Agent A","STIM_SET_1_REAL/1159447.bmp_pp70_L2_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","37","180481","0.0-37.0","4k0za41r","","","","","",""
"2465.399999999994","{""pre-1"":2}","[0]","survey-likert","38","182947","0.0-38.0","4k0za41r","","","","","",""
"1931.3800000000047","{""pre-2"":1}","[0]","survey-likert","39","184880","0.0-39.0","4k0za41r","","","","","",""
"2815.8950000000186","{""pre-3"":1}","[0]","survey-likert","40","187697","0.0-40.0","4k0za41r","","","","","",""
"3099.8550000000105","{""post-5"":1}","[0]","survey-likert","41","190798","0.0-41.0","4k0za41r","","","","","",""
"","","","call-function","42","190799","0.0-42.0","4k0za41r","","","","","",""
"null","","","video-keyboard-response","43","193907","0.0-43.0","4k0za41r","","","","null","Agent A","STIM_SET_1_REAL/713760.bmp_pp81_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","44","193907","0.0-44.0","4k0za41r","","","","","",""
"5000.880000000005","{""pre-1"":3}","[0]","survey-likert","45","198909","0.0-45.0","4k0za41r","","","","","",""
"2193.350000000006","{""pre-2"":2}","[0]","survey-likert","46","201104","0.0-46.0","4k0za41r","","","","","",""
"2262.0100000000093","{""pre-3"":2}","[0]","survey-likert","47","203367","0.0-47.0","4k0za41r","","","","","",""
"2568.654999999999","{""post-5"":1}","[0]","survey-likert","48","205937","0.0-48.0","4k0za41r","","","","","",""
"","","","call-function","49","205937","0.0-49.0","4k0za41r","","","","","",""
