"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","value","stimulus","key_press","agent","image"
"574222.48","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","574231","0.0-0.0","7kvjppom","","","","","",""
"33783.375","","","instructions","1","608016","0.0-1.0","7kvjppom","[{""page_index"":0,""viewing_time"":33783.22499999998}]","","","","",""
"7595.680000000051","{""Age"":3,""Sex"":0,""Gender"":0}","[0,1,2]","survey-likert","2","615614","0.0-2.0","7kvjppom","","","","","",""
"1170.1599999999162","","","instructions","3","616784","0.0-3.0","7kvjppom","[{""page_index"":0,""viewing_time"":1170.0499999999302}]","","","","",""
"2614.1650000000373","","","instructions","4","619399","0.0-4.0","7kvjppom","[{""page_index"":0,""viewing_time"":1723.1149999999907},{""page_index"":1,""viewing_time"":890.9499999999534}]","","","","",""
"6740.804999999935","","","instructions","5","626140","0.0-5.0","7kvjppom","[{""page_index"":0,""viewing_time"":766.5599999999395},{""page_index"":1,""viewing_time"":733.0050000000047},{""page_index"":2,""viewing_time"":5241.099999999977}]","","","","",""
"1573.3950000000186","","","instructions","6","627714","0.0-6.0","7kvjppom","[{""page_index"":0,""viewing_time"":1573.295000000042}]","","","","",""
"","","","call-function","7","627715","0.0-7.0","7kvjppom","","","","","",""
"null","","","video-keyboard-response","8","630791","0.0-8.0","7kvjppom","","","","null","",""
"","","","call-function","9","630791","0.0-9.0","7kvjppom","","","","","",""
"9171.050000000047","","","instructions","10","639963","0.0-10.0","7kvjppom","[{""page_index"":0,""viewing_time"":2989.015000000014},{""page_index"":1,""viewing_time"":1696.4649999999674},{""page_index"":2,""viewing_time"":1364.0250000000233},{""page_index"":3,""viewing_time"":3120.9150000000373}]","","","","",""
"906.9949999999953","","","instructions","11","640871","0.0-11.0","7kvjppom","[{""page_index"":0,""viewing_time"":906.9000000000233}]","","","","",""
"","","","call-function","12","640872","0.0-12.0","7kvjppom","","","","","",""
"null","","","video-keyboard-response","13","643943","0.0-13.0","7kvjppom","","","","null","",""
"","","","call-function","14","643944","0.0-14.0","7kvjppom","","","","","",""
"15907.875","{""pre-1"":2}","[0]","survey-likert","15","659853","0.0-15.0","7kvjppom","","","","","",""
"5210.679999999935","{""pre-2"":1}","[0]","survey-likert","16","665065","0.0-16.0","7kvjppom","","","","","",""
"5378.494999999995","{""pre-3"":2}","[0]","survey-likert","17","670444","0.0-17.0","7kvjppom","","","","","",""
"4629.765000000014","{""post-5"":3}","[0]","survey-likert","18","675075","0.0-18.0","7kvjppom","","","","","",""
"1193.0100000000093","","","instructions","19","676268","0.0-19.0","7kvjppom","[{""page_index"":0,""viewing_time"":1192.9049999999115}]","","","","",""
"4597.570000000065","","","instructions","20","680866","0.0-20.0","7kvjppom","[{""page_index"":0,""viewing_time"":4597.454999999958}]","","","","",""
"","","","call-function","21","680867","0.0-21.0","7kvjppom","","","","","",""
"null","","","video-keyboard-response","22","683943","0.0-22.0","7kvjppom","","","","null","Agent A","STIM_SET_1_REAL/498175.bmp_pp154_L1_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
