"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","value","stimulus","key_press","agent","image"
"18845.079999999998","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","18853","0.0-0.0","7yzxlh4j","","","","","",""
"154946.145","","","instructions","1","173801","0.0-1.0","7yzxlh4j","[{""page_index"":0,""viewing_time"":154946}]","","","","",""
"7194.614999999991","{""Age"":2,""Sex"":0,""Gender"":0}","[0,1,2]","survey-likert","2","180998","0.0-2.0","7yzxlh4j","","","","","",""
"1094.1849999999977","","","instructions","3","182093","0.0-3.0","7yzxlh4j","[{""page_index"":0,""viewing_time"":1094.0849999999919}]","","","","",""
"6928.479999999981","","","instructions","4","189022","0.0-4.0","7yzxlh4j","[{""page_index"":0,""viewing_time"":5518.789999999979},{""page_index"":1,""viewing_time"":1409.585000000021}]","","","","",""
"15672.464999999997","","","instructions","5","204695","0.0-5.0","7yzxlh4j","[{""page_index"":0,""viewing_time"":1665.7399999999907},{""page_index"":1,""viewing_time"":9009.685000000027},{""page_index"":2,""viewing_time"":4996.919999999984}]","","","","",""
"2836.8699999999953","","","instructions","6","207532","0.0-6.0","7yzxlh4j","[{""page_index"":0,""viewing_time"":2836.765000000014}]","","","","",""
"","","","call-function","7","207533","0.0-7.0","7yzxlh4j","","","","","",""
"null","","","video-keyboard-response","8","210608","0.0-8.0","7yzxlh4j","","","","null","",""
"","","","call-function","9","210609","0.0-9.0","7yzxlh4j","","","","","",""
"10302.149999999994","","","instructions","10","220912","0.0-10.0","7yzxlh4j","[{""page_index"":0,""viewing_time"":3166.4349999999977},{""page_index"":1,""viewing_time"":2159.1199999999953},{""page_index"":2,""viewing_time"":1170.9000000000233},{""page_index"":3,""viewing_time"":3805.125}]","","","","",""
