"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","value","stimulus","key_press","agent","image"
"190034.77","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","190042","0.0-0.0","a782q76b","","","","","",""
"12092.559999999998","","","instructions","1","202136","0.0-1.0","a782q76b","[{""page_index"":0,""viewing_time"":12092.404999999999}]","","","","",""
"7521.255000000005","{""Age"":0,""Sex"":1,""Gender"":1}","[0,1,2]","survey-likert","2","209660","0.0-2.0","a782q76b","","","","","",""
"1456.9549999999872","","","instructions","3","211117","0.0-3.0","a782q76b","[{""page_index"":0,""viewing_time"":1456.8549999999814}]","","","","",""
"4021.6600000000035","","","instructions","4","215139","0.0-4.0","a782q76b","[{""page_index"":0,""viewing_time"":2236.6300000000047},{""page_index"":1,""viewing_time"":1784.929999999993}]","","","","",""
"9360.610000000015","","","instructions","5","224500","0.0-5.0","a782q76b","[{""page_index"":0,""viewing_time"":2843.375},{""page_index"":1,""viewing_time"":2706.110000000015},{""page_index"":2,""viewing_time"":3811.0050000000047}]","","","","",""
"2169.7249999999767","","","instructions","6","226670","0.0-6.0","a782q76b","[{""page_index"":0,""viewing_time"":2169.6149999999907}]","","","","",""
"","","","call-function","7","226671","0.0-7.0","a782q76b","","","","","",""
"null","","","video-keyboard-response","8","229748","0.0-8.0","a782q76b","","","","null","",""
"","","","call-function","9","229748","0.0-9.0","a782q76b","","","","","",""
"15917.875","","","instructions","10","245667","0.0-10.0","a782q76b","[{""page_index"":0,""viewing_time"":3627.389999999985},{""page_index"":1,""viewing_time"":5446.635000000009},{""page_index"":2,""viewing_time"":2730.595000000001},{""page_index"":3,""viewing_time"":4112.684999999998}]","","","","",""
"41.454999999987194","","","instructions","11","245710","0.0-11.0","a782q76b","[{""page_index"":0,""viewing_time"":41.35000000000582}]","","","","",""
"","","","call-function","12","245710","0.0-12.0","a782q76b","","","","","",""
"null","","","video-keyboard-response","13","248787","0.0-13.0","a782q76b","","","","null","",""
"","","","call-function","14","248788","0.0-14.0","a782q76b","","","","","",""
"8329.494999999995","{""pre-1"":0}","[0]","survey-likert","15","257118","0.0-15.0","a782q76b","","","","","",""
"5991.170000000013","{""pre-2"":1}","[0]","survey-likert","16","263111","0.0-16.0","a782q76b","","","","","",""
"5495.994999999995","{""pre-3"":0}","[0]","survey-likert","17","268607","0.0-17.0","a782q76b","","","","","",""
"4500.869999999995","{""post-5"":3}","[0]","survey-likert","18","273110","0.0-18.0","a782q76b","","","","","",""
"1227.0699999999488","","","instructions","19","274337","0.0-19.0","a782q76b","[{""page_index"":0,""viewing_time"":1226.9649999999674}]","","","","",""
"4581.795000000042","","","instructions","20","278919","0.0-20.0","a782q76b","[{""page_index"":0,""viewing_time"":4581.684999999998}]","","","","",""
"","","","call-function","21","278920","0.0-21.0","a782q76b","","","","","",""
"null","","","video-keyboard-response","22","281991","0.0-22.0","a782q76b","","","","null","Agent A","STIM_SET_1_REAL/713135.bmp_pp54_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","23","281992","0.0-23.0","a782q76b","","","","","",""
"6742.354999999981","{""pre-1"":0}","[0]","survey-likert","24","288736","0.0-24.0","a782q76b","","","","","",""
"6877.994999999995","{""pre-2"":1}","[0]","survey-likert","25","295615","0.0-25.0","a782q76b","","","","","",""
"3238.6849999999977","{""pre-3"":0}","[0]","survey-likert","26","298854","0.0-26.0","a782q76b","","","","","",""
"4671.989999999991","{""post-5"":2}","[0]","survey-likert","27","303527","0.0-27.0","a782q76b","","","","","",""
"","","","call-function","28","303528","0.0-28.0","a782q76b","","","","","",""
"null","","","video-keyboard-response","29","306602","0.0-29.0","a782q76b","","","","null","Agent A","STIM_SET_1_REAL/1592807.bmp_pp68_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","30","306602","0.0-30.0","a782q76b","","","","","",""
"4802.849999999977","{""pre-1"":0}","[0]","survey-likert","31","311406","0.0-31.0","a782q76b","","","","","",""
"3620.015000000014","{""pre-2"":1}","[0]","survey-likert","32","315028","0.0-32.0","a782q76b","","","","","",""
