"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","value","stimulus","key_press","agent","image"
"83466.575","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","83476","0.0-0.0","a7o9l5wf","","","","","",""
"27688.434999999998","","","instructions","1","111165","0.0-1.0","a7o9l5wf","[{""page_index"":0,""viewing_time"":27688.289999999994}]","","","","",""
"7222.184999999998","{""Age"":0,""Sex"":1,""Gender"":1}","[0,1,2]","survey-likert","2","118390","0.0-2.0","a7o9l5wf","","","","","",""
"1718.949999999997","","","instructions","3","120110","0.0-3.0","a7o9l5wf","[{""page_index"":0,""viewing_time"":1718.8399999999965}]","","","","",""
"3800.050000000003","","","instructions","4","123910","0.0-4.0","a7o9l5wf","[{""page_index"":0,""viewing_time"":2481.9149999999936},{""page_index"":1,""viewing_time"":1318.0350000000035}]","","","","",""
"8169.970000000001","","","instructions","5","132081","0.0-5.0","a7o9l5wf","[{""page_index"":0,""viewing_time"":1725.5449999999983},{""page_index"":1,""viewing_time"":2070.9199999999983},{""page_index"":2,""viewing_time"":4373.380000000005}]","","","","",""
"2354.99000000002","","","instructions","6","134436","0.0-6.0","a7o9l5wf","[{""page_index"":0,""viewing_time"":2354.890000000014}]","","","","",""
"","","","call-function","7","134437","0.0-7.0","a7o9l5wf","","","","","",""
"null","","","video-keyboard-response","8","137512","0.0-8.0","a7o9l5wf","","","","null","",""
"","","","call-function","9","137512","0.0-9.0","a7o9l5wf","","","","","",""
"17016.059999999998","","","instructions","10","154529","0.0-10.0","a7o9l5wf","[{""page_index"":0,""viewing_time"":1979.8899999999849},{""page_index"":1,""viewing_time"":1171.9150000000081},{""page_index"":2,""viewing_time"":1374.2049999999872},{""page_index"":3,""viewing_time"":12489.830000000016}]","","","","",""
"3297.029999999999","","","instructions","11","157826","0.0-11.0","a7o9l5wf","[{""page_index"":0,""viewing_time"":3296.9100000000035}]","","","","",""
"","","","call-function","12","157827","0.0-12.0","a7o9l5wf","","","","","",""
"null","","","video-keyboard-response","13","160900","0.0-13.0","a7o9l5wf","","","","null","",""
"","","","call-function","14","160900","0.0-14.0","a7o9l5wf","","","","","",""
"18079.475000000006","{""pre-1"":1}","[0]","survey-likert","15","178981","0.0-15.0","a7o9l5wf","","","","","",""
"5323.040000000008","{""pre-2"":2}","[0]","survey-likert","16","184305","0.0-16.0","a7o9l5wf","","","","","",""
"4011.4500000000116","{""pre-3"":2}","[0]","survey-likert","17","188319","0.0-17.0","a7o9l5wf","","","","","",""
"3826.875","{""post-5"":1}","[0]","survey-likert","18","192147","0.0-18.0","a7o9l5wf","","","","","",""
"1053.1499999999942","","","instructions","19","193201","0.0-19.0","a7o9l5wf","[{""page_index"":0,""viewing_time"":1052.4899999999907}]","","","","",""
"3916.515000000014","","","instructions","20","197119","0.0-20.0","a7o9l5wf","[{""page_index"":0,""viewing_time"":3916.4100000000035}]","","","","",""
"","","","call-function","21","197119","0.0-21.0","a7o9l5wf","","","","","",""
"null","","","video-keyboard-response","22","200198","0.0-22.0","a7o9l5wf","","","","null","Agent A","STIM_SET_1_REAL/61537.bmp_pp73_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","23","200199","0.0-23.0","a7o9l5wf","","","","","",""
"4321.11500000002","{""pre-1"":1}","[0]","survey-likert","24","204521","0.0-24.0","a7o9l5wf","","","","","",""
"2422.195000000007","{""pre-2"":2}","[0]","survey-likert","25","206944","0.0-25.0","a7o9l5wf","","","","","",""
"2898.2850000000035","{""pre-3"":2}","[0]","survey-likert","26","209844","0.0-26.0","a7o9l5wf","","","","","",""
"3412.4199999999837","{""post-5"":1}","[0]","survey-likert","27","213259","0.0-27.0","a7o9l5wf","","","","","",""
"","","","call-function","28","213260","0.0-28.0","a7o9l5wf","","","","","",""
"null","","","video-keyboard-response","29","216336","0.0-29.0","a7o9l5wf","","","","null","Agent A","STIM_SET_1_REAL/713666.bmp_pp97_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","30","216337","0.0-30.0","a7o9l5wf","","","","","",""
"3050.929999999993","{""pre-1"":1}","[0]","survey-likert","31","219389","0.0-31.0","a7o9l5wf","","","","","",""
"1709.2099999999919","{""pre-2"":2}","[0]","survey-likert","32","221099","0.0-32.0","a7o9l5wf","","","","","",""
"1586.0599999999977","{""pre-3"":2}","[0]","survey-likert","33","222686","0.0-33.0","a7o9l5wf","","","","","",""
"1422.320000000007","{""post-5"":1}","[0]","survey-likert","34","224109","0.0-34.0","a7o9l5wf","","","","","",""
"","","","call-function","35","224110","0.0-35.0","a7o9l5wf","","","","","",""
