"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","value","stimulus","key_press","agent","image"
"83907.83","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","83916","0.0-0.0","akq14bez","","","","","",""
"23939.414999999994","","","instructions","1","107857","0.0-1.0","akq14bez","[{""page_index"":0,""viewing_time"":23939.26999999999}]","","","","",""
"16462.405","{""Age"":0,""Sex"":1,""Gender"":1}","[0,1,2]","survey-likert","2","124322","0.0-2.0","akq14bez","","","","","",""
"1859.6600000000035","","","instructions","3","126182","0.0-3.0","akq14bez","[{""page_index"":0,""viewing_time"":1859.5600000000122}]","","","","",""
"9534.179999999993","","","instructions","4","135717","0.0-4.0","akq14bez","[{""page_index"":0,""viewing_time"":6139.540000000008},{""page_index"":1,""viewing_time"":3394.0350000000035}]","","","","",""
"21807.859999999986","","","instructions","5","157526","0.0-5.0","akq14bez","[{""page_index"":0,""viewing_time"":2225.579999999987},{""page_index"":1,""viewing_time"":8849.915000000008},{""page_index"":2,""viewing_time"":10732.244999999995}]","","","","",""
"3353.9249999999884","","","instructions","6","160881","0.0-6.0","akq14bez","[{""page_index"":0,""viewing_time"":3353.8249999999825}]","","","","",""
"","","","call-function","7","160882","0.0-7.0","akq14bez","","","","","",""
"null","","","video-keyboard-response","8","163954","0.0-8.0","akq14bez","","","","null","",""
"","","","call-function","9","163955","0.0-9.0","akq14bez","","","","","",""
"21695.035000000003","","","instructions","10","185650","0.0-10.0","akq14bez","[{""page_index"":0,""viewing_time"":4256.8249999999825},{""page_index"":1,""viewing_time"":3539.1900000000023},{""page_index"":2,""viewing_time"":1937.2799999999988},{""page_index"":3,""viewing_time"":11961.63500000001}]","","","","",""
"62.88500000000931","","","instructions","11","185713","0.0-11.0","akq14bez","[{""page_index"":0,""viewing_time"":62.77500000002328}]","","","","",""
"","","","call-function","12","185714","0.0-12.0","akq14bez","","","","","",""
"null","","","video-keyboard-response","13","188786","0.0-13.0","akq14bez","","","","null","",""
"","","","call-function","14","188787","0.0-14.0","akq14bez","","","","","",""
"16026.049999999988","{""pre-1"":1}","[0]","survey-likert","15","204814","0.0-15.0","akq14bez","","","","","",""
"12550.945000000007","{""pre-2"":2}","[0]","survey-likert","16","217366","0.0-16.0","akq14bez","","","","","",""
"11585.930000000022","{""pre-3"":2}","[0]","survey-likert","17","228953","0.0-17.0","akq14bez","","","","","",""
"4936.440000000002","{""post-5"":2}","[0]","survey-likert","18","233891","0.0-18.0","akq14bez","","","","","",""
"1990.1000000000058","","","instructions","19","235881","0.0-19.0","akq14bez","[{""page_index"":0,""viewing_time"":1989.8800000000047}]","","","","",""
"6839.614999999991","","","instructions","20","242721","0.0-20.0","akq14bez","[{""page_index"":0,""viewing_time"":6839.5}]","","","","",""
"","","","call-function","21","242723","0.0-21.0","akq14bez","","","","","",""
"null","","","video-keyboard-response","22","245799","0.0-22.0","akq14bez","","","","null","Agent A","STIM_SET_1_REAL/1159855.bmp_pp99_L2_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","23","245800","0.0-23.0","akq14bez","","","","","",""
"11142.539999999979","{""pre-1"":2}","[0]","survey-likert","24","256943","0.0-24.0","akq14bez","","","","","",""
"11973.494999999995","{""pre-2"":1}","[0]","survey-likert","25","268918","0.0-25.0","akq14bez","","","","","",""
"14808.770000000019","{""pre-3"":1}","[0]","survey-likert","26","283728","0.0-26.0","akq14bez","","","","","",""
"4538.614999999991","{""post-5"":2}","[0]","survey-likert","27","288269","0.0-27.0","akq14bez","","","","","",""
"","","","call-function","28","288270","0.0-28.0","akq14bez","","","","","",""
"null","","","video-keyboard-response","29","291341","0.0-29.0","akq14bez","","","","null","Agent A","STIM_SET_1_REAL/713779.bmp_pp152_L2_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","30","291342","0.0-30.0","akq14bez","","","","","",""
"5485.559999999998","{""pre-1"":2}","[0]","survey-likert","31","296828","0.0-31.0","akq14bez","","","","","",""
"8590.945000000007","{""pre-2"":0}","[0]","survey-likert","32","305421","0.0-32.0","akq14bez","","","","","",""
"4748.554999999993","{""pre-3"":0}","[0]","survey-likert","33","310170","0.0-33.0","akq14bez","","","","","",""
"6657.02999999997","{""post-5"":2}","[0]","survey-likert","34","316829","0.0-34.0","akq14bez","","","","","",""
"","","","call-function","35","316830","0.0-35.0","akq14bez","","","","","",""
"null","","","video-keyboard-response","36","319940","0.0-36.0","akq14bez","","","","null","Agent A","STIM_SET_1_REAL/1593041.bmp_pp58_L1_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","37","319941","0.0-37.0","akq14bez","","","","","",""
"10105.520000000019","{""pre-1"":1}","[0]","survey-likert","38","330047","0.0-38.0","akq14bez","","","","","",""
"11021.080000000016","{""pre-2"":2}","[0]","survey-likert","39","341069","0.0-39.0","akq14bez","","","","","",""
"4325.065000000002","{""pre-3"":2}","[0]","survey-likert","40","345395","0.0-40.0","akq14bez","","","","","",""
"13489.139999999956","{""post-5"":2}","[0]","survey-likert","41","358885","0.0-41.0","akq14bez","","","","","",""
"","","","call-function","42","358886","0.0-42.0","akq14bez","","","","","",""
"null","","","video-keyboard-response","43","361962","0.0-43.0","akq14bez","","","","null","Agent A","STIM_SET_1_REAL/498111.bmp_pp88_L2_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","44","361962","0.0-44.0","akq14bez","","","","","",""
"10479.324999999953","{""pre-1"":1}","[0]","survey-likert","45","372443","0.0-45.0","akq14bez","","","","","",""
"11181.725000000035","{""pre-2"":2}","[0]","survey-likert","46","383627","0.0-46.0","akq14bez","","","","","",""
"6926.200000000012","{""pre-3"":2}","[0]","survey-likert","47","390555","0.0-47.0","akq14bez","","","","","",""
"4267.739999999991","{""post-5"":1}","[0]","survey-likert","48","394824","0.0-48.0","akq14bez","","","","","",""
"","","","call-function","49","394824","0.0-49.0","akq14bez","","","","","",""
"null","","","video-keyboard-response","50","397915","0.0-50.0","akq14bez","","","","null","Agent A","STIM_SET_1_REAL/1592499.bmp_pp96_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","51","397916","0.0-51.0","akq14bez","","","","","",""
"15053.73999999999","{""pre-1"":0}","[0]","survey-likert","52","412971","0.0-52.0","akq14bez","","","","","",""
"6653.755000000005","{""pre-2"":2}","[0]","survey-likert","53","419626","0.0-53.0","akq14bez","","","","","",""
