"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","value","stimulus","key_press","agent","image"
"13801.175000000001","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","13810","0.0-0.0","cct0hmdr","","","","","",""
"227862.52","","","instructions","1","241675","0.0-1.0","cct0hmdr","[{""page_index"":0,""viewing_time"":227862.38}]","","","","",""
"14166.449999999983","{""Age"":1,""Sex"":0,""Gender"":0}","[0,1,2]","survey-likert","2","255843","0.0-2.0","cct0hmdr","","","","","",""
"1586.7250000000058","","","instructions","3","257431","0.0-3.0","cct0hmdr","[{""page_index"":0,""viewing_time"":1586.625}]","","","","",""
"8041.494999999995","","","instructions","4","265473","0.0-4.0","cct0hmdr","[{""page_index"":0,""viewing_time"":5357.339999999967},{""page_index"":1,""viewing_time"":2684.0250000000233}]","","","","",""
"11996.390000000014","","","instructions","5","277469","0.0-5.0","cct0hmdr","[{""page_index"":0,""viewing_time"":2107.2300000000396},{""page_index"":1,""viewing_time"":2773.1599999999744},{""page_index"":2,""viewing_time"":7115.880000000005}]","","","","",""
"2543.4799999999814","","","instructions","6","280013","0.0-6.0","cct0hmdr","[{""page_index"":0,""viewing_time"":2543.3800000000047}]","","","","",""
"","","","call-function","7","280014","0.0-7.0","cct0hmdr","","","","","",""
"null","","","video-keyboard-response","8","283087","0.0-8.0","cct0hmdr","","","","null","",""
"","","","call-function","9","283087","0.0-9.0","cct0hmdr","","","","","",""
"11194.300000000047","","","instructions","10","294282","0.0-10.0","cct0hmdr","[{""page_index"":0,""viewing_time"":3247.3550000000396},{""page_index"":1,""viewing_time"":2125.75},{""page_index"":2,""viewing_time"":1591.2149999999674},{""page_index"":3,""viewing_time"":4229.755000000005}]","","","","",""
"1339.109999999986","","","instructions","11","295621","0.0-11.0","cct0hmdr","[{""page_index"":0,""viewing_time"":1339.0050000000047}]","","","","",""
"","","","call-function","12","295622","0.0-12.0","cct0hmdr","","","","","",""
"null","","","video-keyboard-response","13","298697","0.0-13.0","cct0hmdr","","","","null","",""
"","","","call-function","14","298697","0.0-14.0","cct0hmdr","","","","","",""
"10240.640000000014","{""pre-1"":1}","[0]","survey-likert","15","308939","0.0-15.0","cct0hmdr","","","","","",""
"7969.369999999995","{""pre-2"":1}","[0]","survey-likert","16","316909","0.0-16.0","cct0hmdr","","","","","",""
"5463.774999999965","{""pre-3"":0}","[0]","survey-likert","17","322375","0.0-17.0","cct0hmdr","","","","","",""
"4265.005000000005","{""post-5"":2}","[0]","survey-likert","18","326641","0.0-18.0","cct0hmdr","","","","","",""
"2888.0650000000023","","","instructions","19","329530","0.0-19.0","cct0hmdr","[{""page_index"":0,""viewing_time"":2887.4499999999534}]","","","","",""
