"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","value","stimulus","key_press","agent","image"
"21380.8","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","21389","0.0-0.0","eo6ufupv","","","","","",""
"285755.49500000005","","","instructions","1","307146","0.0-1.0","eo6ufupv","[{""page_index"":0,""viewing_time"":285755.35000000003}]","","","","",""
"10902.335000000021","{""Age"":1,""Sex"":1,""Gender"":1}","[0,1,2]","survey-likert","2","318051","0.0-2.0","eo6ufupv","","","","","",""
"1498.625","","","instructions","3","319550","0.0-3.0","eo6ufupv","[{""page_index"":0,""viewing_time"":1498.5250000000233}]","","","","",""
"3638.4349999999977","","","instructions","4","323189","0.0-4.0","eo6ufupv","[{""page_index"":0,""viewing_time"":2264.4199999999837},{""page_index"":1,""viewing_time"":1373.9150000000373}]","","","","",""
"6648.590000000026","","","instructions","5","329838","0.0-5.0","eo6ufupv","[{""page_index"":0,""viewing_time"":985.4150000000373},{""page_index"":1,""viewing_time"":1817.1399999999558},{""page_index"":2,""viewing_time"":3845.920000000042}]","","","","",""
"2140.5100000000093","","","instructions","6","331979","0.0-6.0","eo6ufupv","[{""page_index"":0,""viewing_time"":2140.4100000000326}]","","","","",""
"","","","call-function","7","331980","0.0-7.0","eo6ufupv","","","","","",""
"null","","","video-keyboard-response","8","335073","0.0-8.0","eo6ufupv","","","","null","",""
"","","","call-function","9","335073","0.0-9.0","eo6ufupv","","","","","",""
"8698.334999999963","","","instructions","10","343772","0.0-10.0","eo6ufupv","[{""page_index"":0,""viewing_time"":3376.0749999999534},{""page_index"":1,""viewing_time"":1871.1600000000326},{""page_index"":2,""viewing_time"":1143.929999999993},{""page_index"":3,""viewing_time"":2306.929999999993}]","","","","",""
"930.0099999999511","","","instructions","11","344703","0.0-11.0","eo6ufupv","[{""page_index"":0,""viewing_time"":929.9099999999744}]","","","","",""
"","","","call-function","12","344703","0.0-12.0","eo6ufupv","","","","","",""
"null","","","video-keyboard-response","13","347779","0.0-13.0","eo6ufupv","","","","null","",""
"","","","call-function","14","347779","0.0-14.0","eo6ufupv","","","","","",""
"8971.125","{""pre-1"":0}","[0]","survey-likert","15","356751","0.0-15.0","eo6ufupv","","","","","",""
"4809.26999999996","{""pre-2"":0}","[0]","survey-likert","16","361562","0.0-16.0","eo6ufupv","","","","","",""
"3966.6199999999953","{""pre-3"":0}","[0]","survey-likert","17","365529","0.0-17.0","eo6ufupv","","","","","",""
"4459.14499999996","{""post-5"":3}","[0]","survey-likert","18","369989","0.0-18.0","eo6ufupv","","","","","",""
"1081.1450000000186","","","instructions","19","371071","0.0-19.0","eo6ufupv","[{""page_index"":0,""viewing_time"":1081.0350000000326}]","","","","",""
"5121.659999999974","","","instructions","20","376193","0.0-20.0","eo6ufupv","[{""page_index"":0,""viewing_time"":5121.544999999984}]","","","","",""
"","","","call-function","21","376195","0.0-21.0","eo6ufupv","","","","","",""
"null","","","video-keyboard-response","22","379284","0.0-22.0","eo6ufupv","","","","null","Agent A","STIM_SET_1_REAL/498155.bmp_pp61_L2_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","23","379284","0.0-23.0","eo6ufupv","","","","","",""
"14380.969999999972","{""pre-1"":0}","[0]","survey-likert","24","393666","0.0-24.0","eo6ufupv","","","","","",""
"4097.114999999991","{""pre-2"":0}","[0]","survey-likert","25","397764","0.0-25.0","eo6ufupv","","","","","",""
"3539.570000000007","{""pre-3"":0}","[0]","survey-likert","26","401305","0.0-26.0","eo6ufupv","","","","","",""
"4068.164999999979","{""post-5"":3}","[0]","survey-likert","27","405375","0.0-27.0","eo6ufupv","","","","","",""
"","","","call-function","28","405376","0.0-28.0","eo6ufupv","","","","","",""
"null","","","video-keyboard-response","29","408446","0.0-29.0","eo6ufupv","","","","null","Agent A","STIM_SET_1_REAL/713796.bmp_pp84_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","30","408447","0.0-30.0","eo6ufupv","","","","","",""
"6917.004999999946","{""pre-1"":0}","[0]","survey-likert","31","415365","0.0-31.0","eo6ufupv","","","","","",""
"4816.484999999986","{""pre-2"":1}","[0]","survey-likert","32","420183","0.0-32.0","eo6ufupv","","","","","",""
"3294.030000000028","{""pre-3"":0}","[0]","survey-likert","33","423478","0.0-33.0","eo6ufupv","","","","","",""
"5342.099999999977","{""post-5"":2}","[0]","survey-likert","34","428821","0.0-34.0","eo6ufupv","","","","","",""
"","","","call-function","35","428822","0.0-35.0","eo6ufupv","","","","","",""
"null","","","video-keyboard-response","36","431891","0.0-36.0","eo6ufupv","","","","null","Agent A","STIM_SET_1_REAL/1592362.bmp_pp95_L2_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","37","431891","0.0-37.0","eo6ufupv","","","","","",""
"9978.994999999995","{""pre-1"":0}","[0]","survey-likert","38","441871","0.0-38.0","eo6ufupv","","","","","",""
"3495.320000000007","{""pre-2"":0}","[0]","survey-likert","39","445368","0.0-39.0","eo6ufupv","","","","","",""
"2551.304999999993","{""pre-3"":0}","[0]","survey-likert","40","447920","0.0-40.0","eo6ufupv","","","","","",""
"2027.155000000028","{""post-5"":3}","[0]","survey-likert","41","449949","0.0-41.0","eo6ufupv","","","","","",""
"","","","call-function","42","449949","0.0-42.0","eo6ufupv","","","","","",""
"null","","","video-keyboard-response","43","453026","0.0-43.0","eo6ufupv","","","","null","Agent A","STIM_SET_1_REAL/713211.bmp_pp100_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","44","453027","0.0-44.0","eo6ufupv","","","","","",""
"6373.955000000016","{""pre-1"":0}","[0]","survey-likert","45","459401","0.0-45.0","eo6ufupv","","","","","",""
"4770.869999999995","{""pre-2"":2}","[0]","survey-likert","46","464173","0.0-46.0","eo6ufupv","","","","","",""
"2738.125","{""pre-3"":0}","[0]","survey-likert","47","466912","0.0-47.0","eo6ufupv","","","","","",""
"6218.004999999946","{""post-5"":2}","[0]","survey-likert","48","473131","0.0-48.0","eo6ufupv","","","","","",""
"","","","call-function","49","473132","0.0-49.0","eo6ufupv","","","","","",""
"null","","","video-keyboard-response","50","476193","0.0-50.0","eo6ufupv","","","","null","Agent A","STIM_SET_1_REAL/1159572.bmp_pp71_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","51","476193","0.0-51.0","eo6ufupv","","","","","",""
"8143.554999999993","{""pre-1"":2}","[0]","survey-likert","52","484337","0.0-52.0","eo6ufupv","","","","","",""
"4330.954999999958","{""pre-2"":1}","[0]","survey-likert","53","488669","0.0-53.0","eo6ufupv","","","","","",""
"3393.655000000028","{""pre-3"":0}","[0]","survey-likert","54","492065","0.0-54.0","eo6ufupv","","","","","",""
"6007.015000000014","{""post-5"":1}","[0]","survey-likert","55","498074","0.0-55.0","eo6ufupv","","","","","",""
"","","","call-function","56","498075","0.0-56.0","eo6ufupv","","","","","",""
"null","","","video-keyboard-response","57","501137","0.0-57.0","eo6ufupv","","","","null","Agent A","STIM_SET_1_REAL/497950.bmp_pp151_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","58","501138","0.0-58.0","eo6ufupv","","","","","",""
"4951.830000000016","{""pre-1"":0}","[0]","survey-likert","59","506091","0.0-59.0","eo6ufupv","","","","","",""
"4945.494999999995","{""pre-2"":2}","[0]","survey-likert","60","511038","0.0-60.0","eo6ufupv","","","","","",""
"4771.265000000014","{""pre-3"":1}","[0]","survey-likert","61","515810","0.0-61.0","eo6ufupv","","","","","",""
"6072.554999999993","{""post-5"":0}","[0]","survey-likert","62","521884","0.0-62.0","eo6ufupv","","","","","",""
"","","","call-function","63","521884","0.0-63.0","eo6ufupv","","","","","",""
"null","","","video-keyboard-response","64","524954","0.0-64.0","eo6ufupv","","","","null","Agent A","STIM_SET_1_REAL/285905.bmp_pp57_L1_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","65","524955","0.0-65.0","eo6ufupv","","","","","",""
"3219.7550000000047","{""pre-1"":0}","[0]","survey-likert","66","528176","0.0-66.0","eo6ufupv","","","","","",""
"2659.9899999999907","{""pre-2"":0}","[0]","survey-likert","67","530837","0.0-67.0","eo6ufupv","","","","","",""
"2398.4799999999814","{""pre-3"":0}","[0]","survey-likert","68","533236","0.0-68.0","eo6ufupv","","","","","",""
"1952.2250000000931","{""post-5"":3}","[0]","survey-likert","69","535190","0.0-69.0","eo6ufupv","","","","","",""
"","","","call-function","70","535191","0.0-70.0","eo6ufupv","","","","","",""
"null","","","video-keyboard-response","71","538251","0.0-71.0","eo6ufupv","","","","null","Agent A","STIM_SET_1_REAL/1592133.bmp_pp75_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","72","538251","0.0-72.0","eo6ufupv","","","","","",""
"3737.4499999999534","{""pre-1"":0}","[0]","survey-likert","73","541990","0.0-73.0","eo6ufupv","","","","","",""
"2449.305000000051","{""pre-2"":0}","[0]","survey-likert","74","544440","0.0-74.0","eo6ufupv","","","","","",""
"2773.805000000051","{""pre-3"":0}","[0]","survey-likert","75","547215","0.0-75.0","eo6ufupv","","","","","",""
"3014.9199999999255","{""post-5"":2}","[0]","survey-likert","76","550231","0.0-76.0","eo6ufupv","","","","","",""
"","","","call-function","77","550231","0.0-77.0","eo6ufupv","","","","","",""
"null","","","video-keyboard-response","78","553295","0.0-78.0","eo6ufupv","","","","null","Agent A","STIM_SET_1_REAL/713403.bmp_pp80_L3_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","79","553295","0.0-79.0","eo6ufupv","","","","","",""
"10224.415000000037","{""pre-1"":1}","[0]","survey-likert","80","563521","0.0-80.0","eo6ufupv","","","","","",""
"5101.069999999949","{""pre-2"":0}","[0]","survey-likert","81","568623","0.0-81.0","eo6ufupv","","","","","",""
"1731.365000000107","{""pre-3"":0}","[0]","survey-likert","82","570356","0.0-82.0","eo6ufupv","","","","","",""
"9535.265000000014","{""post-5"":0}","[0]","survey-likert","83","579893","0.0-83.0","eo6ufupv","","","","","",""
"","","","call-function","84","579893","0.0-84.0","eo6ufupv","","","","","",""
"null","","","video-keyboard-response","85","582986","0.0-85.0","eo6ufupv","","","","null","Agent A","STIM_SET_1_REAL/1159813.bmp_pp79_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","86","582986","0.0-86.0","eo6ufupv","","","","","",""
"6731.5599999999395","{""pre-1"":2}","[0]","survey-likert","87","589719","0.0-87.0","eo6ufupv","","","","","",""
"3038.344999999972","{""pre-2"":0}","[0]","survey-likert","88","592758","0.0-88.0","eo6ufupv","","","","","",""
