"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","value","stimulus","key_press","agent","image"
"196666.5","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","196675","0.0-0.0","gejyz804","","","","","",""
"55389.10000002384","","","instructions","1","252065","0.0-1.0","gejyz804","[{""page_index"":0,""viewing_time"":55388.700000047684}]","","","","",""
"6624.599999904633","{""Age"":1,""Sex"":1,""Gender"":1}","[0,1,2]","survey-likert","2","258691","0.0-2.0","gejyz804","","","","","",""
"1074.7000000476837","","","instructions","3","259767","0.0-3.0","gejyz804","[{""page_index"":0,""viewing_time"":1074.5}]","","","","",""
"3389.5999999046326","","","instructions","4","263157","0.0-4.0","gejyz804","[{""page_index"":0,""viewing_time"":2186.0999999046326},{""page_index"":1,""viewing_time"":1203.2000000476837}]","","","","",""
"10537.5","","","instructions","5","273695","0.0-5.0","gejyz804","[{""page_index"":0,""viewing_time"":2832.2999999523163},{""page_index"":1,""viewing_time"":2265.899999976158},{""page_index"":2,""viewing_time"":5439.100000023842}]","","","","",""
"5150.200000047684","","","instructions","6","278846","0.0-6.0","gejyz804","[{""page_index"":0,""viewing_time"":5150.100000023842}]","","","","",""
"","","","call-function","7","278847","0.0-7.0","gejyz804","","","","","",""
"null","","","video-keyboard-response","8","281952","0.0-8.0","gejyz804","","","","null","",""
"","","","call-function","9","281952","0.0-9.0","gejyz804","","","","","",""
"8804.100000023842","","","instructions","10","290757","0.0-10.0","gejyz804","[{""page_index"":0,""viewing_time"":2356.2000000476837},{""page_index"":1,""viewing_time"":2271.7999999523163},{""page_index"":2,""viewing_time"":1009.2000000476837},{""page_index"":3,""viewing_time"":3166.899999976158}]","","","","",""
"5159.800000071526","","","instructions","11","295917","0.0-11.0","gejyz804","[{""page_index"":0,""viewing_time"":5159.600000023842}]","","","","",""
"","","","call-function","12","295917","0.0-12.0","gejyz804","","","","","",""
"null","","","video-keyboard-response","13","298993","0.0-13.0","gejyz804","","","","null","",""
"","","","call-function","14","298993","0.0-14.0","gejyz804","","","","","",""
"12041.100000023842","{""pre-1"":1}","[0]","survey-likert","15","311035","0.0-15.0","gejyz804","","","","","",""
"6441.600000023842","{""pre-2"":1}","[0]","survey-likert","16","317478","0.0-16.0","gejyz804","","","","","",""
"3687","{""pre-3"":1}","[0]","survey-likert","17","321166","0.0-17.0","gejyz804","","","","","",""
"2669","{""post-5"":2}","[0]","survey-likert","18","323836","0.0-18.0","gejyz804","","","","","",""
"833.4000000953674","","","instructions","19","324670","0.0-19.0","gejyz804","[{""page_index"":0,""viewing_time"":833.2000000476837}]","","","","",""
"5495.699999928474","","","instructions","20","330166","0.0-20.0","gejyz804","[{""page_index"":0,""viewing_time"":5495.5}]","","","","",""
"","","","call-function","21","330166","0.0-21.0","gejyz804","","","","","",""
"null","","","video-keyboard-response","22","333276","0.0-22.0","gejyz804","","","","null","Agent A","STIM_SET_1_REAL/1592372.bmp_pp76_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","23","333276","0.0-23.0","gejyz804","","","","","",""
"6708.799999952316","{""pre-1"":1}","[0]","survey-likert","24","339986","0.0-24.0","gejyz804","","","","","",""
"1942.3000000715256","{""pre-2"":1}","[0]","survey-likert","25","341929","0.0-25.0","gejyz804","","","","","",""
"2340.100000023842","{""pre-3"":1}","[0]","survey-likert","26","344270","0.0-26.0","gejyz804","","","","","",""
"3120.100000023842","{""post-5"":2}","[0]","survey-likert","27","347391","0.0-27.0","gejyz804","","","","","",""
"","","","call-function","28","347392","0.0-28.0","gejyz804","","","","","",""
"null","","","video-keyboard-response","29","350490","0.0-29.0","gejyz804","","","","null","Agent A","STIM_SET_1_REAL/1159813.bmp_pp79_L2_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","30","350490","0.0-30.0","gejyz804","","","","","",""
"6619.799999952316","{""pre-1"":1}","[0]","survey-likert","31","357111","0.0-31.0","gejyz804","","","","","",""
"4317.100000023842","{""pre-2"":2}","[0]","survey-likert","32","361429","0.0-32.0","gejyz804","","","","","",""
"3861.7999999523163","{""pre-3"":2}","[0]","survey-likert","33","365292","0.0-33.0","gejyz804","","","","","",""
"3790.2000000476837","{""post-5"":1}","[0]","survey-likert","34","369083","0.0-34.0","gejyz804","","","","","",""
"","","","call-function","35","369084","0.0-35.0","gejyz804","","","","","",""
"null","","","video-keyboard-response","36","372156","0.0-36.0","gejyz804","","","","null","Agent A","STIM_SET_1_REAL/1592351.bmp_pp51_L1_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","37","372156","0.0-37.0","gejyz804","","","","","",""
"6268.600000023842","{""pre-1"":0}","[0]","survey-likert","38","378425","0.0-38.0","gejyz804","","","","","",""
"4266.700000047684","{""pre-2"":0}","[0]","survey-likert","39","382693","0.0-39.0","gejyz804","","","","","",""
"3345","{""pre-3"":0}","[0]","survey-likert","40","386039","0.0-40.0","gejyz804","","","","","",""
"4960","{""post-5"":3}","[0]","survey-likert","41","391000","0.0-41.0","gejyz804","","","","","",""
"","","","call-function","42","391001","0.0-42.0","gejyz804","","","","","",""
"null","","","video-keyboard-response","43","394106","0.0-43.0","gejyz804","","","","null","Agent A","STIM_SET_1_REAL/1592657.bmp_pp98_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","44","394106","0.0-44.0","gejyz804","","","","","",""
"3525.6999999284744","{""pre-1"":1}","[0]","survey-likert","45","397632","0.0-45.0","gejyz804","","","","","",""
"2448.600000023842","{""pre-2"":2}","[0]","survey-likert","46","400082","0.0-46.0","gejyz804","","","","","",""
"1601.8999999761581","{""pre-3"":2}","[0]","survey-likert","47","401685","0.0-47.0","gejyz804","","","","","",""
"1909.8999999761581","{""post-5"":2}","[0]","survey-likert","48","403596","0.0-48.0","gejyz804","","","","","",""
"","","","call-function","49","403597","0.0-49.0","gejyz804","","","","","",""
"null","","","video-keyboard-response","50","406695","0.0-50.0","gejyz804","","","","null","Agent A","STIM_SET_1_REAL/1160127.bmp_pp90_L2_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","51","406695","0.0-51.0","gejyz804","","","","","",""
"7833.200000047684","{""pre-1"":2}","[0]","survey-likert","52","414529","0.0-52.0","gejyz804","","","","","",""
"1390","{""pre-2"":1}","[0]","survey-likert","53","415920","0.0-53.0","gejyz804","","","","","",""
"1756.1000000238419","{""pre-3"":2}","[0]","survey-likert","54","417677","0.0-54.0","gejyz804","","","","","",""
"1841.2999999523163","{""post-5"":2}","[0]","survey-likert","55","419520","0.0-55.0","gejyz804","","","","","",""
"","","","call-function","56","419520","0.0-56.0","gejyz804","","","","","",""
"null","","","video-keyboard-response","57","422618","0.0-57.0","gejyz804","","","","null","Agent A","STIM_SET_1_REAL/498149.bmp_pp99_L2_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","58","422618","0.0-58.0","gejyz804","","","","","",""
"3754","{""pre-1"":1}","[0]","survey-likert","59","426373","0.0-59.0","gejyz804","","","","","",""
"1567.2000000476837","{""pre-2"":1}","[0]","survey-likert","60","427941","0.0-60.0","gejyz804","","","","","",""
"1734.7000000476837","{""pre-3"":1}","[0]","survey-likert","61","429677","0.0-61.0","gejyz804","","","","","",""
"3618","{""post-5"":2}","[0]","survey-likert","62","433296","0.0-62.0","gejyz804","","","","","",""
"","","","call-function","63","433297","0.0-63.0","gejyz804","","","","","",""
"null","","","video-keyboard-response","64","436367","0.0-64.0","gejyz804","","","","null","Agent A","STIM_SET_1_REAL/1159446.bmp_pp60_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","65","436368","0.0-65.0","gejyz804","","","","","",""
"2262.9000000953674","{""pre-1"":2}","[0]","survey-likert","66","438631","0.0-66.0","gejyz804","","","","","",""
"1832.2999999523163","{""pre-2"":2}","[0]","survey-likert","67","440464","0.0-67.0","gejyz804","","","","","",""
"4579.600000023842","{""pre-3"":1}","[0]","survey-likert","68","445045","0.0-68.0","gejyz804","","","","","",""
"2318.100000023842","{""post-5"":2}","[0]","survey-likert","69","447364","0.0-69.0","gejyz804","","","","","",""
"","","","call-function","70","447365","0.0-70.0","gejyz804","","","","","",""
"null","","","video-keyboard-response","71","450457","0.0-71.0","gejyz804","","","","null","Agent A","STIM_SET_1_REAL/1592372.bmp_pp76_L1_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","72","450458","0.0-72.0","gejyz804","","","","","",""
"4948.5","{""pre-1"":1}","[0]","survey-likert","73","455407","0.0-73.0","gejyz804","","","","","",""
"3682","{""pre-2"":2}","[0]","survey-likert","74","459090","0.0-74.0","gejyz804","","","","","",""
"3120.100000023842","{""pre-3"":2}","[0]","survey-likert","75","462211","0.0-75.0","gejyz804","","","","","",""
"1722.7999999523163","{""post-5"":2}","[0]","survey-likert","76","463935","0.0-76.0","gejyz804","","","","","",""
"","","","call-function","77","463936","0.0-77.0","gejyz804","","","","","",""
"null","","","video-keyboard-response","78","467019","0.0-78.0","gejyz804","","","","null","Agent A","STIM_SET_1_REAL/713760.bmp_pp81_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","79","467019","0.0-79.0","gejyz804","","","","","",""
"2682.600000023842","{""pre-1"":2}","[0]","survey-likert","80","469702","0.0-80.0","gejyz804","","","","","",""
"1434.8999999761581","{""pre-2"":2}","[0]","survey-likert","81","471138","0.0-81.0","gejyz804","","","","","",""
"2804.7999999523163","{""pre-3"":1}","[0]","survey-likert","82","473944","0.0-82.0","gejyz804","","","","","",""
"1690.3000000715256","{""post-5"":2}","[0]","survey-likert","83","475635","0.0-83.0","gejyz804","","","","","",""
"","","","call-function","84","475636","0.0-84.0","gejyz804","","","","","",""
"null","","","video-keyboard-response","85","478720","0.0-85.0","gejyz804","","","","null","Agent A","STIM_SET_1_REAL/713593.bmp_pp64_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","86","478720","0.0-86.0","gejyz804","","","","","",""
"3999.3000000715256","{""pre-1"":1}","[0]","survey-likert","87","482720","0.0-87.0","gejyz804","","","","","",""
"3569.2000000476837","{""pre-2"":3}","[0]","survey-likert","88","486290","0.0-88.0","gejyz804","","","","","",""
"4118.899999976158","{""pre-3"":3}","[0]","survey-likert","89","490410","0.0-89.0","gejyz804","","","","","",""
"3261.899999976158","{""post-5"":1}","[0]","survey-likert","90","493673","0.0-90.0","gejyz804","","","","","",""
