"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","value","stimulus","key_press","agent","image"
"218042.36000000002","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","218052","0.0-0.0","h9rm7sn1","","","","","",""
"19535.33500000002","","","instructions","1","237589","0.0-1.0","h9rm7sn1","[{""page_index"":0,""viewing_time"":19535.184999999998}]","","","","",""
"7353.9250000000175","{""Age"":1,""Sex"":1,""Gender"":1}","[0,1,2]","survey-likert","2","244945","0.0-2.0","h9rm7sn1","","","","","",""
"1356.914999999979","","","instructions","3","246303","0.0-3.0","h9rm7sn1","[{""page_index"":0,""viewing_time"":1356.8149999999732}]","","","","",""
"2601.375","","","instructions","4","248904","0.0-4.0","h9rm7sn1","[{""page_index"":0,""viewing_time"":1543.179999999993},{""page_index"":1,""viewing_time"":1058.0550000000221}]","","","","",""
"4690.814999999973","","","instructions","5","253596","0.0-5.0","h9rm7sn1","[{""page_index"":0,""viewing_time"":752.8149999999732},{""page_index"":1,""viewing_time"":918.6549999999988},{""page_index"":2,""viewing_time"":3019.210000000021}]","","","","",""
"2042.3300000000163","","","instructions","6","255638","0.0-6.0","h9rm7sn1","[{""page_index"":0,""viewing_time"":2042.2300000000105}]","","","","",""
"","","","call-function","7","255639","0.0-7.0","h9rm7sn1","","","","","",""
"null","","","video-keyboard-response","8","258713","0.0-8.0","h9rm7sn1","","","","null","",""
"","","","call-function","9","258713","0.0-9.0","h9rm7sn1","","","","","",""
"6131.570000000036","","","instructions","10","264845","0.0-10.0","h9rm7sn1","[{""page_index"":0,""viewing_time"":2398},{""page_index"":1,""viewing_time"":1572.8899999999849},{""page_index"":2,""viewing_time"":768.2300000000396},{""page_index"":3,""viewing_time"":1392.2149999999674}]","","","","",""
"833.6300000000047","","","instructions","11","265679","0.0-11.0","h9rm7sn1","[{""page_index"":0,""viewing_time"":833.5200000000186}]","","","","",""
"","","","call-function","12","265680","0.0-12.0","h9rm7sn1","","","","","",""
"null","","","video-keyboard-response","13","268750","0.0-13.0","h9rm7sn1","","","","null","",""
"","","","call-function","14","268751","0.0-14.0","h9rm7sn1","","","","","",""
"5593.830000000016","{""pre-1"":1}","[0]","survey-likert","15","274346","0.0-15.0","h9rm7sn1","","","","","",""
"5488.080000000016","{""pre-2"":2}","[0]","survey-likert","16","279835","0.0-16.0","h9rm7sn1","","","","","",""
"8199.165000000037","{""pre-3"":1}","[0]","survey-likert","17","288035","0.0-17.0","h9rm7sn1","","","","","",""
"2624.7449999999953","{""post-5"":1}","[0]","survey-likert","18","290662","0.0-18.0","h9rm7sn1","","","","","",""
"1177.2850000000326","","","instructions","19","291840","0.0-19.0","h9rm7sn1","[{""page_index"":0,""viewing_time"":1176.6650000000373}]","","","","",""
"3336.454999999958","","","instructions","20","295178","0.0-20.0","h9rm7sn1","[{""page_index"":0,""viewing_time"":3335.819999999949}]","","","","",""
"","","","call-function","21","295178","0.0-21.0","h9rm7sn1","","","","","",""
"null","","","video-keyboard-response","22","298248","0.0-22.0","h9rm7sn1","","","","null","Agent A","STIM_SET_1_REAL/1592362.bmp_pp95_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","23","298248","0.0-23.0","h9rm7sn1","","","","","",""
"4655.770000000019","{""pre-1"":2}","[0]","survey-likert","24","302905","0.0-24.0","h9rm7sn1","","","","","",""
"5537.869999999995","{""pre-2"":1}","[0]","survey-likert","25","308444","0.0-25.0","h9rm7sn1","","","","","",""
"4037.3850000000093","{""pre-3"":1}","[0]","survey-likert","26","312483","0.0-26.0","h9rm7sn1","","","","","",""
"2864.0849999999627","{""post-5"":2}","[0]","survey-likert","27","315348","0.0-27.0","h9rm7sn1","","","","","",""
"","","","call-function","28","315348","0.0-28.0","h9rm7sn1","","","","","",""
"null","","","video-keyboard-response","29","318425","0.0-29.0","h9rm7sn1","","","","null","Agent A","STIM_SET_1_REAL/1159855.bmp_pp99_L2_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","30","318425","0.0-30.0","h9rm7sn1","","","","","",""
"2497.3950000000186","{""pre-1"":2}","[0]","survey-likert","31","320924","0.0-31.0","h9rm7sn1","","","","","",""
"2981.7900000000373","{""pre-2"":0}","[0]","survey-likert","32","323907","0.0-32.0","h9rm7sn1","","","","","",""
"3336.905000000028","{""pre-3"":0}","[0]","survey-likert","33","327245","0.0-33.0","h9rm7sn1","","","","","",""
"2742.2399999999907","{""post-5"":3}","[0]","survey-likert","34","329988","0.0-34.0","h9rm7sn1","","","","","",""
"","","","call-function","35","329988","0.0-35.0","h9rm7sn1","","","","","",""
"null","","","video-keyboard-response","36","333064","0.0-36.0","h9rm7sn1","","","","null","Agent A","STIM_SET_1_REAL/1160127.bmp_pp90_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","37","333064","0.0-37.0","h9rm7sn1","","","","","",""
"2996.694999999949","{""pre-1"":1}","[0]","survey-likert","38","336062","0.0-38.0","h9rm7sn1","","","","","",""
"1940.0750000000116","{""pre-2"":2}","[0]","survey-likert","39","338003","0.0-39.0","h9rm7sn1","","","","","",""
"2985.6699999999837","{""pre-3"":2}","[0]","survey-likert","40","340989","0.0-40.0","h9rm7sn1","","","","","",""
"3260.234999999986","{""post-5"":1}","[0]","survey-likert","41","344251","0.0-41.0","h9rm7sn1","","","","","",""
"","","","call-function","42","344251","0.0-42.0","h9rm7sn1","","","","","",""
"null","","","video-keyboard-response","43","347316","0.0-43.0","h9rm7sn1","","","","null","Agent A","STIM_SET_1_REAL/1592890.bmp_pp82_L2_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","44","347317","0.0-44.0","h9rm7sn1","","","","","",""
"2666.914999999979","{""pre-1"":1}","[0]","survey-likert","45","349985","0.0-45.0","h9rm7sn1","","","","","",""
"1651.4799999999814","{""pre-2"":2}","[0]","survey-likert","46","351638","0.0-46.0","h9rm7sn1","","","","","",""
"1611.6500000000233","{""pre-3"":2}","[0]","survey-likert","47","353251","0.0-47.0","h9rm7sn1","","","","","",""
"2497.390000000014","{""post-5"":0}","[0]","survey-likert","48","355750","0.0-48.0","h9rm7sn1","","","","","",""
"","","","call-function","49","355750","0.0-49.0","h9rm7sn1","","","","","",""
"null","","","video-keyboard-response","50","358820","0.0-50.0","h9rm7sn1","","","","null","Agent A","STIM_SET_1_REAL/285933.bmp_pp81_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","51","358821","0.0-51.0","h9rm7sn1","","","","","",""
"1678.009999999951","{""pre-1"":1}","[0]","survey-likert","52","360500","0.0-52.0","h9rm7sn1","","","","","",""
"1330.460000000021","{""pre-2"":2}","[0]","survey-likert","53","361832","0.0-53.0","h9rm7sn1","","","","","",""
"1699.9150000000373","{""pre-3"":2}","[0]","survey-likert","54","363532","0.0-54.0","h9rm7sn1","","","","","",""
"1829.1450000000186","{""post-5"":1}","[0]","survey-likert","55","365363","0.0-55.0","h9rm7sn1","","","","","",""
"","","","call-function","56","365363","0.0-56.0","h9rm7sn1","","","","","",""
"null","","","video-keyboard-response","57","368437","0.0-57.0","h9rm7sn1","","","","null","Agent A","STIM_SET_1_REAL/498111.bmp_pp88_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","58","368437","0.0-58.0","h9rm7sn1","","","","","",""
"3194.5200000000186","{""pre-1"":1}","[0]","survey-likert","59","371633","0.0-59.0","h9rm7sn1","","","","","",""
"1967.2399999999907","{""pre-2"":3}","[0]","survey-likert","60","373601","0.0-60.0","h9rm7sn1","","","","","",""
"2584.359999999986","{""pre-3"":2}","[0]","survey-likert","61","376186","0.0-61.0","h9rm7sn1","","","","","",""
"2012.2999999999884","{""post-5"":1}","[0]","survey-likert","62","378199","0.0-62.0","h9rm7sn1","","","","","",""
"","","","call-function","63","378200","0.0-63.0","h9rm7sn1","","","","","",""
"null","","","video-keyboard-response","64","381274","0.0-64.0","h9rm7sn1","","","","null","Agent A","STIM_SET_1_REAL/1591994.bmp_pp69_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","65","381275","0.0-65.0","h9rm7sn1","","","","","",""
"3597.835000000021","{""pre-1"":2}","[0]","survey-likert","66","384874","0.0-66.0","h9rm7sn1","","","","","",""
"1484.0650000000023","{""pre-2"":2}","[0]","survey-likert","67","386359","0.0-67.0","h9rm7sn1","","","","","",""
"1432.3349999999627","{""pre-3"":2}","[0]","survey-likert","68","387792","0.0-68.0","h9rm7sn1","","","","","",""
"1903.7600000000093","{""post-5"":1}","[0]","survey-likert","69","389697","0.0-69.0","h9rm7sn1","","","","","",""
"","","","call-function","70","389698","0.0-70.0","h9rm7sn1","","","","","",""
"null","","","video-keyboard-response","71","392765","0.0-71.0","h9rm7sn1","","","","null","Agent A","STIM_SET_1_REAL/1592499.bmp_pp96_L2_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","72","392766","0.0-72.0","h9rm7sn1","","","","","",""
"2381.1500000000233","{""pre-1"":1}","[0]","survey-likert","73","395148","0.0-73.0","h9rm7sn1","","","","","",""
"1443.100000000035","{""pre-2"":2}","[0]","survey-likert","74","396592","0.0-74.0","h9rm7sn1","","","","","",""
"2479.1549999999697","{""pre-3"":2}","[0]","survey-likert","75","399072","0.0-75.0","h9rm7sn1","","","","","",""
"2051.850000000035","{""post-5"":0}","[0]","survey-likert","76","401125","0.0-76.0","h9rm7sn1","","","","","",""
"","","","call-function","77","401125","0.0-77.0","h9rm7sn1","","","","","",""
"null","","","video-keyboard-response","78","404224","0.0-78.0","h9rm7sn1","","","","null","Agent A","STIM_SET_1_REAL/498175.bmp_pp154_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","79","404225","0.0-79.0","h9rm7sn1","","","","","",""
"4065.820000000007","{""pre-1"":2}","[0]","survey-likert","80","408292","0.0-80.0","h9rm7sn1","","","","","",""
"2851.3700000000536","{""pre-2"":1}","[0]","survey-likert","81","411145","0.0-81.0","h9rm7sn1","","","","","",""
"3753.3850000000093","{""pre-3"":0}","[0]","survey-likert","82","414900","0.0-82.0","h9rm7sn1","","","","","",""
"3790.1049999999814","{""post-5"":2}","[0]","survey-likert","83","418691","0.0-83.0","h9rm7sn1","","","","","",""
"","","","call-function","84","418692","0.0-84.0","h9rm7sn1","","","","","",""
"null","","","video-keyboard-response","85","421761","0.0-85.0","h9rm7sn1","","","","null","Agent A","STIM_SET_1_REAL/1159768.bmp_pp89_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","86","421762","0.0-86.0","h9rm7sn1","","","","","",""
"2569.2550000000047","{""pre-1"":1}","[0]","survey-likert","87","424332","0.0-87.0","h9rm7sn1","","","","","",""
"1395.3150000000023","{""pre-2"":2}","[0]","survey-likert","88","425728","0.0-88.0","h9rm7sn1","","","","","",""
"2024.9800000000396","{""pre-3"":3}","[0]","survey-likert","89","427755","0.0-89.0","h9rm7sn1","","","","","",""
"2369.344999999972","{""post-5"":1}","[0]","survey-likert","90","430125","0.0-90.0","h9rm7sn1","","","","","",""
"","","","call-function","91","430126","0.0-91.0","h9rm7sn1","","","","","",""
"null","","","video-keyboard-response","92","433193","0.0-92.0","h9rm7sn1","","","","null","Agent A","STIM_SET_1_REAL/1592581.bmp_pp100_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","93","433193","0.0-93.0","h9rm7sn1","","","","","",""
"2162.490000000049","{""pre-1"":1}","[0]","survey-likert","94","435357","0.0-94.0","h9rm7sn1","","","","","",""
"2176.1650000000373","{""pre-2"":1}","[0]","survey-likert","95","437534","0.0-95.0","h9rm7sn1","","","","","",""
"2934.460000000021","{""pre-3"":1}","[0]","survey-likert","96","440469","0.0-96.0","h9rm7sn1","","","","","",""
"2133.3300000000163","{""post-5"":2}","[0]","survey-likert","97","442604","0.0-97.0","h9rm7sn1","","","","","",""
"","","","call-function","98","442604","0.0-98.0","h9rm7sn1","","","","","",""
"null","","","video-keyboard-response","99","445683","0.0-99.0","h9rm7sn1","","","","null","Agent A","STIM_SET_1_REAL/1592807.bmp_pp68_L1_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","100","445683","0.0-100.0","h9rm7sn1","","","","","",""
"3246.570000000007","{""pre-1"":2}","[0]","survey-likert","101","448931","0.0-101.0","h9rm7sn1","","","","","",""
"1786.2000000000116","{""pre-2"":1}","[0]","survey-likert","102","450718","0.0-102.0","h9rm7sn1","","","","","",""
"5444.829999999958","{""pre-3"":0}","[0]","survey-likert","103","456164","0.0-103.0","h9rm7sn1","","","","","",""
"4584.310000000056","{""post-5"":2}","[0]","survey-likert","104","460749","0.0-104.0","h9rm7sn1","","","","","",""
