"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","value","stimulus","key_press","agent","image"
"100670.99","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","100680","0.0-0.0","hslw8wu3","","","","","",""
"44516.11499999999","","","instructions","1","145197","0.0-1.0","hslw8wu3","[{""page_index"":0,""viewing_time"":44515.95499999999}]","","","","",""
"9894.470000000001","{""Age"":2,""Sex"":1,""Gender"":1}","[0,1,2]","survey-likert","2","155094","0.0-2.0","hslw8wu3","","","","","",""
"1602.1299999999756","","","instructions","3","156697","0.0-3.0","hslw8wu3","[{""page_index"":0,""viewing_time"":1602.0299999999988}]","","","","",""
"7937.309999999998","","","instructions","4","164635","0.0-4.0","hslw8wu3","[{""page_index"":0,""viewing_time"":5417.299999999988},{""page_index"":1,""viewing_time"":2519.899999999994}]","","","","",""
"12390.774999999994","","","instructions","5","177026","0.0-5.0","hslw8wu3","[{""page_index"":0,""viewing_time"":3491.600000000006},{""page_index"":1,""viewing_time"":4593.190000000002},{""page_index"":2,""viewing_time"":4305.864999999991}]","","","","",""
"4879.454999999987","","","instructions","6","181906","0.0-6.0","hslw8wu3","[{""page_index"":0,""viewing_time"":4879.354999999981}]","","","","",""
"","","","call-function","7","181906","0.0-7.0","hslw8wu3","","","","","",""
"null","","","video-keyboard-response","8","184980","0.0-8.0","hslw8wu3","","","","null","",""
"","","","call-function","9","184980","0.0-9.0","hslw8wu3","","","","","",""
"31805.620000000024","","","instructions","10","216786","0.0-10.0","hslw8wu3","[{""page_index"":0,""viewing_time"":7077.445000000007},{""page_index"":1,""viewing_time"":4744.4100000000035},{""page_index"":2,""viewing_time"":1357.9349999999977},{""page_index"":3,""viewing_time"":18625.600000000006}]","","","","",""
"3427.0499999999884","","","instructions","11","220214","0.0-11.0","hslw8wu3","[{""page_index"":0,""viewing_time"":3426.944999999978}]","","","","",""
"","","","call-function","12","220214","0.0-12.0","hslw8wu3","","","","","",""
"null","","","video-keyboard-response","13","223287","0.0-13.0","hslw8wu3","","","","null","",""
"","","","call-function","14","223287","0.0-14.0","hslw8wu3","","","","","",""
"19622.669999999984","{""pre-1"":1}","[0]","survey-likert","15","242911","0.0-15.0","hslw8wu3","","","","","",""
"8596.38499999998","{""pre-2"":2}","[0]","survey-likert","16","251510","0.0-16.0","hslw8wu3","","","","","",""
