"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","value","stimulus","key_press","agent","image"
"54719.840000000004","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","54731","0.0-0.0","mb7x2pfc","","","","","",""
"32107.965000000004","","","instructions","1","86840","0.0-1.0","mb7x2pfc","[{""page_index"":0,""viewing_time"":32107.814999999995}]","","","","",""
"10064.919999999998","{""Age"":3,""Sex"":1,""Gender"":1}","[0,1,2]","survey-likert","2","96907","0.0-2.0","mb7x2pfc","","","","","",""
"1409.0699999999924","","","instructions","3","98317","0.0-3.0","mb7x2pfc","[{""page_index"":0,""viewing_time"":1408.9550000000017}]","","","","",""
"8964.305000000008","","","instructions","4","107282","0.0-4.0","mb7x2pfc","[{""page_index"":0,""viewing_time"":5787.12000000001},{""page_index"":1,""viewing_time"":3177.074999999997}]","","","","",""
"9544.595000000001","","","instructions","5","116827","0.0-5.0","mb7x2pfc","[{""page_index"":0,""viewing_time"":2263.1100000000006},{""page_index"":1,""viewing_time"":3533.949999999997},{""page_index"":2,""viewing_time"":3747.4100000000035}]","","","","",""
"2382.1800000000076","","","instructions","6","119210","0.0-6.0","mb7x2pfc","[{""page_index"":0,""viewing_time"":2382.070000000007}]","","","","",""
"","","","call-function","7","119210","0.0-7.0","mb7x2pfc","","","","","",""
"null","","","video-keyboard-response","8","122304","0.0-8.0","mb7x2pfc","","","","null","",""
"","","","call-function","9","122305","0.0-9.0","mb7x2pfc","","","","","",""
"12572.580000000002","","","instructions","10","134878","0.0-10.0","mb7x2pfc","[{""page_index"":0,""viewing_time"":2995.3800000000047},{""page_index"":1,""viewing_time"":4384.369999999995},{""page_index"":2,""viewing_time"":1242.6800000000076},{""page_index"":3,""viewing_time"":3949.2550000000047}]","","","","",""
"1375.265000000014","","","instructions","11","136254","0.0-11.0","mb7x2pfc","[{""page_index"":0,""viewing_time"":1375.1650000000081}]","","","","",""
"","","","call-function","12","136255","0.0-12.0","mb7x2pfc","","","","","",""
"null","","","video-keyboard-response","13","139330","0.0-13.0","mb7x2pfc","","","","null","",""
"","","","call-function","14","139330","0.0-14.0","mb7x2pfc","","","","","",""
"15715.324999999983","{""pre-1"":0}","[0]","survey-likert","15","155047","0.0-15.0","mb7x2pfc","","","","","",""
"9915.964999999997","{""pre-2"":0}","[0]","survey-likert","16","164964","0.0-16.0","mb7x2pfc","","","","","",""
"5680.174999999988","{""pre-3"":0}","[0]","survey-likert","17","170645","0.0-17.0","mb7x2pfc","","","","","",""
"3190.5449999999837","{""post-5"":3}","[0]","survey-likert","18","173837","0.0-18.0","mb7x2pfc","","","","","",""
"919.2099999999919","","","instructions","19","174757","0.0-19.0","mb7x2pfc","[{""page_index"":0,""viewing_time"":919.0899999999965}]","","","","",""
"4990.734999999986","","","instructions","20","179748","0.0-20.0","mb7x2pfc","[{""page_index"":0,""viewing_time"":4990.625}]","","","","",""
"","","","call-function","21","179748","0.0-21.0","mb7x2pfc","","","","","",""
"null","","","video-keyboard-response","22","182811","0.0-22.0","mb7x2pfc","","","","null","Agent A","STIM_SET_1_REAL/1592817.bmp_pp55_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","23","182812","0.0-23.0","mb7x2pfc","","","","","",""
"4206.779999999999","{""pre-1"":1}","[0]","survey-likert","24","187020","0.0-24.0","mb7x2pfc","","","","","",""
"2897.195000000007","{""pre-2"":1}","[0]","survey-likert","25","189918","0.0-25.0","mb7x2pfc","","","","","",""
"5337.764999999985","{""pre-3"":1}","[0]","survey-likert","26","195257","0.0-26.0","mb7x2pfc","","","","","",""
"6716.7699999999895","{""post-5"":2}","[0]","survey-likert","27","201975","0.0-27.0","mb7x2pfc","","","","","",""
"","","","call-function","28","201975","0.0-28.0","mb7x2pfc","","","","","",""
"null","","","video-keyboard-response","29","205036","0.0-29.0","mb7x2pfc","","","","null","Agent A","STIM_SET_1_REAL/713089.bmp_pp60_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4"
