"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","value","stimulus","key_press","agent","image"
"219416.565","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","219425","0.0-0.0","mmt4o8yy","","","","","",""
"32810.06","","","instructions","1","252237","0.0-1.0","mmt4o8yy","[{""page_index"":0,""viewing_time"":32809.905}]","","","","",""
"7498.420000000013","{""Age"":1,""Sex"":1,""Gender"":1}","[0,1,2]","survey-likert","2","259737","0.0-2.0","mmt4o8yy","","","","","",""
"1537.5899999999965","","","instructions","3","261275","0.0-3.0","mmt4o8yy","[{""page_index"":0,""viewing_time"":1537.4899999999907}]","","","","",""
"5320.695000000007","","","instructions","4","266596","0.0-4.0","mmt4o8yy","[{""page_index"":0,""viewing_time"":3604.5449999999837},{""page_index"":1,""viewing_time"":1716.030000000028}]","","","","",""
"10916.164999999979","","","instructions","5","277514","0.0-5.0","mmt4o8yy","[{""page_index"":0,""viewing_time"":1713.5849999999627},{""page_index"":1,""viewing_time"":3949.890000000014},{""page_index"":2,""viewing_time"":5252.094999999972}]","","","","",""
"2525.1650000000373","","","instructions","6","280040","0.0-6.0","mmt4o8yy","[{""page_index"":0,""viewing_time"":2525.055000000051}]","","","","",""
"","","","call-function","7","280041","0.0-7.0","mmt4o8yy","","","","","",""
"null","","","video-keyboard-response","8","283114","0.0-8.0","mmt4o8yy","","","","null","",""
"","","","call-function","9","283114","0.0-9.0","mmt4o8yy","","","","","",""
"8982.909999999974","","","instructions","10","292097","0.0-10.0","mmt4o8yy","[{""page_index"":0,""viewing_time"":3124.835000000021},{""page_index"":1,""viewing_time"":1723.0599999999977},{""page_index"":2,""viewing_time"":887.929999999993},{""page_index"":3,""viewing_time"":3246.9799999999814}]","","","","",""
"1212.905000000028","","","instructions","11","293311","0.0-11.0","mmt4o8yy","[{""page_index"":0,""viewing_time"":1212.7949999999837}]","","","","",""
"","","","call-function","12","293311","0.0-12.0","mmt4o8yy","","","","","",""
"null","","","video-keyboard-response","13","296388","0.0-13.0","mmt4o8yy","","","","null","",""
"","","","call-function","14","296388","0.0-14.0","mmt4o8yy","","","","","",""
"26883.42499999999","{""pre-1"":1}","[0]","survey-likert","15","323273","0.0-15.0","mmt4o8yy","","","","","",""
"13619.840000000026","{""pre-2"":2}","[0]","survey-likert","16","336894","0.0-16.0","mmt4o8yy","","","","","",""
"3994.6849999999977","{""pre-3"":1}","[0]","survey-likert","17","340890","0.0-17.0","mmt4o8yy","","","","","",""
"4068.274999999965","{""post-5"":2}","[0]","survey-likert","18","344959","0.0-18.0","mmt4o8yy","","","","","",""
"1285.1299999999464","","","instructions","19","346244","0.0-19.0","mmt4o8yy","[{""page_index"":0,""viewing_time"":1285.024999999965}]","","","","",""
"3828.030000000028","","","instructions","20","350073","0.0-20.0","mmt4o8yy","[{""page_index"":0,""viewing_time"":3827.8250000000116}]","","","","",""
"","","","call-function","21","350073","0.0-21.0","mmt4o8yy","","","","","",""
"null","","","video-keyboard-response","22","353149","0.0-22.0","mmt4o8yy","","","","null","Agent A","STIM_SET_1_REAL/1159784.bmp_pp73_L3_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","23","353149","0.0-23.0","mmt4o8yy","","","","","",""
