"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","value","stimulus","key_press","agent","image"
"207019.345","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","207027","0.0-0.0","pwkqzjyl","","","","","",""
"18141.13500000001","","","instructions","1","225170","0.0-1.0","pwkqzjyl","[{""page_index"":0,""viewing_time"":18140.984999999986}]","","","","",""
"8674.940000000002","{""Age"":1,""Sex"":1,""Gender"":1}","[0,1,2]","survey-likert","2","233847","0.0-2.0","pwkqzjyl","","","","","",""
"1199.6650000000081","","","instructions","3","235047","0.0-3.0","pwkqzjyl","[{""page_index"":0,""viewing_time"":1199.5650000000023}]","","","","",""
"8358.584999999992","","","instructions","4","243406","0.0-4.0","pwkqzjyl","[{""page_index"":0,""viewing_time"":2548.8550000000105},{""page_index"":1,""viewing_time"":5809.584999999992}]","","","","",""
"10797.640000000014","","","instructions","5","254204","0.0-5.0","pwkqzjyl","[{""page_index"":0,""viewing_time"":1498.515000000014},{""page_index"":1,""viewing_time"":2022.0449999999837},{""page_index"":2,""viewing_time"":7276.9649999999965}]","","","","",""
"2935.685000000027","","","instructions","6","257141","0.0-6.0","pwkqzjyl","[{""page_index"":0,""viewing_time"":2935.5800000000163}]","","","","",""
"","","","call-function","7","257141","0.0-7.0","pwkqzjyl","","","","","",""
"null","","","video-keyboard-response","8","260215","0.0-8.0","pwkqzjyl","","","","null","",""
"","","","call-function","9","260216","0.0-9.0","pwkqzjyl","","","","","",""
"12310.190000000002","","","instructions","10","272527","0.0-10.0","pwkqzjyl","[{""page_index"":0,""viewing_time"":3297.6300000000047},{""page_index"":1,""viewing_time"":2538.344999999972},{""page_index"":2,""viewing_time"":1715.375},{""page_index"":3,""viewing_time"":4758.075000000012}]","","","","",""
"1715.5","","","instructions","11","274243","0.0-11.0","pwkqzjyl","[{""page_index"":0,""viewing_time"":1715.4000000000233}]","","","","",""
"","","","call-function","12","274244","0.0-12.0","pwkqzjyl","","","","","",""
"null","","","video-keyboard-response","13","277319","0.0-13.0","pwkqzjyl","","","","null","",""
"","","","call-function","14","277320","0.0-14.0","pwkqzjyl","","","","","",""
"28247.42499999999","{""pre-1"":0}","[0]","survey-likert","15","305570","0.0-15.0","pwkqzjyl","","","","","",""
"15445.729999999981","{""pre-2"":3}","[0]","survey-likert","16","321017","0.0-16.0","pwkqzjyl","","","","","",""
"5601.619999999995","{""pre-3"":2}","[0]","survey-likert","17","326620","0.0-17.0","pwkqzjyl","","","","","",""
"3212.2850000000326","{""post-5"":2}","[0]","survey-likert","18","329834","0.0-18.0","pwkqzjyl","","","","","",""
"1124.5449999999837","","","instructions","19","330959","0.0-19.0","pwkqzjyl","[{""page_index"":0,""viewing_time"":1124.304999999993}]","","","","",""
"3676.1350000000093","","","instructions","20","334635","0.0-20.0","pwkqzjyl","[{""page_index"":0,""viewing_time"":3676.024999999965}]","","","","",""
"","","","call-function","21","334636","0.0-21.0","pwkqzjyl","","","","","",""
"null","","","video-keyboard-response","22","337700","0.0-22.0","pwkqzjyl","","","","null","Agent A","STIM_SET_1_REAL/713403.bmp_pp80_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","23","337701","0.0-23.0","pwkqzjyl","","","","","",""
"69028.60999999999","{""pre-1"":0}","[0]","survey-likert","24","406730","0.0-24.0","pwkqzjyl","","","","","",""
"3546.259999999951","{""pre-2"":2}","[0]","survey-likert","25","410278","0.0-25.0","pwkqzjyl","","","","","",""
"8211.790000000037","{""pre-3"":2}","[0]","survey-likert","26","418493","0.0-26.0","pwkqzjyl","","","","","",""
"4543.290000000037","{""post-5"":1}","[0]","survey-likert","27","423038","0.0-27.0","pwkqzjyl","","","","","",""
"","","","call-function","28","423039","0.0-28.0","pwkqzjyl","","","","","",""
"null","","","video-keyboard-response","29","426099","0.0-29.0","pwkqzjyl","","","","null","Agent A","STIM_SET_1_REAL/1159446.bmp_pp60_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","30","426099","0.0-30.0","pwkqzjyl","","","","","",""
"3695.6900000000023","{""pre-1"":0}","[0]","survey-likert","31","429796","0.0-31.0","pwkqzjyl","","","","","",""
"20245.64499999996","{""pre-2"":2}","[0]","survey-likert","32","450043","0.0-32.0","pwkqzjyl","","","","","",""
"3166.914999999979","{""pre-3"":2}","[0]","survey-likert","33","453211","0.0-33.0","pwkqzjyl","","","","","",""
"3889.8550000000396","{""post-5"":0}","[0]","survey-likert","34","457103","0.0-34.0","pwkqzjyl","","","","","",""
"","","","call-function","35","457104","0.0-35.0","pwkqzjyl","","","","","",""
"null","","","video-keyboard-response","36","460181","0.0-36.0","pwkqzjyl","","","","null","Agent A","STIM_SET_1_REAL/1159855.bmp_pp99_L2_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","37","460182","0.0-37.0","pwkqzjyl","","","","","",""
"4043.2600000000093","{""pre-1"":0}","[0]","survey-likert","38","464226","0.0-38.0","pwkqzjyl","","","","","",""
"6101.290000000037","{""pre-2"":0}","[0]","survey-likert","39","470328","0.0-39.0","pwkqzjyl","","","","","",""
"4155.479999999981","{""pre-3"":0}","[0]","survey-likert","40","474485","0.0-40.0","pwkqzjyl","","","","","",""
"3206.7000000000116","{""post-5"":3}","[0]","survey-likert","41","477694","0.0-41.0","pwkqzjyl","","","","","",""
"","","","call-function","42","477695","0.0-42.0","pwkqzjyl","","","","","",""
"null","","","video-keyboard-response","43","480758","0.0-43.0","pwkqzjyl","","","","null","Agent A","STIM_SET_1_REAL/497950.bmp_pp151_L1_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","44","480758","0.0-44.0","pwkqzjyl","","","","","",""
"4434.534999999974","{""pre-1"":0}","[0]","survey-likert","45","485194","0.0-45.0","pwkqzjyl","","","","","",""
"6345.804999999993","{""pre-2"":1}","[0]","survey-likert","46","491542","0.0-46.0","pwkqzjyl","","","","","",""
"3340.25","{""pre-3"":0}","[0]","survey-likert","47","494883","0.0-47.0","pwkqzjyl","","","","","",""
"4718.820000000007","{""post-5"":2}","[0]","survey-likert","48","499603","0.0-48.0","pwkqzjyl","","","","","",""
"","","","call-function","49","499604","0.0-49.0","pwkqzjyl","","","","","",""
"null","","","video-keyboard-response","50","502666","0.0-50.0","pwkqzjyl","","","","null","Agent A","STIM_SET_1_REAL/1159572.bmp_pp71_L1_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","51","502666","0.0-51.0","pwkqzjyl","","","","","",""
"4365.710000000021","{""pre-1"":0}","[0]","survey-likert","52","507033","0.0-52.0","pwkqzjyl","","","","","",""
"8197.86499999999","{""pre-2"":1}","[0]","survey-likert","53","515232","0.0-53.0","pwkqzjyl","","","","","",""
"5184.645000000019","{""pre-3"":0}","[0]","survey-likert","54","520418","0.0-54.0","pwkqzjyl","","","","","",""
"2381.905000000028","{""post-5"":2}","[0]","survey-likert","55","522801","0.0-55.0","pwkqzjyl","","","","","",""
"","","","call-function","56","522801","0.0-56.0","pwkqzjyl","","","","","",""
"null","","","video-keyboard-response","57","525875","0.0-57.0","pwkqzjyl","","","","null","Agent A","STIM_SET_1_REAL/1592372.bmp_pp76_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4"
