"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","value","stimulus","key_press","agent","image"
"1131309.05","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","1131320","0.0-0.0","trr3ylye","","","","","",""
"26027.594999999972","","","instructions","1","1157349","0.0-1.0","trr3ylye","[{""page_index"":0,""viewing_time"":26027.445000000065}]","","","","",""
"8122.260000000009","{""Age"":1,""Sex"":1,""Gender"":1}","[0,1,2]","survey-likert","2","1165473","0.0-2.0","trr3ylye","","","","","",""
"1510.9399999999441","","","instructions","3","1166985","0.0-3.0","trr3ylye","[{""page_index"":0,""viewing_time"":1510.8300000000745}]","","","","",""
"5319.324999999953","","","instructions","4","1172305","0.0-4.0","trr3ylye","[{""page_index"":0,""viewing_time"":3637.554999999935},{""page_index"":1,""viewing_time"":1681.660000000149}]","","","","",""
"7787.534999999916","","","instructions","5","1180093","0.0-5.0","trr3ylye","[{""page_index"":0,""viewing_time"":1188.589999999851},{""page_index"":1,""viewing_time"":1586.910000000149},{""page_index"":2,""viewing_time"":5011.909999999916}]","","","","",""
"1245.3850000000093","","","instructions","6","1181338","0.0-6.0","trr3ylye","[{""page_index"":0,""viewing_time"":1245.280000000028}]","","","","",""
"","","","call-function","7","1181339","0.0-7.0","trr3ylye","","","","","",""
"null","","","video-keyboard-response","8","1184415","0.0-8.0","trr3ylye","","","","null","",""
"","","","call-function","9","1184416","0.0-9.0","trr3ylye","","","","","",""
"7927.569999999832","","","instructions","10","1192344","0.0-10.0","trr3ylye","[{""page_index"":0,""viewing_time"":2435.494999999879},{""page_index"":1,""viewing_time"":1589.8950000000186},{""page_index"":2,""viewing_time"":902.0400000000373},{""page_index"":3,""viewing_time"":2999.9199999999255}]","","","","",""
"951.2450000001118","","","instructions","11","1193296","0.0-11.0","trr3ylye","[{""page_index"":0,""viewing_time"":951.1350000000093}]","","","","",""
"","","","call-function","12","1193296","0.0-12.0","trr3ylye","","","","","",""
"null","","","video-keyboard-response","13","1196372","0.0-13.0","trr3ylye","","","","null","",""
"","","","call-function","14","1196372","0.0-14.0","trr3ylye","","","","","",""
"13589.180000000168","{""pre-1"":1}","[0]","survey-likert","15","1209963","0.0-15.0","trr3ylye","","","","","",""
"5079.574999999953","{""pre-2"":2}","[0]","survey-likert","16","1215043","0.0-16.0","trr3ylye","","","","","",""
"3975.005000000121","{""pre-3"":1}","[0]","survey-likert","17","1219020","0.0-17.0","trr3ylye","","","","","",""
"4085.310000000056","{""post-5"":2}","[0]","survey-likert","18","1223107","0.0-18.0","trr3ylye","","","","","",""
"983.7650000001304","","","instructions","19","1224092","0.0-19.0","trr3ylye","[{""page_index"":0,""viewing_time"":983.1500000001397}]","","","","",""
"9175.780000000028","","","instructions","20","1233269","0.0-20.0","trr3ylye","[{""page_index"":0,""viewing_time"":9175.669999999925}]","","","","",""
"","","","call-function","21","1233269","0.0-21.0","trr3ylye","","","","","",""
"null","","","video-keyboard-response","22","1236339","0.0-22.0","trr3ylye","","","","null","Agent A","STIM_SET_1_REAL/713135.bmp_pp54_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","23","1236339","0.0-23.0","trr3ylye","","","","","",""
"5755.010000000009","{""pre-1"":2}","[0]","survey-likert","24","1242095","0.0-24.0","trr3ylye","","","","","",""
"6016.4199999999255","{""pre-2"":0}","[0]","survey-likert","25","1248113","0.0-25.0","trr3ylye","","","","","",""
"4313.939999999944","{""pre-3"":0}","[0]","survey-likert","26","1252428","0.0-26.0","trr3ylye","","","","","",""
"12299.850000000093","{""post-5"":2}","[0]","survey-likert","27","1264729","0.0-27.0","trr3ylye","","","","","",""
"","","","call-function","28","1264730","0.0-28.0","trr3ylye","","","","","",""
"null","","","video-keyboard-response","29","1267800","0.0-29.0","trr3ylye","","","","null","Agent A","STIM_SET_1_REAL/713796.bmp_pp84_L3_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","30","1267800","0.0-30.0","trr3ylye","","","","","",""
"6660.780000000028","{""pre-1"":1}","[0]","survey-likert","31","1274462","0.0-31.0","trr3ylye","","","","","",""
"2744.655000000028","{""pre-2"":0}","[0]","survey-likert","32","1277208","0.0-32.0","trr3ylye","","","","","",""
"5102.950000000186","{""pre-3"":1}","[0]","survey-likert","33","1282312","0.0-33.0","trr3ylye","","","","","",""
"2688.255000000121","{""post-5"":3}","[0]","survey-likert","34","1285001","0.0-34.0","trr3ylye","","","","","",""
"","","","call-function","35","1285001","0.0-35.0","trr3ylye","","","","","",""
"null","","","video-keyboard-response","36","1288070","0.0-36.0","trr3ylye","","","","null","Agent A","STIM_SET_1_REAL/285905.bmp_pp57_L1_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","37","1288070","0.0-37.0","trr3ylye","","","","","",""
"5949.23499999987","{""pre-1"":1}","[0]","survey-likert","38","1294021","0.0-38.0","trr3ylye","","","","","",""
"4118.114999999991","{""pre-2"":2}","[0]","survey-likert","39","1298141","0.0-39.0","trr3ylye","","","","","",""
"5806.020000000019","{""pre-3"":1}","[0]","survey-likert","40","1303948","0.0-40.0","trr3ylye","","","","","",""
"3432.0500000000466","{""post-5"":2}","[0]","survey-likert","41","1307381","0.0-41.0","trr3ylye","","","","","",""
"","","","call-function","42","1307382","0.0-42.0","trr3ylye","","","","","",""
"null","","","video-keyboard-response","43","1310457","0.0-43.0","trr3ylye","","","","null","Agent A","STIM_SET_1_REAL/285751.bmp_pp55_L3_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","44","1310458","0.0-44.0","trr3ylye","","","","","",""
"8191.2050000000745","{""pre-1"":1}","[0]","survey-likert","45","1318650","0.0-45.0","trr3ylye","","","","","",""
"6738.559999999823","{""pre-2"":3}","[0]","survey-likert","46","1325390","0.0-46.0","trr3ylye","","","","","",""
"9203.860000000102","{""pre-3"":2}","[0]","survey-likert","47","1334595","0.0-47.0","trr3ylye","","","","","",""
"3998.1200000001118","{""post-5"":1}","[0]","survey-likert","48","1338594","0.0-48.0","trr3ylye","","","","","",""
"","","","call-function","49","1338595","0.0-49.0","trr3ylye","","","","","",""
"null","","","video-keyboard-response","50","1341670","0.0-50.0","trr3ylye","","","","null","Agent A","STIM_SET_1_REAL/1592372.bmp_pp76_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","51","1341671","0.0-51.0","trr3ylye","","","","","",""
"6132.379999999888","{""pre-1"":1}","[0]","survey-likert","52","1347805","0.0-52.0","trr3ylye","","","","","",""
"6654.864999999991","{""pre-2"":2}","[0]","survey-likert","53","1354461","0.0-53.0","trr3ylye","","","","","",""
"2215.3299999998417","{""pre-3"":2}","[0]","survey-likert","54","1356678","0.0-54.0","trr3ylye","","","","","",""
"5899.164999999804","{""post-5"":1}","[0]","survey-likert","55","1362578","0.0-55.0","trr3ylye","","","","","",""
"","","","call-function","56","1362579","0.0-56.0","trr3ylye","","","","","",""
"null","","","video-keyboard-response","57","1365642","0.0-57.0","trr3ylye","","","","null","Agent A","STIM_SET_1_REAL/713089.bmp_pp60_L3_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","58","1365643","0.0-58.0","trr3ylye","","","","","",""
"6123.060000000056","{""pre-1"":1}","[0]","survey-likert","59","1371767","0.0-59.0","trr3ylye","","","","","",""
"21892.925000000047","{""pre-2"":2}","[0]","survey-likert","60","1393661","0.0-60.0","trr3ylye","","","","","",""
"4318.120000000112","{""pre-3"":1}","[0]","survey-likert","61","1397980","0.0-61.0","trr3ylye","","","","","",""
"2680.939999999944","{""post-5"":1}","[0]","survey-likert","62","1400662","0.0-62.0","trr3ylye","","","","","",""
"","","","call-function","63","1400663","0.0-63.0","trr3ylye","","","","","",""
"null","","","video-keyboard-response","64","1403731","0.0-64.0","trr3ylye","","","","null","Agent A","STIM_SET_1_REAL/1592727.bmp_pp59_L3_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","65","1403732","0.0-65.0","trr3ylye","","","","","",""
"8207.360000000102","{""pre-1"":2}","[0]","survey-likert","66","1411940","0.0-66.0","trr3ylye","","","","","",""
"3256.8300000000745","{""pre-2"":1}","[0]","survey-likert","67","1415198","0.0-67.0","trr3ylye","","","","","",""
"3104.8799999998882","{""pre-3"":2}","[0]","survey-likert","68","1418303","0.0-68.0","trr3ylye","","","","","",""
"3103.9150000000373","{""post-5"":3}","[0]","survey-likert","69","1421409","0.0-69.0","trr3ylye","","","","","",""
"","","","call-function","70","1421410","0.0-70.0","trr3ylye","","","","","",""
"null","","","video-keyboard-response","71","1424485","0.0-71.0","trr3ylye","","","","null","Agent A","STIM_SET_1_REAL/712977.bmp_pp51_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","72","1424485","0.0-72.0","trr3ylye","","","","","",""
"3963.719999999972","{""pre-1"":2}","[0]","survey-likert","73","1428450","0.0-73.0","trr3ylye","","","","","",""
"26992.89000000013","{""pre-2"":1}","[0]","survey-likert","74","1455444","0.0-74.0","trr3ylye","","","","","",""
"2761.7899999998044","{""pre-3"":2}","[0]","survey-likert","75","1458208","0.0-75.0","trr3ylye","","","","","",""
"3463.0100000000093","{""post-5"":2}","[0]","survey-likert","76","1461672","0.0-76.0","trr3ylye","","","","","",""
"","","","call-function","77","1461672","0.0-77.0","trr3ylye","","","","","",""
"null","","","video-keyboard-response","78","1464748","0.0-78.0","trr3ylye","","","","null","Agent A","STIM_SET_1_REAL/713684.bmp_pp85_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","79","1464749","0.0-79.0","trr3ylye","","","","","",""
"4684.215000000084","{""pre-1"":1}","[0]","survey-likert","80","1469434","0.0-80.0","trr3ylye","","","","","",""
"5053.645000000019","{""pre-2"":0}","[0]","survey-likert","81","1474489","0.0-81.0","trr3ylye","","","","","",""
"5294.195000000065","{""pre-3"":0}","[0]","survey-likert","82","1479784","0.0-82.0","trr3ylye","","","","","",""
"2969.945000000065","{""post-5"":3}","[0]","survey-likert","83","1482755","0.0-83.0","trr3ylye","","","","","",""
"","","","call-function","84","1482755","0.0-84.0","trr3ylye","","","","","",""
"null","","","video-keyboard-response","85","1485824","0.0-85.0","trr3ylye","","","","null","Agent A","STIM_SET_1_REAL/1592286.bmp_pp52_L1_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","86","1485824","0.0-86.0","trr3ylye","","","","","",""
"6459.524999999907","{""pre-1"":1}","[0]","survey-likert","87","1492285","0.0-87.0","trr3ylye","","","","","",""
"39168.715000000084","{""pre-2"":1}","[0]","survey-likert","88","1531456","0.0-88.0","trr3ylye","","","","","",""
"3863.3249999999534","{""pre-3"":0}","[0]","survey-likert","89","1535320","0.0-89.0","trr3ylye","","","","","",""
"2392.7349999998696","{""post-5"":2}","[0]","survey-likert","90","1537715","0.0-90.0","trr3ylye","","","","","",""
"","","","call-function","91","1537715","0.0-91.0","trr3ylye","","","","","",""
"null","","","video-keyboard-response","92","1540782","0.0-92.0","trr3ylye","","","","null","Agent A","STIM_SET_1_REAL/1592286.bmp_pp52_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","93","1540783","0.0-93.0","trr3ylye","","","","","",""
"4665.489999999991","{""pre-1"":2}","[0]","survey-likert","94","1545449","0.0-94.0","trr3ylye","","","","","",""
"2922.214999999851","{""pre-2"":1}","[0]","survey-likert","95","1548372","0.0-95.0","trr3ylye","","","","","",""
"5656.939999999944","{""pre-3"":1}","[0]","survey-likert","96","1554030","0.0-96.0","trr3ylye","","","","","",""
"4346.494999999879","{""post-5"":2}","[0]","survey-likert","97","1558378","0.0-97.0","trr3ylye","","","","","",""
"","","","call-function","98","1558379","0.0-98.0","trr3ylye","","","","","",""
"null","","","video-keyboard-response","99","1561457","0.0-99.0","trr3ylye","","","","null","Agent A","STIM_SET_1_REAL/713666.bmp_pp97_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","100","1561458","0.0-100.0","trr3ylye","","","","","",""
"3402.6149999999907","{""pre-1"":2}","[0]","survey-likert","101","1564861","0.0-101.0","trr3ylye","","","","","",""
"3445.1350000000093","{""pre-2"":2}","[0]","survey-likert","102","1568307","0.0-102.0","trr3ylye","","","","","",""
"2826.255000000121","{""pre-3"":2}","[0]","survey-likert","103","1571135","0.0-103.0","trr3ylye","","","","","",""
"3178.840000000084","{""post-5"":0}","[0]","survey-likert","104","1574315","0.0-104.0","trr3ylye","","","","","",""
"","","","call-function","105","1574316","0.0-105.0","trr3ylye","","","","","",""
"null","","","video-keyboard-response","106","1577396","0.0-106.0","trr3ylye","","","","null","Agent A","STIM_SET_1_REAL/1593146.bmp_pp93_L1_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","107","1577397","0.0-107.0","trr3ylye","","","","","",""
"8987.875","{""pre-1"":2}","[0]","survey-likert","108","1586386","0.0-108.0","trr3ylye","","","","","",""
"37558.80500000017","{""pre-2"":1}","[0]","survey-likert","109","1623946","0.0-109.0","trr3ylye","","","","","",""
"2913.494999999879","{""pre-3"":1}","[0]","survey-likert","110","1626860","0.0-110.0","trr3ylye","","","","","",""
"3939.5749999999534","{""post-5"":1}","[0]","survey-likert","111","1630801","0.0-111.0","trr3ylye","","","","","",""
"","","","call-function","112","1630802","0.0-112.0","trr3ylye","","","","","",""
"null","","","video-keyboard-response","113","1633876","0.0-113.0","trr3ylye","","","","null","Agent A","STIM_SET_1_REAL/1591994.bmp_pp69_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","114","1633877","0.0-114.0","trr3ylye","","","","","",""
"4460.5","{""pre-1"":1}","[0]","survey-likert","115","1638339","0.0-115.0","trr3ylye","","","","","",""
"5575.610000000102","{""pre-2"":2}","[0]","survey-likert","116","1643915","0.0-116.0","trr3ylye","","","","","",""
"5985.989999999991","{""pre-3"":2}","[0]","survey-likert","117","1649902","0.0-117.0","trr3ylye","","","","","",""
"3934.2349999998696","{""post-5"":1}","[0]","survey-likert","118","1653838","0.0-118.0","trr3ylye","","","","","",""
"","","","call-function","119","1653839","0.0-119.0","trr3ylye","","","","","",""
"null","","","video-keyboard-response","120","1656917","0.0-120.0","trr3ylye","","","","null","Agent A","STIM_SET_1_REAL/1591954.bmp_pp62_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","121","1656917","0.0-121.0","trr3ylye","","","","","",""
"7871.14000000013","{""pre-1"":2}","[0]","survey-likert","122","1664790","0.0-122.0","trr3ylye","","","","","",""
"7792.629999999888","{""pre-2"":1}","[0]","survey-likert","123","1672583","0.0-123.0","trr3ylye","","","","","",""
"5575.844999999972","{""pre-3"":2}","[0]","survey-likert","124","1678161","0.0-124.0","trr3ylye","","","","","",""
"2946.839999999851","{""post-5"":3}","[0]","survey-likert","125","1681108","0.0-125.0","trr3ylye","","","","","",""
"","","","call-function","126","1681109","0.0-126.0","trr3ylye","","","","","",""
"null","","","video-keyboard-response","127","1684171","0.0-127.0","trr3ylye","","","","null","Agent A","STIM_SET_1_REAL/1159572.bmp_pp71_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","128","1684172","0.0-128.0","trr3ylye","","","","","",""
"3161.655000000028","{""pre-1"":1}","[0]","survey-likert","129","1687335","0.0-129.0","trr3ylye","","","","","",""
"3150.0049999998882","{""pre-2"":2}","[0]","survey-likert","130","1690486","0.0-130.0","trr3ylye","","","","","",""
"5823.219999999972","{""pre-3"":3}","[0]","survey-likert","131","1696310","0.0-131.0","trr3ylye","","","","","",""
"6000.434999999823","{""post-5"":1}","[0]","survey-likert","132","1702312","0.0-132.0","trr3ylye","","","","","",""
"","","","call-function","133","1702312","0.0-133.0","trr3ylye","","","","","",""
"null","","","video-keyboard-response","134","1705379","0.0-134.0","trr3ylye","","","","null","Agent A","STIM_SET_1_REAL/1592397.bmp_pp85_L3_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","135","1705379","0.0-135.0","trr3ylye","","","","","",""
"6122.800000000047","{""pre-1"":2}","[0]","survey-likert","136","1711504","0.0-136.0","trr3ylye","","","","","",""
"5512.629999999888","{""pre-2"":2}","[0]","survey-likert","137","1717018","0.0-137.0","trr3ylye","","","","","",""
"3360.9599999999627","{""pre-3"":1}","[0]","survey-likert","138","1720380","0.0-138.0","trr3ylye","","","","","",""
"3790.130000000121","{""post-5"":2}","[0]","survey-likert","139","1724172","0.0-139.0","trr3ylye","","","","","",""
"","","","call-function","140","1724172","0.0-140.0","trr3ylye","","","","","",""
"null","","","video-keyboard-response","141","1727240","0.0-141.0","trr3ylye","","","","null","Agent A","STIM_SET_1_REAL/1591961.bmp_pp67_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","142","1727241","0.0-142.0","trr3ylye","","","","","",""
"3629.6749999998137","{""pre-1"":2}","[0]","survey-likert","143","1730871","0.0-143.0","trr3ylye","","","","","",""
"3543.130000000121","{""pre-2"":1}","[0]","survey-likert","144","1734416","0.0-144.0","trr3ylye","","","","","",""
"3688.3549999999814","{""pre-3"":1}","[0]","survey-likert","145","1738105","0.0-145.0","trr3ylye","","","","","",""
"3344.034999999916","{""post-5"":1}","[0]","survey-likert","146","1741451","0.0-146.0","trr3ylye","","","","","",""
"","","","call-function","147","1741451","0.0-147.0","trr3ylye","","","","","",""
"null","","","video-keyboard-response","148","1744526","0.0-148.0","trr3ylye","","","","null","Agent A","STIM_SET_1_REAL/713620.bmp_pp65_L3_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","149","1744526","0.0-149.0","trr3ylye","","","","","",""
"5501.415000000037","{""pre-1"":2}","[0]","survey-likert","150","1750028","0.0-150.0","trr3ylye","","","","","",""
"2534.380000000121","{""pre-2"":1}","[0]","survey-likert","151","1752564","0.0-151.0","trr3ylye","","","","","",""
"1885.8250000001863","{""pre-3"":1}","[0]","survey-likert","152","1754452","0.0-152.0","trr3ylye","","","","","",""
"5880.995000000112","{""post-5"":2}","[0]","survey-likert","153","1760335","0.0-153.0","trr3ylye","","","","","",""
"","","","call-function","154","1760335","0.0-154.0","trr3ylye","","","","","",""
"null","","","video-keyboard-response","155","1763398","0.0-155.0","trr3ylye","","","","null","Agent A","STIM_SET_1_REAL/1592817.bmp_pp55_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","156","1763399","0.0-156.0","trr3ylye","","","","","",""
"3893.8299999998417","{""pre-1"":2}","[0]","survey-likert","157","1767294","0.0-157.0","trr3ylye","","","","","",""
"2713.1450000000186","{""pre-2"":1}","[0]","survey-likert","158","1770008","0.0-158.0","trr3ylye","","","","","",""
"2088.5550000001676","{""pre-3"":2}","[0]","survey-likert","159","1772098","0.0-159.0","trr3ylye","","","","","",""
"7083.554999999935","{""post-5"":2}","[0]","survey-likert","160","1779182","0.0-160.0","trr3ylye","","","","","",""
"55306.76500000013","","","instructions","161","1834490","0.0-161.0","trr3ylye","[{""page_index"":0,""viewing_time"":1882.4500000001863},{""page_index"":1,""viewing_time"":52540.11999999988},{""page_index"":2,""viewing_time"":883.9750000000931}]","","","","",""
"5910.930000000168","","","instructions","162","1840401","0.0-162.0","trr3ylye","[{""page_index"":0,""viewing_time"":968.9950000001118},{""page_index"":1,""viewing_time"":4310.929999999935},{""page_index"":2,""viewing_time"":630.9000000001397}]","","","","",""
"","","","call-function","163","1840402","0.0-163.0","trr3ylye","","","","","",""
"null","","","video-keyboard-response","164","1843477","0.0-164.0","trr3ylye","","","","null","Agent A","STIM_SET_1_REAL/1160127.bmp_pp90_L2_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","165","1843477","0.0-165.0","trr3ylye","","","","","",""
"3711.340000000084","{""pre-1"":1}","[0]","survey-likert","166","1847190","0.0-166.0","trr3ylye","","","","","",""
"2433.8900000001304","{""pre-2"":1}","[0]","survey-likert","167","1849625","0.0-167.0","trr3ylye","","","","","",""
"3264.0200000000186","{""pre-3"":2}","[0]","survey-likert","168","1852890","0.0-168.0","trr3ylye","","","","","",""
"2236.655000000028","{""post-5"":2}","[0]","survey-likert","169","1855127","0.0-169.0","trr3ylye","","","","","",""
"","","","call-function","170","1855128","0.0-170.0","trr3ylye","","","","","",""
"null","","","video-keyboard-response","171","1858191","0.0-171.0","trr3ylye","","","","null","Agent A","STIM_SET_1_REAL/285994.bmp_pp92_L3_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","172","1858193","0.0-172.0","trr3ylye","","","","","",""
"3608.9849999998696","{""pre-1"":2}","[0]","survey-likert","173","1861803","0.0-173.0","trr3ylye","","","","","",""
"3697.6099999998696","{""pre-2"":1}","[0]","survey-likert","174","1865502","0.0-174.0","trr3ylye","","","","","",""
"3154.909999999916","{""pre-3"":1}","[0]","survey-likert","175","1868658","0.0-175.0","trr3ylye","","","","","",""
"3129.7349999998696","{""post-5"":2}","[0]","survey-likert","176","1871789","0.0-176.0","trr3ylye","","","","","",""
"","","","call-function","177","1871790","0.0-177.0","trr3ylye","","","","","",""
"null","","","video-keyboard-response","178","1874866","0.0-178.0","trr3ylye","","","","null","Agent A","STIM_SET_1_REAL/1159784.bmp_pp73_L3_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","179","1874867","0.0-179.0","trr3ylye","","","","","",""
"7807.319999999832","{""pre-1"":1}","[0]","survey-likert","180","1882675","0.0-180.0","trr3ylye","","","","","",""
"2894.7249999998603","{""pre-2"":2}","[0]","survey-likert","181","1885571","0.0-181.0","trr3ylye","","","","","",""
"3319.3249999999534","{""pre-3"":2}","[0]","survey-likert","182","1888892","0.0-182.0","trr3ylye","","","","","",""
"2388.1699999999255","{""post-5"":1}","[0]","survey-likert","183","1891281","0.0-183.0","trr3ylye","","","","","",""
"","","","call-function","184","1891281","0.0-184.0","trr3ylye","","","","","",""
"null","","","video-keyboard-response","185","1894349","0.0-185.0","trr3ylye","","","","null","Agent A","STIM_SET_1_REAL/713513.bmp_pp62_L2_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","186","1894349","0.0-186.0","trr3ylye","","","","","",""
"5281.14000000013","{""pre-1"":2}","[0]","survey-likert","187","1899632","0.0-187.0","trr3ylye","","","","","",""
"6774.165000000037","{""pre-2"":1}","[0]","survey-likert","188","1906407","0.0-188.0","trr3ylye","","","","","",""
"2031.4550000000745","{""pre-3"":1}","[0]","survey-likert","189","1908439","0.0-189.0","trr3ylye","","","","","",""
"1823.5400000000373","{""post-5"":2}","[0]","survey-likert","190","1910264","0.0-190.0","trr3ylye","","","","","",""
"","","","call-function","191","1910266","0.0-191.0","trr3ylye","","","","","",""
"null","","","video-keyboard-response","192","1913328","0.0-192.0","trr3ylye","","","","null","Agent A","STIM_SET_1_REAL/1159446.bmp_pp60_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","193","1913329","0.0-193.0","trr3ylye","","","","","",""
"4763.209999999963","{""pre-1"":2}","[0]","survey-likert","194","1918093","0.0-194.0","trr3ylye","","","","","",""
"6024.4900000002235","{""pre-2"":1}","[0]","survey-likert","195","1924119","0.0-195.0","trr3ylye","","","","","",""
"3549.8899999998976","{""pre-3"":2}","[0]","survey-likert","196","1927670","0.0-196.0","trr3ylye","","","","","",""
