"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","value","stimulus","key_press","agent","image"
"385832.915","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","385843","0.0-0.0","x6wt9dsu","","","","","",""
"37948.76000000001","","","instructions","1","423793","0.0-1.0","x6wt9dsu","[{""page_index"":0,""viewing_time"":37948.61499999999}]","","","","",""
"9262.104999999981","{""Age"":1,""Sex"":1,""Gender"":1}","[0,1,2]","survey-likert","2","433057","0.0-2.0","x6wt9dsu","","","","","",""
"1576","","","instructions","3","434634","0.0-3.0","x6wt9dsu","[{""page_index"":0,""viewing_time"":1575.905000000028}]","","","","",""
"5601.424999999988","","","instructions","4","440236","0.0-4.0","x6wt9dsu","[{""page_index"":0,""viewing_time"":3576.070000000007},{""page_index"":1,""viewing_time"":2025.2550000000047}]","","","","",""
"10787.690000000002","","","instructions","5","451024","0.0-5.0","x6wt9dsu","[{""page_index"":0,""viewing_time"":2227.5900000000256},{""page_index"":1,""viewing_time"":2175.0499999999884},{""page_index"":2,""viewing_time"":6384.929999999993}]","","","","",""
"1670.625","","","instructions","6","452695","0.0-6.0","x6wt9dsu","[{""page_index"":0,""viewing_time"":1670.5250000000233}]","","","","",""
"","","","call-function","7","452696","0.0-7.0","x6wt9dsu","","","","","",""
"null","","","video-keyboard-response","8","455769","0.0-8.0","x6wt9dsu","","","","null","",""
"","","","call-function","9","455769","0.0-9.0","x6wt9dsu","","","","","",""
"10220.484999999986","","","instructions","10","465990","0.0-10.0","x6wt9dsu","[{""page_index"":0,""viewing_time"":2871.945000000007},{""page_index"":1,""viewing_time"":1796.984999999986},{""page_index"":2,""viewing_time"":943.1350000000093},{""page_index"":3,""viewing_time"":4608.149999999965}]","","","","",""
"1502.7200000000303","","","instructions","11","467494","0.0-11.0","x6wt9dsu","[{""page_index"":0,""viewing_time"":1502.6149999999907}]","","","","",""
"","","","call-function","12","467494","0.0-12.0","x6wt9dsu","","","","","",""
"null","","","video-keyboard-response","13","470570","0.0-13.0","x6wt9dsu","","","","null","",""
"","","","call-function","14","470571","0.0-14.0","x6wt9dsu","","","","","",""
"17294.53999999998","{""pre-1"":1}","[0]","survey-likert","15","487866","0.0-15.0","x6wt9dsu","","","","","",""
"9492.909999999974","{""pre-2"":2}","[0]","survey-likert","16","497360","0.0-16.0","x6wt9dsu","","","","","",""
"5728.700000000012","{""pre-3"":1}","[0]","survey-likert","17","503090","0.0-17.0","x6wt9dsu","","","","","",""
"4385.275000000023","{""post-5"":2}","[0]","survey-likert","18","507477","0.0-18.0","x6wt9dsu","","","","","",""
"1735.515000000014","","","instructions","19","509214","0.0-19.0","x6wt9dsu","[{""page_index"":0,""viewing_time"":1734.9000000000233}]","","","","",""
"5677.544999999984","","","instructions","20","514892","0.0-20.0","x6wt9dsu","[{""page_index"":0,""viewing_time"":5677.429999999993}]","","","","",""
"","","","call-function","21","514892","0.0-21.0","x6wt9dsu","","","","","",""
"null","","","video-keyboard-response","22","517968","0.0-22.0","x6wt9dsu","","","","null","Agent A","STIM_SET_1_REAL/1592804.bmp_pp91_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","23","517968","0.0-23.0","x6wt9dsu","","","","","",""
"3951.1600000000326","{""pre-1"":2}","[0]","survey-likert","24","521920","0.0-24.0","x6wt9dsu","","","","","",""
"2991.719999999972","{""pre-2"":2}","[0]","survey-likert","25","524913","0.0-25.0","x6wt9dsu","","","","","",""
"4053.935000000056","{""pre-3"":2}","[0]","survey-likert","26","528968","0.0-26.0","x6wt9dsu","","","","","",""
"4915.810000000056","{""post-5"":1}","[0]","survey-likert","27","533885","0.0-27.0","x6wt9dsu","","","","","",""
"","","","call-function","28","533887","0.0-28.0","x6wt9dsu","","","","","",""
"null","","","video-keyboard-response","29","536947","0.0-29.0","x6wt9dsu","","","","null","Agent A","STIM_SET_1_REAL/713089.bmp_pp60_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","30","536947","0.0-30.0","x6wt9dsu","","","","","",""
"5953.770000000019","{""pre-1"":1}","[0]","survey-likert","31","542902","0.0-31.0","x6wt9dsu","","","","","",""
"2143.530000000028","{""pre-2"":1}","[0]","survey-likert","32","545047","0.0-32.0","x6wt9dsu","","","","","",""
"3511.820000000065","{""pre-3"":1}","[0]","survey-likert","33","548560","0.0-33.0","x6wt9dsu","","","","","",""
"2285.2600000000093","{""post-5"":2}","[0]","survey-likert","34","550846","0.0-34.0","x6wt9dsu","","","","","",""
"","","","call-function","35","550846","0.0-35.0","x6wt9dsu","","","","","",""
"null","","","video-keyboard-response","36","553924","0.0-36.0","x6wt9dsu","","","","null","Agent A","STIM_SET_1_REAL/713211.bmp_pp100_L3_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","37","553924","0.0-37.0","x6wt9dsu","","","","","",""
"4271.864999999991","{""pre-1"":2}","[0]","survey-likert","38","558197","0.0-38.0","x6wt9dsu","","","","","",""
"3453.4749999999767","{""pre-2"":3}","[0]","survey-likert","39","561651","0.0-39.0","x6wt9dsu","","","","","",""
"4927.640000000014","{""pre-3"":2}","[0]","survey-likert","40","566580","0.0-40.0","x6wt9dsu","","","","","",""
"4609.910000000033","{""post-5"":1}","[0]","survey-likert","41","571191","0.0-41.0","x6wt9dsu","","","","","",""
"","","","call-function","42","571191","0.0-42.0","x6wt9dsu","","","","","",""
"null","","","video-keyboard-response","43","574278","0.0-43.0","x6wt9dsu","","","","null","Agent A","STIM_SET_1_REAL/498175.bmp_pp154_L1_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","44","574279","0.0-44.0","x6wt9dsu","","","","","",""
"6812.389999999898","{""pre-1"":2}","[0]","survey-likert","45","581093","0.0-45.0","x6wt9dsu","","","","","",""
"2783.0100000000093","{""pre-2"":3}","[0]","survey-likert","46","583877","0.0-46.0","x6wt9dsu","","","","","",""
"3791.5950000000885","{""pre-3"":2}","[0]","survey-likert","47","587670","0.0-47.0","x6wt9dsu","","","","","",""
"3878.585000000079","{""post-5"":0}","[0]","survey-likert","48","591550","0.0-48.0","x6wt9dsu","","","","","",""
"","","","call-function","49","591551","0.0-49.0","x6wt9dsu","","","","","",""
"null","","","video-keyboard-response","50","594620","0.0-50.0","x6wt9dsu","","","","null","Agent A","STIM_SET_1_REAL/713135.bmp_pp54_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","51","594620","0.0-51.0","x6wt9dsu","","","","","",""
"2837.8000000000466","{""pre-1"":1}","[0]","survey-likert","52","597459","0.0-52.0","x6wt9dsu","","","","","",""
"5725.094999999972","{""pre-2"":1}","[0]","survey-likert","53","603185","0.0-53.0","x6wt9dsu","","","","","",""
"2625.9000000000233","{""pre-3"":1}","[0]","survey-likert","54","605812","0.0-54.0","x6wt9dsu","","","","","",""
"4161.910000000033","{""post-5"":2}","[0]","survey-likert","55","609975","0.0-55.0","x6wt9dsu","","","","","",""
"","","","call-function","56","609976","0.0-56.0","x6wt9dsu","","","","","",""
"null","","","video-keyboard-response","57","613036","0.0-57.0","x6wt9dsu","","","","null","Agent A","STIM_SET_1_REAL/285994.bmp_pp92_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","58","613036","0.0-58.0","x6wt9dsu","","","","","",""
"2997.0899999999674","{""pre-1"":1}","[0]","survey-likert","59","616034","0.0-59.0","x6wt9dsu","","","","","",""
"5636.234999999986","{""pre-2"":1}","[0]","survey-likert","60","621671","0.0-60.0","x6wt9dsu","","","","","",""
"3871.4649999999674","{""pre-3"":1}","[0]","survey-likert","61","625544","0.0-61.0","x6wt9dsu","","","","","",""
"3400.8349999999627","{""post-5"":2}","[0]","survey-likert","62","628946","0.0-62.0","x6wt9dsu","","","","","",""
"","","","call-function","63","628946","0.0-63.0","x6wt9dsu","","","","","",""
"null","","","video-keyboard-response","64","632011","0.0-64.0","x6wt9dsu","","","","null","Agent A","STIM_SET_1_REAL/713089.bmp_pp60_L3_V1.0_scrambled_freeview_isoFalse_fps144.mp4"
"","","","call-function","65","632012","0.0-65.0","x6wt9dsu","","","","","",""
"4183.609999999986","{""pre-1"":2}","[0]","survey-likert","66","636197","0.0-66.0","x6wt9dsu","","","","","",""
"2449.7600000000093","{""pre-2"":2}","[0]","survey-likert","67","638649","0.0-67.0","x6wt9dsu","","","","","",""
"1665.3200000000652","{""pre-3"":2}","[0]","survey-likert","68","640315","0.0-68.0","x6wt9dsu","","","","","",""
"3757.859999999986","{""post-5"":0}","[0]","survey-likert","69","644075","0.0-69.0","x6wt9dsu","","","","","",""
"","","","call-function","70","644075","0.0-70.0","x6wt9dsu","","","","","",""
"null","","","video-keyboard-response","71","647153","0.0-71.0","x6wt9dsu","","","","null","Agent A","STIM_SET_1_REAL/498111.bmp_pp88_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4"
"","","","call-function","72","647153","0.0-72.0","x6wt9dsu","","","","","",""
"4440.920000000042","{""pre-1"":0}","[0]","survey-likert","73","651595","0.0-73.0","x6wt9dsu","","","","","",""
"2433.414999999921","{""pre-2"":0}","[0]","survey-likert","74","654030","0.0-74.0","x6wt9dsu","","","","","",""
"4613.675000000047","{""pre-3"":0}","[0]","survey-likert","75","658645","0.0-75.0","x6wt9dsu","","","","","",""
"3814.3649999999907","{""post-5"":2}","[0]","survey-likert","76","662460","0.0-76.0","x6wt9dsu","","","","","",""
"","","","call-function","77","662460","0.0-77.0","x6wt9dsu","","","","","",""
