"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","value","agent","condition","image","responses","question_order","correct_answer"
"[{""page_index"":0,""viewing_time"":31960.79999998212}]","31961.59999999404","instructions","0","31961","0.0-0.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1118.5999999940395},{""page_index"":1,""viewing_time"":3256.0999999940395},{""page_index"":2,""viewing_time"":3206.5999999940395}]","7581.4000000059605","instructions","1","39543","0.0-1.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3400.4000000059605}]","3400.5","instructions","2","42944","0.0-2.0","","","","","","","","",""
"","null","video-keyboard-response","3","46092","0.0-3.0","","null","","","","","","",""
"[{""page_index"":0,""viewing_time"":2764.899999976158},{""page_index"":1,""viewing_time"":1955.1000000238419},{""page_index"":2,""viewing_time"":1058.2999999821186},{""page_index"":3,""viewing_time"":5414.4000000059605},{""page_index"":4,""viewing_time"":4008.9000000059605}]","15201.799999982119","instructions","4","61293","0.0-4.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4519.9000000059605}]","4520","instructions","5","65814","0.0-5.0","","","","","","","","",""
"","","call-function","6","65814","0.0-6.0","","","","","","","","",""
"","null","html-keyboard-response","7","68819","0.0-7.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","8","71962","0.0-8.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_498258.bmppp76_L1V1_freeview_veridical.mp4","","",""
"","null","html-keyboard-response","9","74966","0.0-9.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","10","78154","0.0-10.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_498258.bmppp76_L1V1_freeview_scrambled.mp4","","",""
"","","call-function","11","78154","0.0-11.0","","","","","","","","",""
