"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","value","agent","condition","image","responses","question_order","correct_answer"
"[{""page_index"":0,""viewing_time"":10135.899999976158}]","10137.199999988079","instructions","0","10143","0.0-0.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":842.5},{""page_index"":1,""viewing_time"":5381.600000023842},{""page_index"":2,""viewing_time"":2718.699999988079}]","8943","instructions","1","19091","0.0-1.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2089.7999999821186}]","2090","instructions","2","21182","0.0-2.0","","","","","","","","",""
"","null","video-keyboard-response","3","24327","0.0-3.0","","null","","","","","","",""
"[{""page_index"":0,""viewing_time"":2710.5},{""page_index"":1,""viewing_time"":4884.300000011921},{""page_index"":2,""viewing_time"":3205.0999999940395},{""page_index"":3,""viewing_time"":3721.300000011921},{""page_index"":4,""viewing_time"":3989.2999999821186}]","18510.80000001192","instructions","4","42838","0.0-4.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":5006.200000017881}]","5006.4000000059605","instructions","5","47846","0.0-5.0","","","","","","","","",""
"","","call-function","6","47847","0.0-6.0","","","","","","","","",""
"","null","html-keyboard-response","7","50855","0.0-7.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","8","54006","0.0-8.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_713858.bmppp75_L1V1_freeview_veridical.mp4","","",""
"","null","html-keyboard-response","9","57010","0.0-9.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","10","60187","0.0-10.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_713858.bmppp75_L1V1_freeview_scrambled.mp4","","",""
"","","call-function","11","60188","0.0-11.0","","","","","","","","",""
"","4126.100000023842","survey-likert","12","64317","0.0-12.0","","","","","","","{""judgement"":0}","[0]","0"
"","1790.9000000059605","survey-likert","13","66110","0.0-13.0","","","","","","","{""confidence"":1}","[0]",""
"","","call-function","14","66111","0.0-14.0","","","","","","","","",""
"","null","html-keyboard-response","15","69115","0.0-15.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","16","72419","0.0-16.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_713760.bmppp75_L1V1_freeview_veridical.mp4","","",""
"","null","html-keyboard-response","17","75422","0.0-17.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","18","78658","0.0-18.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_713760.bmppp75_L1V1_freeview_scrambled.mp4","","",""
"","","call-function","19","78659","0.0-19.0","","","","","","","","",""
"","2152.699999988079","survey-likert","20","80813","0.0-20.0","","","","","","","{""judgement"":0}","[0]","0"
"","2023.5999999940395","survey-likert","21","82839","0.0-21.0","","","","","","","{""confidence"":3}","[0]",""
"","","call-function","22","82840","0.0-22.0","","","","","","","","",""
"","null","html-keyboard-response","23","85843","0.0-23.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","24","89252","0.0-24.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_1159353.bmppp151_L1V1_freeview_veridical.mp4","","",""
"","null","html-keyboard-response","25","92256","0.0-25.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","26","95619","0.0-26.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_1159353.bmppp151_L1V1_freeview_scrambled.mp4","","",""
"","","call-function","27","95619","0.0-27.0","","","","","","","","",""
"","2663.5","survey-likert","28","98285","0.0-28.0","","","","","","","{""judgement"":1}","[0]","0"
"","1865.4000000059605","survey-likert","29","100151","0.0-29.0","","","","","","","{""confidence"":1}","[0]",""
"","","call-function","30","100152","0.0-30.0","","","","","","","","",""
"","null","html-keyboard-response","31","103153","0.0-31.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","32","106344","0.0-32.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_1159318.bmppp98_L1V1_freeview_veridical.mp4","","",""
"","null","html-keyboard-response","33","109346","0.0-33.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","34","112606","0.0-34.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_1159318.bmppp98_L1V1_freeview_scrambled.mp4","","",""
"","","call-function","35","112606","0.0-35.0","","","","","","","","",""
"","3001.5999999940395","survey-likert","36","115609","0.0-36.0","","","","","","","{""judgement"":1}","[0]","0"
"","1380","survey-likert","37","116990","0.0-37.0","","","","","","","{""confidence"":2}","[0]",""
"","","call-function","38","116990","0.0-38.0","","","","","","","","",""
"","null","html-keyboard-response","39","119993","0.0-39.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","40","123291","0.0-40.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_285932.bmppp151_L1V1_freeview_veridical.mp4","","",""
"","null","html-keyboard-response","41","126297","0.0-41.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","42","129443","0.0-42.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_285932.bmppp151_L1V1_freeview_scrambled.mp4","","",""
"","","call-function","43","129444","0.0-43.0","","","","","","","","",""
"","3074.4000000059605","survey-likert","44","132520","0.0-44.0","","","","","","","{""judgement"":1}","[0]","0"
"","1364.3999999761581","survey-likert","45","133885","0.0-45.0","","","","","","","{""confidence"":2}","[0]",""
"","","call-function","46","133886","0.0-46.0","","","","","","","","",""
"","null","html-keyboard-response","47","136890","0.0-47.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","48","140086","0.0-48.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_1159819.bmppp52_L1V1_freeview_veridical.mp4","","",""
"","null","html-keyboard-response","49","143090","0.0-49.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","50","146497","0.0-50.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_1159819.bmppp52_L1V1_freeview_scrambled.mp4","","",""
"","","call-function","51","146497","0.0-51.0","","","","","","","","",""
"","2605.2999999821186","survey-likert","52","149104","0.0-52.0","","","","","","","{""judgement"":1}","[0]","0"
"","1762","survey-likert","53","150867","0.0-53.0","","","","","","","{""confidence"":3}","[0]",""
"","","call-function","54","150868","0.0-54.0","","","","","","","","",""
"","null","html-keyboard-response","55","153870","0.0-55.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","56","157056","0.0-56.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_285851.bmppp64_L1V1_freeview_scrambled.mp4","","",""
"","null","html-keyboard-response","57","160060","0.0-57.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","58","163206","0.0-58.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_285851.bmppp64_L1V1_freeview_veridical.mp4","","",""
"","","call-function","59","163207","0.0-59.0","","","","","","","","",""
"","2533.699999988079","survey-likert","60","165742","0.0-60.0","","","","","","","{""judgement"":0}","[0]","1"
"","1859.4000000059605","survey-likert","61","167602","0.0-61.0","","","","","","","{""confidence"":1}","[0]",""
"","","call-function","62","167603","0.0-62.0","","","","","","","","",""
"","null","html-keyboard-response","63","170606","0.0-63.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
