"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","value","agent","condition","image","responses","question_order","correct_answer"
"[{""page_index"":0,""viewing_time"":40933.09999999404}]","40933.80000001192","instructions","0","40940","0.0-0.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":6525.800000011921},{""page_index"":1,""viewing_time"":2165.199999988079},{""page_index"":2,""viewing_time"":7301.600000023842}]","15992.800000011921","instructions","1","56934","0.0-1.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3489.5999999940395}]","3489.699999988079","instructions","2","60425","0.0-2.0","","","","","","","","",""
"","null","video-keyboard-response","3","63680","0.0-3.0","","null","","","","","","",""
"[{""page_index"":0,""viewing_time"":4152.800000011921},{""page_index"":1,""viewing_time"":3912.5},{""page_index"":2,""viewing_time"":8362.5}]","16427.90000000596","instructions","4","80109","0.0-4.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4054.9000000059605}]","4055.0999999940395","instructions","5","84164","0.0-5.0","","","","","","","","",""
"","null","video-keyboard-response","6","87281","0.0-6.0","","null","","","","","","",""
"[{""page_index"":0,""viewing_time"":2423.2000000178814},{""page_index"":1,""viewing_time"":7834.299999982119},{""page_index"":2,""viewing_time"":15930.300000011921}]","26188","instructions","7","113470","0.0-7.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3672.2000000178814}]","3672.4000000059605","instructions","8","117143","0.0-8.0","","","","","","","","",""
"","","call-function","9","117144","0.0-9.0","","","","","","","","",""
"","null","html-keyboard-response","10","120149","0.0-10.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","11","123289","0.0-11.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1159392.bmppp95_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","null","html-keyboard-response","12","126293","0.0-12.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","13","129372","0.0-13.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1159392.bmppp95_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","","call-function","14","129373","0.0-14.0","","","","","","","","",""
"","4053.9000000059605","survey-likert","15","133429","0.0-15.0","","","","","","","{""judgement"":1}","[0]","0"
"","4036.300000011921","survey-likert","16","137467","0.0-16.0","","","","","","","{""confidence"":2}","[0]",""
"","","call-function","17","137467","0.0-17.0","","","","","","","","",""
"","null","html-keyboard-response","18","140469","0.0-18.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","19","143571","0.0-19.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1592193.bmppp70_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","null","html-keyboard-response","20","146575","0.0-20.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
