"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","value","agent","condition","image","responses","question_order","correct_answer"
"[{""page_index"":0,""viewing_time"":31277.20000001788}]","31277.5","instructions","0","31280","0.0-0.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3790.9000000059605},{""page_index"":1,""viewing_time"":5490.5},{""page_index"":2,""viewing_time"":4547}]","13828.59999999404","instructions","1","45111","0.0-1.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2940.5999999940395}]","2940.800000011921","instructions","2","48052","0.0-2.0","","","","","","","","",""
"","null","video-keyboard-response","3","51197","0.0-3.0","","null","","","","","","",""
"[{""page_index"":0,""viewing_time"":4661.699999988079},{""page_index"":1,""viewing_time"":4224.5999999940395},{""page_index"":2,""viewing_time"":2765.600000023842},{""page_index"":3,""viewing_time"":5618.299999982119},{""page_index"":4,""viewing_time"":7268.5}]","24538.90000000596","instructions","4","75737","0.0-4.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":7082.4000000059605}]","7082.5999999940395","instructions","5","82821","0.0-5.0","","","","","","","","",""
"","","call-function","6","82823","0.0-6.0","","","","","","","","",""
"","null","html-keyboard-response","7","85829","0.0-7.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","8","88906","0.0-8.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_285851.bmppp64_L1V1_freeview_veridical.mp4","","",""
"","null","html-keyboard-response","9","91908","0.0-9.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","10","94988","0.0-10.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_285851.bmppp64_L1V1_freeview_scrambled.mp4","","",""
"","","call-function","11","94988","0.0-11.0","","","","","","","","",""
"","2543.300000011921","survey-likert","12","97534","0.0-12.0","","","","","","","{""judgement"":0}","[0]","0"
"","3083.699999988079","survey-likert","13","100619","0.0-13.0","","","","","","","{""confidence"":2}","[0]",""
"","","call-function","14","100621","0.0-14.0","","","","","","","","",""
"","null","html-keyboard-response","15","103625","0.0-15.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","16","106767","0.0-16.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_713174.bmppp154_L1V1_freeview_veridical.mp4","","",""
"","null","html-keyboard-response","17","109771","0.0-17.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","18","112846","0.0-18.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_713174.bmppp154_L1V1_freeview_scrambled.mp4","","",""
"","","call-function","19","112847","0.0-19.0","","","","","","","","",""
"","3145.5","survey-likert","20","115993","0.0-20.0","","","","","","","{""judgement"":0}","[0]","0"
"","2164.5999999940395","survey-likert","21","118159","0.0-21.0","","","","","","","{""confidence"":1}","[0]",""
"","","call-function","22","118160","0.0-22.0","","","","","","","","",""
"","null","html-keyboard-response","23","121165","0.0-23.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","24","124265","0.0-24.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_498398.bmppp93_L1V1_freeview_scrambled.mp4","","",""
"","null","html-keyboard-response","25","127266","0.0-25.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","26","130347","0.0-26.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_498398.bmppp93_L1V1_freeview_veridical.mp4","","",""
"","","call-function","27","130348","0.0-27.0","","","","","","","","",""
"","3286.9000000059605","survey-likert","28","133636","0.0-28.0","","","","","","","{""judgement"":1}","[0]","1"
"","1525.5","survey-likert","29","135163","0.0-29.0","","","","","","","{""confidence"":1}","[0]",""
"","","call-function","30","135164","0.0-30.0","","","","","","","","",""
"","null","html-keyboard-response","31","138168","0.0-31.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","32","141246","0.0-32.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_1592530.bmppp89_L1V1_freeview_scrambled.mp4","","",""
"","null","html-keyboard-response","33","144251","0.0-33.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","34","147327","0.0-34.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_1592530.bmppp89_L1V1_freeview_veridical.mp4","","",""
"","","call-function","35","147333","0.0-35.0","","","","","","","","",""
"","5739.800000011921","survey-likert","36","153074","0.0-36.0","","","","","","","{""judgement"":1}","[0]","1"
"","1679.9000000059605","survey-likert","37","154756","0.0-37.0","","","","","","","{""confidence"":2}","[0]",""
"","","call-function","38","154756","0.0-38.0","","","","","","","","",""
"","null","html-keyboard-response","39","157760","0.0-39.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","40","160853","0.0-40.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_713760.bmppp75_L1V1_freeview_veridical.mp4","","",""
