"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","value","agent","condition","image","responses","question_order","correct_answer"
"[{""page_index"":0,""viewing_time"":291746.885}]","291747.59500000003","instructions","0","291753","0.0-0.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2268.805000000051},{""page_index"":1,""viewing_time"":16415.755000000005},{""page_index"":2,""viewing_time"":5280.349999999977}]","23965.34500000003","instructions","1","315720","0.0-1.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":10782.75}]","10783.060000000056","instructions","2","326504","0.0-2.0","","","","","","","","",""
"","null","video-keyboard-response","3","329553","0.0-3.0","","null","","","","","","",""
"[{""page_index"":0,""viewing_time"":4766.684999999998},{""page_index"":1,""viewing_time"":4591.940000000002},{""page_index"":2,""viewing_time"":1359.7099999999627},{""page_index"":3,""viewing_time"":6608.179999999993},{""page_index"":4,""viewing_time"":7543.685000000056}]","24870.54999999999","instructions","4","354424","0.0-4.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":5855.340000000026}]","5855.675000000047","instructions","5","360280","0.0-5.0","","","","","","","","",""
"","","call-function","6","360281","0.0-6.0","","","","","","","","",""
"","null","html-keyboard-response","7","363286","0.0-7.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","8","366321","0.0-8.0","","null","","Agent A","veridical","STIM_SET_1/0_1592530.bmppp89_L1V1_freeview_veridical.mp4","","",""
"","null","html-keyboard-response","9","369326","0.0-9.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","10","372363","0.0-10.0","","null","","Agent B","scrambled","STIM_SET_1/0_1592530.bmppp89_L1V1_freeview_scrambled.mp4","","",""
"","","call-function","11","372364","0.0-11.0","","","","","","","","",""
"","3587.1399999999558","survey-likert","12","375953","0.0-12.0","","","","","","","{""judgement"":0}","[0]","0"
"","4621.459999999963","survey-likert","13","380576","0.0-13.0","","","","","","","{""confidence"":1}","[0]",""
"","","call-function","14","380577","0.0-14.0","","","","","","","","",""
"","null","html-keyboard-response","15","383582","0.0-15.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","16","386626","0.0-16.0","","null","","Agent A","scrambled","STIM_SET_1/0_1592568.bmppp93_L1V1_freeview_scrambled.mp4","","",""
"","null","html-keyboard-response","17","389632","0.0-17.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","18","392709","0.0-18.0","","null","","Agent B","veridical","STIM_SET_1/0_1592568.bmppp93_L1V1_freeview_veridical.mp4","","",""
"","","call-function","19","392709","0.0-19.0","","","","","","","","",""
"","9474.380000000005","survey-likert","20","402184","0.0-20.0","","","","","","","{""judgement"":1}","[0]","1"
"","14998.930000000051","survey-likert","21","417185","0.0-21.0","","","","","","","{""confidence"":0}","[0]",""
"","","call-function","22","417185","0.0-22.0","","","","","","","","",""
"","null","html-keyboard-response","23","420189","0.0-23.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","24","423242","0.0-24.0","","null","","Agent A","veridical","STIM_SET_1/0_1160189.bmppp89_L1V1_freeview_veridical.mp4","","",""
"","null","html-keyboard-response","25","426243","0.0-25.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","26","429492","0.0-26.0","","null","","Agent B","scrambled","STIM_SET_1/0_1160189.bmppp89_L1V1_freeview_scrambled.mp4","","",""
"","","call-function","27","429492","0.0-27.0","","","","","","","","",""
"","9178.854999999981","survey-likert","28","438672","0.0-28.0","","","","","","","{""judgement"":0}","[0]","0"
"","3270.4249999999884","survey-likert","29","441944","0.0-29.0","","","","","","","{""confidence"":1}","[0]",""
"","","call-function","30","441944","0.0-30.0","","","","","","","","",""
"","null","html-keyboard-response","31","444947","0.0-31.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","32","448012","0.0-32.0","","null","","Agent A","scrambled","STIM_SET_1/0_713936.bmppp76_L1V1_freeview_scrambled.mp4","","",""
"","null","html-keyboard-response","33","451013","0.0-33.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","34","454074","0.0-34.0","","null","","Agent B","veridical","STIM_SET_1/0_713936.bmppp76_L1V1_freeview_veridical.mp4","","",""
"","","call-function","35","454075","0.0-35.0","","","","","","","","",""
"","2996.905000000028","survey-likert","36","457073","0.0-36.0","","","","","","","{""judgement"":1}","[0]","1"
"","4118.614999999991","survey-likert","37","461193","0.0-37.0","","","","","","","{""confidence"":1}","[0]",""
"","","call-function","38","461193","0.0-38.0","","","","","","","","",""
"","null","html-keyboard-response","39","464196","0.0-39.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","40","467260","0.0-40.0","","null","","Agent A","veridical","STIM_SET_1/0_285933.bmppp52_L1V1_freeview_veridical.mp4","","",""
"","null","html-keyboard-response","41","470263","0.0-41.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","42","473329","0.0-42.0","","null","","Agent B","scrambled","STIM_SET_1/0_285933.bmppp52_L1V1_freeview_scrambled.mp4","","",""
"","","call-function","43","473330","0.0-43.0","","","","","","","","",""
"","9165.590000000026","survey-likert","44","482496","0.0-44.0","","","","","","","{""judgement"":0}","[0]","0"
"","2590.8799999999464","survey-likert","45","485089","0.0-45.0","","","","","","","{""confidence"":1}","[0]",""
"","","call-function","46","485089","0.0-46.0","","","","","","","","",""
"","null","html-keyboard-response","47","488090","0.0-47.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","48","491162","0.0-48.0","","null","","Agent A","scrambled","STIM_SET_1/0_498326.bmppp63_L1V1_freeview_scrambled.mp4","","",""
"","null","html-keyboard-response","49","494168","0.0-49.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","50","497239","0.0-50.0","","null","","Agent B","veridical","STIM_SET_1/0_498326.bmppp63_L1V1_freeview_veridical.mp4","","",""
"","","call-function","51","497239","0.0-51.0","","","","","","","","",""
"","11464.635000000068","survey-likert","52","508705","0.0-52.0","","","","","","","{""judgement"":1}","[0]","1"
"","2262.6450000000186","survey-likert","53","510969","0.0-53.0","","","","","","","{""confidence"":0}","[0]",""
"","","call-function","54","510969","0.0-54.0","","","","","","","","",""
"","null","html-keyboard-response","55","513975","0.0-55.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","56","517058","0.0-56.0","","null","","Agent A","veridical","STIM_SET_1/0_1159440.bmppp98_L1V1_freeview_veridical.mp4","","",""
"","null","html-keyboard-response","57","520058","0.0-57.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","58","523841","0.0-58.0","","null","","Agent B","scrambled","STIM_SET_1/0_1159440.bmppp98_L1V1_freeview_scrambled.mp4","","",""
"","","call-function","59","523842","0.0-59.0","","","","","","","","",""
"","2701.350000000035","survey-likert","60","526544","0.0-60.0","","","","","","","{""judgement"":0}","[0]","0"
"","4423.195000000065","survey-likert","61","530969","0.0-61.0","","","","","","","{""confidence"":1}","[0]",""
"","","call-function","62","530969","0.0-62.0","","","","","","","","",""
"","null","html-keyboard-response","63","533973","0.0-63.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","64","537021","0.0-64.0","","null","","Agent A","veridical","STIM_SET_1/0_498280.bmppp81_L1V1_freeview_veridical.mp4","","",""
"","null","html-keyboard-response","65","540022","0.0-65.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","66","543063","0.0-66.0","","null","","Agent B","scrambled","STIM_SET_1/0_498280.bmppp81_L1V1_freeview_scrambled.mp4","","",""
"","","call-function","67","543064","0.0-67.0","","","","","","","","",""
"","2551.1049999999814","survey-likert","68","545617","0.0-68.0","","","","","","","{""judgement"":0}","[0]","0"
"","1822.265000000014","survey-likert","69","547440","0.0-69.0","","","","","","","{""confidence"":2}","[0]",""
"","","call-function","70","547441","0.0-70.0","","","","","","","","",""
