"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","value","agent","condition","image","responses","question_order","correct_answer"
"[{""page_index"":0,""viewing_time"":129365.94499999999}]","129366.145","instructions","0","129370","0.0-0.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3542.534999999989},{""page_index"":1,""viewing_time"":74567.77000000002},{""page_index"":2,""viewing_time"":7360.454999999987}]","85470.87999999999","instructions","1","214842","0.0-1.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3671.040000000008}]","3671.1449999999895","instructions","2","218514","0.0-2.0","","","","","","","","",""
"","null","video-keyboard-response","3","221686","0.0-3.0","","null","","","","","","",""
"[{""page_index"":0,""viewing_time"":5044.290000000008},{""page_index"":1,""viewing_time"":77663.58499999999},{""page_index"":2,""viewing_time"":1448.179999999993}]","84156.64000000001","instructions","4","305843","0.0-4.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4373.844999999972}]","4373.950000000012","instructions","5","310218","0.0-5.0","","","","","","","","",""
"","null","video-keyboard-response","6","313321","0.0-6.0","","null","","","","","","",""
"[{""page_index"":0,""viewing_time"":1657.0950000000303},{""page_index"":1,""viewing_time"":3175.9000000000233},{""page_index"":2,""viewing_time"":4696.14499999996}]","9529.275000000023","instructions","7","322850","0.0-7.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2767.5499999999884}]","2767.670000000042","instructions","8","325618","0.0-8.0","","","","","","","","",""
"","","call-function","9","325619","0.0-9.0","","","","","","","","",""
"","null","html-keyboard-response","10","328625","0.0-10.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","11","331732","0.0-11.0","","null","","Agent A","scrambled","STIM_SET_2/0_1159397.bmppp86_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","null","html-keyboard-response","12","334734","0.0-12.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","13","337844","0.0-13.0","","null","","Agent B","veridical","STIM_SET_2/0_1159397.bmppp86_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","","call-function","14","337845","0.0-14.0","","","","","","","","",""
"","24566.890000000014","survey-likert","15","362413","0.0-15.0","","","","","","","{""judgement"":1}","[0]","1"
"","23966.030000000028","survey-likert","16","386380","0.0-16.0","","","","","","","{""confidence"":1}","[0]",""
"","","call-function","17","386381","0.0-17.0","","","","","","","","",""
"","null","html-keyboard-response","18","389383","0.0-18.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","19","392483","0.0-19.0","","null","","Agent A","veridical","STIM_SET_2/0_285859.bmppp53_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","null","html-keyboard-response","20","395487","0.0-20.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","21","398588","0.0-21.0","","null","","Agent B","scrambled","STIM_SET_2/0_285859.bmppp53_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","","call-function","22","398588","0.0-22.0","","","","","","","","",""
"","1942.0250000000233","survey-likert","23","400531","0.0-23.0","","","","","","","{""judgement"":0}","[0]","0"
"","4848.15499999997","survey-likert","24","405380","0.0-24.0","","","","","","","{""confidence"":1}","[0]",""
"","","call-function","25","405381","0.0-25.0","","","","","","","","",""
"","null","html-keyboard-response","26","408382","0.0-26.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","27","411440","0.0-27.0","","null","","Agent A","veridical","STIM_SET_2/0_1160227.bmppp67_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","null","html-keyboard-response","28","414442","0.0-28.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","29","417499","0.0-29.0","","null","","Agent B","scrambled","STIM_SET_2/0_1160227.bmppp67_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","","call-function","30","417499","0.0-30.0","","","","","","","","",""
"","1351.7550000000047","survey-likert","31","418852","0.0-31.0","","","","","","","{""judgement"":0}","[0]","0"
"","1247.4249999999884","survey-likert","32","420100","0.0-32.0","","","","","","","{""confidence"":2}","[0]",""
"","","call-function","33","420100","0.0-33.0","","","","","","","","",""
"","null","html-keyboard-response","34","423103","0.0-34.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","35","426162","0.0-35.0","","null","","Agent A","scrambled","STIM_SET_2/0_713681.bmppp88_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","null","html-keyboard-response","36","429169","0.0-36.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","37","432226","0.0-37.0","","null","","Agent B","veridical","STIM_SET_2/0_713681.bmppp88_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","","call-function","38","432226","0.0-38.0","","","","","","","","",""
"","2176.460000000021","survey-likert","39","434403","0.0-39.0","","","","","","","{""judgement"":1}","[0]","1"
"","1360.0749999999534","survey-likert","40","435764","0.0-40.0","","","","","","","{""confidence"":1}","[0]",""
"","","call-function","41","435764","0.0-41.0","","","","","","","","",""
