"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","value","agent","condition","image","responses","question_order","correct_answer"
"[{""page_index"":0,""viewing_time"":4210.80000000447}]","4211","instructions","0","4213","0.0-0.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":491},{""page_index"":1,""viewing_time"":1034.6000000014901},{""page_index"":2,""viewing_time"":1123.6999999955297}]","2649.39999999851","instructions","1","6863","0.0-1.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1340}]","1340.1000000014901","instructions","2","8203","0.0-2.0","","","","","","","","",""
"","null","video-keyboard-response","3","11312","0.0-3.0","","null","","","","","","",""
"[{""page_index"":0,""viewing_time"":2185.2000000029802},{""page_index"":1,""viewing_time"":2356.2999999970198},{""page_index"":2,""viewing_time"":888.8000000044703},{""page_index"":3,""viewing_time"":4453.5},{""page_index"":4,""viewing_time"":3316.39999999851}]","13200.39999999851","instructions","4","24513","0.0-4.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1673.5999999940395}]","1673.7999999970198","instructions","5","26187","0.0-5.0","","","","","","","","",""
"","","call-function","6","26188","0.0-6.0","","","","","","","","",""
"","null","html-keyboard-response","7","29191","0.0-7.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","8","32257","0.0-8.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_285959.bmppp71_L1V1_freeview_scrambled.mp4","","",""
"","null","html-keyboard-response","9","35261","0.0-9.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","10","38307","0.0-10.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_285959.bmppp71_L1V1_freeview_veridical.mp4","","",""
"","","call-function","11","38308","0.0-11.0","","","","","","","","",""
"","2601","survey-likert","12","40910","0.0-12.0","","","","","","","{""judgement"":1}","[0]","1"
