"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","value","agent","condition","image","responses","question_order","correct_answer"
"[{""page_index"":0,""viewing_time"":58313}]","58313.40000000596","instructions","0","58302","0.0-0.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":7245.4000000059605},{""page_index"":1,""viewing_time"":1960},{""page_index"":2,""viewing_time"":6756.800000011921}]","15962.40000000596","instructions","1","74266","0.0-1.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4175.0999999940395}]","4175.299999982119","instructions","2","78441","0.0-2.0","","","","","","","","",""
"","null","video-keyboard-response","3","81625","0.0-3.0","","null","","","","","","",""
"[{""page_index"":0,""viewing_time"":3702.5},{""page_index"":1,""viewing_time"":2842.5999999940395},{""page_index"":2,""viewing_time"":2658.5999999940395}]","9203.699999988079","instructions","4","90829","0.0-4.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3023.5999999940395}]","3024","instructions","5","93854","0.0-5.0","","","","","","","","",""
"","null","video-keyboard-response","6","96988","0.0-6.0","","null","","","","","","",""
"[{""page_index"":0,""viewing_time"":1261.5999999940395},{""page_index"":1,""viewing_time"":5790},{""page_index"":2,""viewing_time"":10598.90000000596}]","17650.69999998808","instructions","7","114640","0.0-7.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":6052.5}]","6052.700000017881","instructions","8","120693","0.0-8.0","","","","","","","","",""
"","","call-function","9","120694","0.0-9.0","","","","","","","","",""
"","null","html-keyboard-response","10","123697","0.0-10.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","11","126820","0.0-11.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1592254.bmppp95_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","null","html-keyboard-response","12","129824","0.0-12.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","13","133001","0.0-13.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1592254.bmppp95_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","","call-function","14","133002","0.0-14.0","","","","","","","","",""
"","5732.100000023842","survey-likert","15","138736","0.0-15.0","","","","","","","{""judgement"":1}","[0]","1"
"","3593.9000000059605","survey-likert","16","142335","0.0-16.0","","","","","","","{""confidence"":2}","[0]",""
"","","call-function","17","142335","0.0-17.0","","","","","","","","",""
"","null","html-keyboard-response","18","145337","0.0-18.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","19","148452","0.0-19.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_713028.bmppp70_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","null","html-keyboard-response","20","151456","0.0-20.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","21","154587","0.0-21.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_713028.bmppp70_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","","call-function","22","154587","0.0-22.0","","","","","","","","",""
"","1784.5","survey-likert","23","156373","0.0-23.0","","","","","","","{""judgement"":0}","[0]","0"
"","2569","survey-likert","24","158943","0.0-24.0","","","","","","","{""confidence"":3}","[0]",""
"","","call-function","25","158944","0.0-25.0","","","","","","","","",""
"","null","html-keyboard-response","26","161946","0.0-26.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","27","165161","0.0-27.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1592044.bmppp152_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","null","html-keyboard-response","28","168166","0.0-28.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","29","171283","0.0-29.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1592044.bmppp152_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","","call-function","30","171283","0.0-30.0","","","","","","","","",""
"","2141.9000000059605","survey-likert","31","173426","0.0-31.0","","","","","","","{""judgement"":0}","[0]","0"
"","1760.5","survey-likert","32","175188","0.0-32.0","","","","","","","{""confidence"":3}","[0]",""
"","","call-function","33","175190","0.0-33.0","","","","","","","","",""
"","null","html-keyboard-response","34","178194","0.0-34.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","35","181346","0.0-35.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_713749.bmppp88_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","null","html-keyboard-response","36","184352","0.0-36.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","37","187493","0.0-37.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_713749.bmppp88_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","","call-function","38","187494","0.0-38.0","","","","","","","","",""
"","2754.0999999940395","survey-likert","39","190249","0.0-39.0","","","","","","","{""judgement"":0}","[0]","1"
"","1786","survey-likert","40","192036","0.0-40.0","","","","","","","{""confidence"":3}","[0]",""
"","","call-function","41","192037","0.0-41.0","","","","","","","","",""
"","null","html-keyboard-response","42","195046","0.0-42.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","43","198170","0.0-43.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_107909.bmppp94_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","null","html-keyboard-response","44","201172","0.0-44.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","45","204365","0.0-45.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_107909.bmppp94_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","","call-function","46","204366","0.0-46.0","","","","","","","","",""
"","2046.800000011921","survey-likert","47","206414","0.0-47.0","","","","","","","{""judgement"":1}","[0]","1"
"","1659.2999999821186","survey-likert","48","208075","0.0-48.0","","","","","","","{""confidence"":3}","[0]",""
"","","call-function","49","208076","0.0-49.0","","","","","","","","",""
"","null","html-keyboard-response","50","211079","0.0-50.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","51","214236","0.0-51.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1160155.bmppp67_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","null","html-keyboard-response","52","217238","0.0-52.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","53","220386","0.0-53.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1160155.bmppp67_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","","call-function","54","220387","0.0-54.0","","","","","","","","",""
"","1659.800000011921","survey-likert","55","222048","0.0-55.0","","","","","","","{""judgement"":0}","[0]","0"
"","1665.5999999940395","survey-likert","56","223715","0.0-56.0","","","","","","","{""confidence"":3}","[0]",""
"","","call-function","57","223715","0.0-57.0","","","","","","","","",""
"","null","html-keyboard-response","58","226719","0.0-58.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","59","229915","0.0-59.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1159329.bmppp99_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","null","html-keyboard-response","60","232919","0.0-60.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","61","236081","0.0-61.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1159329.bmppp99_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","","call-function","62","236082","0.0-62.0","","","","","","","","",""
"","1967.9000000059605","survey-likert","63","238050","0.0-63.0","","","","","","","{""judgement"":1}","[0]","1"
"","1668.0999999940395","survey-likert","64","239720","0.0-64.0","","","","","","","{""confidence"":3}","[0]",""
"","","call-function","65","239720","0.0-65.0","","","","","","","","",""
"","null","html-keyboard-response","66","242723","0.0-66.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","67","245881","0.0-67.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1159847.bmppp95_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","null","html-keyboard-response","68","248885","0.0-68.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","69","252032","0.0-69.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1159847.bmppp95_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","","call-function","70","252032","0.0-70.0","","","","","","","","",""
"","1683.7999999821186","survey-likert","71","253717","0.0-71.0","","","","","","","{""judgement"":0}","[0]","0"
"","1975.2000000178814","survey-likert","72","255693","0.0-72.0","","","","","","","{""confidence"":3}","[0]",""
"","","call-function","73","255694","0.0-73.0","","","","","","","","",""
"","null","html-keyboard-response","74","258699","0.0-74.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","75","261820","0.0-75.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1592083.bmppp99_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","null","html-keyboard-response","76","264822","0.0-76.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","77","267926","0.0-77.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1592083.bmppp99_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","","call-function","78","267926","0.0-78.0","","","","","","","","",""
"","2507.5999999940395","survey-likert","79","270435","0.0-79.0","","","","","","","{""judgement"":1}","[0]","0"
"","1476.5","survey-likert","80","271914","0.0-80.0","","","","","","","{""confidence"":2}","[0]",""
"","","call-function","81","271916","0.0-81.0","","","","","","","","",""
