"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","value","agent","condition","image","responses","question_order","correct_answer"
"[{""page_index"":0,""viewing_time"":14100.40000000596}]","14100.90000000596","instructions","0","14102","0.0-0.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":19858.399999976158},{""page_index"":1,""viewing_time"":1948.7000000178814},{""page_index"":2,""viewing_time"":7247.299999982119}]","29054.59999999404","instructions","1","43158","0.0-1.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":6519.0999999940395}]","6519.300000011921","instructions","2","49678","0.0-2.0","","","","","","","","",""
"","null","video-keyboard-response","3","52765","0.0-3.0","","null","","","","","","",""
"[{""page_index"":0,""viewing_time"":3222.699999988079},{""page_index"":1,""viewing_time"":1266.7000000178814},{""page_index"":2,""viewing_time"":1085.199999988079},{""page_index"":1,""viewing_time"":3635.199999988079},{""page_index"":2,""viewing_time"":5188.100000023842}]","14398.09999999404","instructions","4","67165","0.0-4.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4851.5}]","4851.5999999940395","instructions","5","72018","0.0-5.0","","","","","","","","",""
"","null","video-keyboard-response","6","75070","0.0-6.0","","null","","","","","","",""
"[{""page_index"":0,""viewing_time"":2515.699999988079},{""page_index"":1,""viewing_time"":4335.800000011921},{""page_index"":2,""viewing_time"":7771}]","14622.59999999404","instructions","7","89694","0.0-7.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":6561}]","6561.199999988079","instructions","8","96256","0.0-8.0","","","","","","","","",""
"","","call-function","9","96257","0.0-9.0","","","","","","","","",""
"","null","html-keyboard-response","10","99260","0.0-10.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","11","102327","0.0-11.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1592362.bmppp53_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","null","html-keyboard-response","12","105332","0.0-12.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","13","108394","0.0-13.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1592362.bmppp53_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","","call-function","14","108395","0.0-14.0","","","","","","","","",""
"","3241.7999999821186","survey-likert","15","111639","0.0-15.0","","","","","","","{""judgement"":0}","[0]","1"
"","2255.800000011921","survey-likert","16","113897","0.0-16.0","","","","","","","{""confidence"":3}","[0]",""
"","","call-function","17","113899","0.0-17.0","","","","","","","","",""
"","null","html-keyboard-response","18","116902","0.0-18.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","19","119971","0.0-19.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1160227.bmppp67_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","null","html-keyboard-response","20","122976","0.0-20.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","21","126050","0.0-21.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1160227.bmppp67_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","","call-function","22","126051","0.0-22.0","","","","","","","","",""
"","2312.9000000059605","survey-likert","23","128365","0.0-23.0","","","","","","","{""judgement"":1}","[0]","1"
"","1976.199999988079","survey-likert","24","130343","0.0-24.0","","","","","","","{""confidence"":3}","[0]",""
"","","call-function","25","130344","0.0-25.0","","","","","","","","",""
"","null","html-keyboard-response","26","133347","0.0-26.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","27","136432","0.0-27.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1591961.bmppp88_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","null","html-keyboard-response","28","139437","0.0-28.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","29","142515","0.0-29.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1591961.bmppp88_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","","call-function","30","142516","0.0-30.0","","","","","","","","",""
"","2940.7000000178814","survey-likert","31","145458","0.0-31.0","","","","","","","{""judgement"":0}","[0]","0"
"","2758.9000000059605","survey-likert","32","148219","0.0-32.0","","","","","","","{""confidence"":3}","[0]",""
"","","call-function","33","148219","0.0-33.0","","","","","","","","",""
"","null","html-keyboard-response","34","151221","0.0-34.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","35","154284","0.0-35.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1591805.bmppp70_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","null","html-keyboard-response","36","157288","0.0-36.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","37","160351","0.0-37.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1591805.bmppp70_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","","call-function","38","160352","0.0-38.0","","","","","","","","",""
"","2434.7999999821186","survey-likert","39","162789","0.0-39.0","","","","","","","{""judgement"":0}","[0]","0"
"","4716.700000017881","survey-likert","40","167506","0.0-40.0","","","","","","","{""confidence"":1}","[0]",""
"","","call-function","41","167507","0.0-41.0","","","","","","","","",""
"","null","html-keyboard-response","42","170511","0.0-42.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","43","173711","0.0-43.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1159874.bmppp152_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","null","html-keyboard-response","44","176717","0.0-44.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","45","179800","0.0-45.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1159874.bmppp152_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","","call-function","46","179801","0.0-46.0","","","","","","","","",""
"","2811.600000023842","survey-likert","47","182613","0.0-47.0","","","","","","","{""judgement"":0}","[0]","0"
"","3181.5","survey-likert","48","185796","0.0-48.0","","","","","","","{""confidence"":3}","[0]",""
"","","call-function","49","185797","0.0-49.0","","","","","","","","",""
"","null","html-keyboard-response","50","188798","0.0-50.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","51","191925","0.0-51.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1159889.bmppp61_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","null","html-keyboard-response","52","194928","0.0-52.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","53","198007","0.0-53.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1159889.bmppp61_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","","call-function","54","198007","0.0-54.0","","","","","","","","",""
"","5097","survey-likert","55","203105","0.0-55.0","","","","","","","{""judgement"":1}","[0]","1"
"","2132.199999988079","survey-likert","56","205238","0.0-56.0","","","","","","","{""confidence"":0}","[0]",""
"","","call-function","57","205238","0.0-57.0","","","","","","","","",""
"","null","html-keyboard-response","58","208244","0.0-58.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","59","211319","0.0-59.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1159392.bmppp95_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","null","html-keyboard-response","60","214323","0.0-60.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","61","217403","0.0-61.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1159392.bmppp95_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","","call-function","62","217404","0.0-62.0","","","","","","","","",""
"","2321.0999999940395","survey-likert","63","219726","0.0-63.0","","","","","","","{""judgement"":0}","[0]","1"
"","2237.600000023842","survey-likert","64","221964","0.0-64.0","","","","","","","{""confidence"":1}","[0]",""
"","","call-function","65","221964","0.0-65.0","","","","","","","","",""
"","null","html-keyboard-response","66","224967","0.0-66.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","67","228041","0.0-67.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_713681.bmppp88_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","null","html-keyboard-response","68","231043","0.0-68.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","69","234116","0.0-69.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_713681.bmppp88_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","","call-function","70","234116","0.0-70.0","","","","","","","","",""
"","4487.799999982119","survey-likert","71","238604","0.0-71.0","","","","","","","{""judgement"":0}","[0]","0"
"","2139.800000011921","survey-likert","72","240744","0.0-72.0","","","","","","","{""confidence"":0}","[0]",""
"","","call-function","73","240745","0.0-73.0","","","","","","","","",""
"","null","html-keyboard-response","74","243749","0.0-74.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","75","246817","0.0-75.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1592083.bmppp99_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","null","html-keyboard-response","76","249822","0.0-76.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","77","252915","0.0-77.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1592083.bmppp99_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","","call-function","78","252915","0.0-78.0","","","","","","","","",""
"","3042.7999999821186","survey-likert","79","255958","0.0-79.0","","","","","","","{""judgement"":1}","[0]","0"
"","1372.199999988079","survey-likert","80","257331","0.0-80.0","","","","","","","{""confidence"":2}","[0]",""
"","","call-function","81","257332","0.0-81.0","","","","","","","","",""
"","null","html-keyboard-response","82","260333","0.0-82.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","83","263439","0.0-83.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1592193.bmppp70_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","null","html-keyboard-response","84","266440","0.0-84.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","85","269511","0.0-85.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1592193.bmppp70_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","","call-function","86","269512","0.0-86.0","","","","","","","","",""
"","2858.800000011921","survey-likert","87","272371","0.0-87.0","","","","","","","{""judgement"":1}","[0]","1"
"","2731.899999976158","survey-likert","88","275104","0.0-88.0","","","","","","","{""confidence"":0}","[0]",""
"[{""page_index"":0,""viewing_time"":1385.8999999761581},{""page_index"":1,""viewing_time"":365.7000000178814},{""page_index"":2,""viewing_time"":396}]","2147.899999976158","instructions","89","277253","0.0-89.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":386.7999999821186},{""page_index"":1,""viewing_time"":668.5999999940395},{""page_index"":2,""viewing_time"":543.5}]","1599.2999999821186","instructions","90","278853","0.0-90.0","","","","","","","","",""
"","","call-function","91","278854","0.0-91.0","","","","","","","","",""
"","null","html-keyboard-response","92","281858","0.0-92.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","93","284927","0.0-93.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1160155.bmppp67_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","null","html-keyboard-response","94","287930","0.0-94.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","95","291001","0.0-95.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1160155.bmppp67_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","","call-function","96","291002","0.0-96.0","","","","","","","","",""
"","2081.199999988079","survey-likert","97","293084","0.0-97.0","","","","","","","{""judgement"":1}","[0]","1"
"","1622.300000011921","survey-likert","98","294707","0.0-98.0","","","","","","","{""confidence"":2}","[0]",""
"","","call-function","99","294707","0.0-99.0","","","","","","","","",""
"","null","html-keyboard-response","100","297711","0.0-100.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","101","300784","0.0-101.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_713328.bmppp62_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","null","html-keyboard-response","102","303789","0.0-102.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","103","306866","0.0-103.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_713328.bmppp62_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","","call-function","104","306866","0.0-104.0","","","","","","","","",""
"","1586.3999999761581","survey-likert","105","308454","0.0-105.0","","","","","","","{""judgement"":0}","[0]","0"
"","2140.9000000059605","survey-likert","106","310596","0.0-106.0","","","","","","","{""confidence"":3}","[0]",""
"","","call-function","107","310596","0.0-107.0","","","","","","","","",""
"","null","html-keyboard-response","108","313600","0.0-108.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","109","316690","0.0-109.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_285715.bmppp53_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","null","html-keyboard-response","110","319696","0.0-110.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","111","322783","0.0-111.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_285715.bmppp53_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","","call-function","112","322784","0.0-112.0","","","","","","","","",""
"","3025.699999988079","survey-likert","113","325810","0.0-113.0","","","","","","","{""judgement"":0}","[0]","0"
"","2385.7999999821186","survey-likert","114","328197","0.0-114.0","","","","","","","{""confidence"":0}","[0]",""
"","","call-function","115","328198","0.0-115.0","","","","","","","","",""
"","null","html-keyboard-response","116","331201","0.0-116.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","117","334279","0.0-117.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_61514.bmppp67_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","null","html-keyboard-response","118","337285","0.0-118.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","119","340362","0.0-119.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_61514.bmppp67_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","","call-function","120","340362","0.0-120.0","","","","","","","","",""
"","1727","survey-likert","121","342090","0.0-121.0","","","","","","","{""judgement"":0}","[0]","0"
"","2219.300000011921","survey-likert","122","344311","0.0-122.0","","","","","","","{""confidence"":3}","[0]",""
"","","call-function","123","344311","0.0-123.0","","","","","","","","",""
"","null","html-keyboard-response","124","347316","0.0-124.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","125","350377","0.0-125.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1160168.bmppp96_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","null","html-keyboard-response","126","353382","0.0-126.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
