"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","value","agent","condition","image","responses","question_order","correct_answer"
"[{""page_index"":0,""viewing_time"":64776.20000000298}]","64776.80000000447","instructions","0","64782","0.0-0.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1595.2000000029802},{""page_index"":1,""viewing_time"":696.8999999985099},{""page_index"":2,""viewing_time"":1398.3999999985099}]","3690.7000000029802","instructions","1","68474","0.0-1.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1087}]","1087.0999999940395","instructions","2","69562","0.0-2.0","","","","","","","","",""
"","null","video-keyboard-response","3","72648","0.0-3.0","","null","","","","","","",""
"[{""page_index"":0,""viewing_time"":905.1999999955297},{""page_index"":1,""viewing_time"":404.70000000298023},{""page_index"":2,""viewing_time"":379}]","1689","instructions","4","74337","0.0-4.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":963}]","963.1999999955297","instructions","5","75302","0.0-5.0","","","","","","","","",""
"","null","video-keyboard-response","6","78370","0.0-6.0","","null","","","","","","",""
"[{""page_index"":0,""viewing_time"":1105.4000000059605},{""page_index"":1,""viewing_time"":969},{""page_index"":2,""viewing_time"":978.3999999985099}]","3053","instructions","7","81424","0.0-7.0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":420.69999999552965}]","420.8999999985099","instructions","8","81845","0.0-8.0","","","","","","","","",""
"","","call-function","9","81846","0.0-9.0","","","","","","","","",""
"","null","html-keyboard-response","10","84850","0.0-10.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","11","87902","0.0-11.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_713513.bmppp96_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","null","html-keyboard-response","12","90905","0.0-12.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","13","93970","0.0-13.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_713513.bmppp96_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","","call-function","14","93971","0.0-14.0","","","","","","","","",""
"","1851.7000000029802","survey-likert","15","95825","0.0-15.0","","","","","","","{""judgement"":1}","[0]","1"
"","1518.7999999970198","survey-likert","16","97345","0.0-16.0","","","","","","","{""confidence"":3}","[0]",""
"","","call-function","17","97345","0.0-17.0","","","","","","","","",""
"","null","html-keyboard-response","18","100350","0.0-18.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","19","103408","0.0-19.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1159434.bmppp70_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","null","html-keyboard-response","20","106410","0.0-20.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","21","109479","0.0-21.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1159434.bmppp70_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","","call-function","22","109480","0.0-22.0","","","","","","","","",""
"","1816.2000000029802","survey-likert","23","111298","0.0-23.0","","","","","","","{""judgement"":1}","[0]","1"
"","2163.60000000149","survey-likert","24","113463","0.0-24.0","","","","","","","{""confidence"":1}","[0]",""
"","","call-function","25","113464","0.0-25.0","","","","","","","","",""
"","null","html-keyboard-response","26","116468","0.0-26.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","27","119527","0.0-27.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1159609.bmppp79_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","null","html-keyboard-response","28","122531","0.0-28.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","29","125595","0.0-29.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1159609.bmppp79_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","","call-function","30","125595","0.0-30.0","","","","","","","","",""
"","2480.5999999940395","survey-likert","31","128076","0.0-31.0","","","","","","","{""judgement"":1}","[0]","0"
"","1809.1999999955297","survey-likert","32","129886","0.0-32.0","","","","","","","{""confidence"":2}","[0]",""
"","","call-function","33","129887","0.0-33.0","","","","","","","","",""
"","null","html-keyboard-response","34","132892","0.0-34.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","35","135950","0.0-35.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1591805.bmppp70_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","null","html-keyboard-response","36","138953","0.0-36.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","37","142015","0.0-37.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1591805.bmppp70_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","","call-function","38","142016","0.0-38.0","","","","","","","","",""
"","2638.60000000149","survey-likert","39","144657","0.0-39.0","","","","","","","{""judgement"":1}","[0]","1"
"","2034.2999999970198","survey-likert","40","146693","0.0-40.0","","","","","","","{""confidence"":2}","[0]",""
"","","call-function","41","146694","0.0-41.0","","","","","","","","",""
"","null","html-keyboard-response","42","149699","0.0-42.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","43","152811","0.0-43.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1592367.bmppp79_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","null","html-keyboard-response","44","155816","0.0-44.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","45","158893","0.0-45.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1592367.bmppp79_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","","call-function","46","158893","0.0-46.0","","","","","","","","",""
"","5134","survey-likert","47","164028","0.0-47.0","","","","","","","{""judgement"":0}","[0]","0"
"","2803.7999999970198","survey-likert","48","166833","0.0-48.0","","","","","","","{""confidence"":0}","[0]",""
"","","call-function","49","166834","0.0-49.0","","","","","","","","",""
"","null","html-keyboard-response","50","169837","0.0-50.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","51","172906","0.0-51.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_713328.bmppp62_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","null","html-keyboard-response","52","175908","0.0-52.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","53","178973","0.0-53.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_713328.bmppp62_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","","call-function","54","178974","0.0-54.0","","","","","","","","",""
"","2108.3000000044703","survey-likert","55","181084","0.0-55.0","","","","","","","{""judgement"":0}","[0]","0"
"","999.8999999985099","survey-likert","56","182085","0.0-56.0","","","","","","","{""confidence"":2}","[0]",""
"","","call-function","57","182086","0.0-57.0","","","","","","","","",""
"","null","html-keyboard-response","58","185092","0.0-58.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","59","188149","0.0-59.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1159847.bmppp95_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","null","html-keyboard-response","60","191153","0.0-60.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","61","194221","0.0-61.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_1159847.bmppp95_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","","call-function","62","194221","0.0-62.0","","","","","","","","",""
"","3035.39999999851","survey-likert","63","197258","0.0-63.0","","","","","","","{""judgement"":0}","[0]","0"
"","1870.7999999970198","survey-likert","64","199130","0.0-64.0","","","","","","","{""confidence"":1}","[0]",""
"","","call-function","65","199131","0.0-65.0","","","","","","","","",""
"","null","html-keyboard-response","66","202136","0.0-66.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","67","205178","0.0-67.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_498396.bmppp79_L1V1_freeview_veridical_mapOnly.mp4","","",""
"","null","html-keyboard-response","68","208179","0.0-68.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","69","211244","0.0-69.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_2/0_498396.bmppp79_L1V1_freeview_scrambled_mapOnly.mp4","","",""
"","","call-function","70","211245","0.0-70.0","","","","","","","","",""
