,list,image,subject,sub_version
0,1.0,1592372.bmp,pp76,1.0
1,1.0,1159572.bmp,pp71,1.0
2,1.0,497950.bmp,pp151,1.0
3,1.0,713593.bmp,pp64,1.0
4,1.0,107930.bmp,pp63,1.0
5,1.0,1592286.bmp,pp52,1.0
6,1.0,1592657.bmp,pp98,1.0
7,1.0,498175.bmp,pp154,1.0
8,1.0,713760.bmp,pp81,1.0
9,1.0,1592133.bmp,pp75,1.0
10,1.0,1159768.bmp,pp89,1.0
11,1.0,1593146.bmp,pp93,1.0
12,1.0,1593041.bmp,pp58,1.0
13,1.0,712977.bmp,pp51,1.0
14,1.0,285905.bmp,pp57,1.0
15,1.0,713371.bmp,pp68,1.0
16,2.0,1592890.bmp,pp82,1.0
17,2.0,1159447.bmp,pp70,1.0
18,2.0,1159813.bmp,pp79,1.0
19,2.0,1160127.bmp,pp90,1.0
20,2.0,1159855.bmp,pp99,1.0
21,2.0,1160168.bmp,pp53,1.0
22,2.0,713135.bmp,pp54,1.0
23,2.0,1592499.bmp,pp96,1.0
24,2.0,713513.bmp,pp62,1.0
25,2.0,713749.bmp,pp88,1.0
26,2.0,713681.bmp,pp86,1.0
27,2.0,713779.bmp,pp152,1.0
28,2.0,1593035.bmp,pp94,1.0
29,2.0,1591961.bmp,pp67,1.0
30,2.0,1592362.bmp,pp95,1.0
31,2.0,1159882.bmp,pp61,1.0
32,3.0,713684.bmp,pp85,1.0
33,3.0,713796.bmp,pp84,1.0
34,3.0,1159675.bmp,pp77,1.0
35,3.0,713666.bmp,pp97,1.0
36,3.0,285751.bmp,pp55,1.0
37,3.0,713620.bmp,pp65,1.0
38,3.0,1592804.bmp,pp91,1.0
39,3.0,498092.bmp,pp153,1.0
40,3.0,1592581.bmp,pp100,1.0
41,3.0,713403.bmp,pp80,1.0
42,3.0,1159784.bmp,pp73,1.0
43,3.0,1159446.bmp,pp60,1.0
44,3.0,1592619.bmp,pp56,1.0
45,3.0,1591994.bmp,pp69,1.0
46,3.0,285994.bmp,pp92,1.0
47,3.0,1592727.bmp,pp59,1.0
48,3.0,1159777.bmp,pp77,1.0
49,3.0,1159621.bmp,pp92,1.0
50,3.0,1592817.bmp,pp55,1.0
51,2.0,286001.bmp,pp54,1.0
52,1.0,1592934.bmp,pp63,1.0
53,1.0,1592351.bmp,pp51,1.0
54,3.0,61537.bmp,pp73,1.0
55,1.0,1159440.bmp,pp98,1.0
56,2.0,713017.bmp,pp152,1.0
57,3.0,1159515.bmp,pp84,1.0
58,3.0,1159829.bmp,pp91,1.0
59,1.0,1592807.bmp,pp68,1.0
60,3.0,713211.bmp,pp100,1.0
61,1.0,285933.bmp,pp81,1.0
62,3.0,285766.bmp,pp85,1.0
63,2.0,498149.bmp,pp99,1.0
64,2.0,498155.bmp,pp61,1.0
65,2.0,498111.bmp,pp88,1.0
66,1.0,713707.bmp,pp154,1.0
67,2.0,1591954.bmp,pp62,1.0
68,3.0,713089.bmp,pp60,1.0
69,2.0,498253.bmp,pp67,1.0
